predictor	endpoint	n_unadjusted	unadj_rho	unadj_p	n_partial	partial_rho	partial_p	purity	note
CLDN4	CD8A	226	-0.3411739633282653	1.4470250811767327e-07	226	-0.1268721171730838	0.0574111348994173	ESTIMATE TumorPurity (ssGSEA Yoshihara 141+141)	
CLDN4	ImmuneScore	226	-0.36551505464374356	1.5001713370629505e-08	226	-0.03144485819848334	0.6389539937914117	ESTIMATE TumorPurity (ssGSEA Yoshihara 141+141)	ImmuneScore is a component of ESTIMATEScore; partial is collinear
CLDN4	TACSTD2	226	0.47054227905344825	7.478307014305852e-14	226	0.39164286698288336	1.1517841421752525e-09	ESTIMATE TumorPurity (ssGSEA Yoshihara 141+141)	
TACSTD2	CD8A	226	-0.28946343872233704	9.756269255820285e-06	226	-0.10741829738288264	0.10806469480389407	ESTIMATE TumorPurity (ssGSEA Yoshihara 141+141)	
TACSTD2	ImmuneScore	226	-0.30607617636739304	2.7476117168727572e-06	226	-0.022667730025736407	0.7352384084461319	ESTIMATE TumorPurity (ssGSEA Yoshihara 141+141)	ImmuneScore is a component of ESTIMATEScore; partial is collinear
CLDN4	StromalScore	226	-0.3434766675763128	1.1772844744724326e-07	226				
TACSTD2	StromalScore	226	-0.30384208542876817	3.2730983930177157e-06	226				
CLDN4	TumorPurity	226	0.3949127389445506	7.462258096110562e-10	226				
TACSTD2	TumorPurity	226	0.3321128481020883	3.2067284961337386e-07	226				
CD8A	ImmuneScore	226	0.7778519355970528	4.430559899775037e-47	226				positive control
CLDN4	TJ_noCLDN4	226	0.6143391420737332	7.677972578290343e-25	226	0.5123086597610591	1.8645953679543025e-16	ESTIMATE TumorPurity (ssGSEA Yoshihara 141+141)	
TACSTD2	TJ_noCLDN4	226	0.48284069496965687	1.3333049044319246e-14	226	0.37338571737492854	7.470424414479805e-09	ESTIMATE TumorPurity (ssGSEA Yoshihara 141+141)	
CLDN4	CD8A	226	-0.3411739633282653	1.4470250811767327e-07	226	-0.1268721171730838	0.0574111348994173	ESTIMATEScore (Stromal+Immune; no cosine)	rank-equivalent to TumorPurity residual on this cohort
CLDN4	ImmuneScore	226	-0.36551505464374356	1.5001713370629505e-08	226	-0.03144485819848328	0.6389539937914123	ESTIMATEScore (Stromal+Immune; no cosine)	collinear; ImmuneScore is an addend of ESTIMATEScore
CLDN4	TACSTD2	226	0.47054227905344825	7.478307014305852e-14	226	0.3916428669828834	1.1517841421752436e-09	ESTIMATEScore (Stromal+Immune; no cosine)	rank-equivalent to TumorPurity residual on this cohort
CLDN4	CD8A	18	-0.07120743034055728	0.7788829476841139	18	0.03146808781342542	0.9045684733192262	ESTIMATE TumorPurity in [0,1]	sensitivity; n=18 of 226
CLDN4	ImmuneScore	18	0.04643962848297213	0.8548139516870751	18	-0.17931722598118405	0.49104817636338144	ESTIMATE TumorPurity in [0,1]	sensitivity; n=18 of 226; collinear
CLDN4	TACSTD2	18	0.39938080495356043	0.10060038374584022	18	0.3478601241932183	0.17124840119032955	ESTIMATE TumorPurity in [0,1]	sensitivity; n=18 of 226
