cohort	target	n	r2	beta_TACSTD2	p_TACSTD2	beta_CLDN4	p_CLDN4	beta_interaction	p_interaction	se_interaction	q_interaction
NSCLC	sig_IFNG	148	0.101167	0.115455	0.0164916	0.00654347	0.898906	-0.0305388	0.513427	0.0467304	0.641784
NSCLC	sig_IFNA	148	0.135384	0.183352	0.00583495	0.00464331	0.947625	-0.0599351	0.340818	0.0629207	0.641784
NSCLC	sig_IFN_signal	148	0.0608851	0.144036	0.0424311	-0.170306	0.032187	0.00192434	0.977423	0.0679975	0.977423
NSCLC	sig_MHC1	148	0.0592426	0.0565912	0.53916	0.0697013	0.483866	-0.110785	0.29871	0.106605	0.641784
NSCLC	sig_APM	148	0.0459483	0.0999723	0.179858	-0.000504383	0.995026	-0.0524247	0.459218	0.0708312	0.641784
LUAD	sig_IFNG	80	0.0598452	0.00942341	0.888418	0.0930455	0.23605	0.0170947	0.763702	0.0568641	0.993134
LUAD	sig_IFNA	80	0.0977146	0.0492244	0.555852	0.114462	0.220245	0.00336548	0.962399	0.0713874	0.993134
LUAD	sig_IFN_signal	80	0.0416377	0.141189	0.173172	-0.138779	0.300271	0.0630142	0.499901	0.0934033	0.993134
LUAD	sig_MHC1	80	0.0159816	-0.0636259	0.695093	0.130111	0.560516	-0.0217595	0.886271	0.152138	0.993134
LUAD	sig_APM	80	0.0293491	-0.104509	0.300914	0.151484	0.251257	-0.000816776	0.993134	0.0949171	0.993134
LUSC	sig_IFNG	27	0.11853	0.0410532	0.635622	0.0843792	0.386325	0.0870352	0.330163	0.0893781	0.412703
LUSC	sig_IFNA	27	0.12993	0.0700815	0.563687	0.112347	0.390467	0.111627	0.311987	0.110406	0.412703
LUSC	sig_IFN_signal	27	0.0565141	-0.142856	0.417675	-0.0177766	0.925342	0.0475897	0.769016	0.162056	0.769016
LUSC	sig_MHC1	27	0.107212	0.126157	0.474783	0.128094	0.619025	0.21665	0.324888	0.220069	0.412703
LUSC	sig_APM	27	0.204553	0.0460296	0.794074	0.104429	0.588217	0.273303	0.0775947	0.154862	0.387974
SCLC	sig_IFNG	59	0.123402	0.0375129	0.707641	0.0394687	0.588021	0.0896626	0.480349	0.127047	0.766596
SCLC	sig_IFNA	59	0.15891	0.0884413	0.36721	0.0591503	0.462839	0.0752112	0.613277	0.148815	0.766596
SCLC	sig_IFN_signal	59	0.193995	0.229285	0.0154884	0.0679477	0.474672	-0.0334622	0.859989	0.189707	0.859989
SCLC	sig_MHC1	59	0.190689	-0.011941	0.965574	0.221822	0.118347	0.332297	0.187526	0.252135	0.468816
SCLC	sig_APM	59	0.182316	0.0598867	0.680351	0.119727	0.265379	0.174213	0.173635	0.128039	0.468816
all_malignant_lung	sig_IFNG	208	0.243388	0.121129	0.006842	0.0123921	0.748926	-0.0247308	0.564734	0.0429485	0.564734
all_malignant_lung	sig_IFNA	208	0.285985	0.190113	0.00179835	0.0218256	0.667805	-0.0519351	0.33832	0.0542409	0.42524
all_malignant_lung	sig_IFN_signal	208	0.0506777	0.160643	0.0199764	-0.111909	0.0628311	-0.0742958	0.221804	0.0608112	0.42524
all_malignant_lung	sig_MHC1	208	0.210341	0.0916861	0.286295	0.0885088	0.214819	-0.0904322	0.286442	0.0848364	0.42524
all_malignant_lung	sig_APM	208	0.277017	0.120301	0.0643778	0.0247685	0.669436	-0.0546832	0.340192	0.0573328	0.42524
all_lung_with_expr	sig_IFNG	214	0.240899	0.111475	0.0123503	0.017259	0.659031	-0.0132339	0.753224	0.0420937	0.753224
all_lung_with_expr	sig_IFNA	214	0.282504	0.174469	0.00377581	0.0285292	0.578581	-0.0344827	0.516984	0.0532139	0.64623
all_lung_with_expr	sig_IFN_signal	214	0.066591	0.129384	0.0685972	-0.0991339	0.103232	-0.0421548	0.499811	0.0624712	0.64623
all_lung_with_expr	sig_MHC1	214	0.204574	0.0620213	0.470715	0.104741	0.154054	-0.0562661	0.502451	0.0838993	0.64623
all_lung_with_expr	sig_APM	214	0.27272	0.103012	0.111804	0.0307169	0.601968	-0.0376041	0.505693	0.0565001	0.64623
