cohort	mutation	n_mut	n_wt	target	median_mut	median_wt	p	rbc_mut_minus_wt	q
NSCLC	STK11	28	120	TACSTD2	4.03812	6.13749	0.0185264	0.286607	0.0216141
NSCLC	STK11	28	120	CLDN4	5.0701	7.35006	0.0111328	0.308929	0.015586
NSCLC	STK11	28	120	sig_IFNG	-0.259815	-0.00297959	0.00491329	0.342262	0.0114644
NSCLC	STK11	28	120	sig_IFNA	-0.279938	-0.00125536	0.00673134	0.329762	0.0117798
NSCLC	STK11	28	120	sig_IFN_signal	-0.221823	0.0767408	0.0460366	0.242857	0.0460366
NSCLC	STK11	28	120	sig_MHC1	-0.406203	0.128441	0.00469347	0.344048	0.0114644
NSCLC	STK11	28	120	sig_APM	-0.395819	0.147245	0.00298449	0.36131	0.0114644
NSCLC	KEAP1	13	135	TACSTD2	4.85599	5.27053	0.491711	0.116239	0.491711
NSCLC	KEAP1	13	135	CLDN4	5.42055	7.27836	0.382186	0.147578	0.491711
NSCLC	KEAP1	13	135	sig_IFNG	-0.266643	-0.0173701	0.0560909	0.321937	0.11101
NSCLC	KEAP1	13	135	sig_IFNA	-0.342683	-0.0183842	0.0634344	0.312821	0.11101
NSCLC	KEAP1	13	135	sig_IFN_signal	-0.144588	0.0456688	0.452088	0.127066	0.491711
NSCLC	KEAP1	13	135	sig_MHC1	-0.36198	0.0128607	0.0232463	0.382336	0.0813622
NSCLC	KEAP1	13	135	sig_APM	-0.483377	0.12603	0.00659842	0.45755	0.0461889
NSCLC	EGFR	5	143	TACSTD2	7.94128	5.21179	0.104412	-0.429371	0.124484
NSCLC	EGFR	5	143	CLDN4	7.7057	7.18874	0.106701	-0.426573	0.124484
NSCLC	EGFR	5	143	sig_IFNG	0.394386	-0.0444096	0.00503664	-0.700699	0.0164569
NSCLC	EGFR	5	143	sig_IFNA	0.490383	-0.0447155	0.00677053	-0.681119	0.0164569
NSCLC	EGFR	5	143	sig_IFN_signal	0.790014	0.0273112	0.00705295	-0.678322	0.0164569
NSCLC	EGFR	5	143	sig_MHC1	0.409849	-0.0343022	0.0778116	-0.465734	0.124484
NSCLC	EGFR	5	143	sig_APM	0.378342	0.0650763	0.187089	-0.353846	0.187089
NSCLC	KRAS	43	105	TACSTD2	4.54967	5.86468	0.157726	0.148394	0.368026
NSCLC	KRAS	43	105	CLDN4	6.3466	7.28327	0.788553	0.0283499	0.788553
NSCLC	KRAS	43	105	sig_IFNG	0.0668419	-0.0775059	0.152214	-0.150388	0.368026
NSCLC	KRAS	43	105	sig_IFNA	0.0347263	-0.0602458	0.109445	-0.168106	0.368026
NSCLC	KRAS	43	105	sig_IFN_signal	0.0273112	0.0371098	0.642232	0.048948	0.74927
NSCLC	KRAS	43	105	sig_MHC1	0.153342	-0.0440295	0.320947	-0.104319	0.561657
NSCLC	KRAS	43	105	sig_APM	0.13563	0.0538746	0.457282	-0.0781838	0.640195
NSCLC	TP53	116	32	TACSTD2	6.02883	3.94426	0.0506984	-0.226293	0.118302
NSCLC	TP53	116	32	CLDN4	7.28082	6.42035	0.297852	-0.12069	0.347494
NSCLC	TP53	116	32	sig_IFNG	-0.0166757	-0.117227	0.025212	-0.259159	0.118302
NSCLC	TP53	116	32	sig_IFNA	-0.00125536	-0.0486734	0.0507007	-0.226293	0.118302
NSCLC	TP53	116	32	sig_IFN_signal	0.0676945	-0.0830178	0.125984	-0.177263	0.220472
NSCLC	TP53	116	32	sig_MHC1	0.0394704	-0.275381	0.216205	-0.143319	0.302687
NSCLC	TP53	116	32	sig_APM	0.100436	0.061152	0.419003	-0.09375	0.419003
NSCLC	SMARCA4	30	118	TACSTD2	2.47166	6.1546	0.0145044	0.289831	0.0180749
NSCLC	SMARCA4	30	118	CLDN4	2.15119	7.352	0.000573668	0.408192	0.00200784
NSCLC	SMARCA4	30	118	sig_IFNG	-0.215665	0.000979236	0.0154928	0.287006	0.0180749
NSCLC	SMARCA4	30	118	sig_IFNA	-0.361109	0.0199719	0.00129449	0.381356	0.00302048
NSCLC	SMARCA4	30	118	sig_IFN_signal	0.130715	0.0210779	0.219368	-0.145763	0.219368
NSCLC	SMARCA4	30	118	sig_MHC1	-0.358685	0.159084	0.000435316	0.416949	0.00200784
NSCLC	SMARCA4	30	118	sig_APM	-0.211511	0.143167	0.00405597	0.340678	0.00709794
NSCLC	B2M	2	146	TACSTD2					
NSCLC	B2M	2	146	CLDN4					
NSCLC	B2M	2	146	sig_IFNG					
NSCLC	B2M	2	146	sig_IFNA					
NSCLC	B2M	2	146	sig_IFN_signal					
NSCLC	B2M	2	146	sig_MHC1					
NSCLC	B2M	2	146	sig_APM					
LUAD	STK11	20	60	TACSTD2	3.81391	7.44811	0.00117664	0.4875	0.00411825
LUAD	STK11	20	60	CLDN4	4.72117	7.82154	0.000210928	0.556667	0.0014765
LUAD	STK11	20	60	sig_IFNG	-0.304473	0.0605013	0.00285127	0.448333	0.00498973
LUAD	STK11	20	60	sig_IFNA	-0.351342	0.054595	0.00274945	0.45	0.00498973
LUAD	STK11	20	60	sig_IFN_signal	-0.165001	0.114133	0.110837	0.24	0.110837
LUAD	STK11	20	60	sig_MHC1	-0.352438	0.138876	0.0372209	0.313333	0.0446188
LUAD	STK11	20	60	sig_APM	-0.328322	0.150021	0.0382447	0.311667	0.0446188
LUAD	KEAP1	10	70	TACSTD2	4.0871	7.28399	0.0478687	0.39	0.0780395
LUAD	KEAP1	10	70	CLDN4	5.27409	7.74251	0.0236855	0.445714	0.0552662
LUAD	KEAP1	10	70	sig_IFNG	-0.192913	0.00470616	0.0701086	0.357143	0.0817933
LUAD	KEAP1	10	70	sig_IFNA	-0.23061	0.0145768	0.0557425	0.377143	0.0780395
LUAD	KEAP1	10	70	sig_IFN_signal	-0.129063	0.0577928	0.936227	0.0171429	0.936227
LUAD	KEAP1	10	70	sig_MHC1	-0.488457	0.0508503	0.0203201	0.457143	0.0552662
LUAD	KEAP1	10	70	sig_APM	-0.580709	0.136698	0.00727297	0.528571	0.0509108
LUAD	EGFR	5	75	TACSTD2	7.94128	6.55275	0.240913	-0.317333	0.240913
LUAD	EGFR	5	75	CLDN4	7.7057	7.45459	0.225387	-0.333333	0.240913
LUAD	EGFR	5	75	sig_IFNG	0.39226	-0.0175355	0.0071579	-0.690667	0.0224415
LUAD	EGFR	5	75	sig_IFNA	0.503758	0.00179239	0.00831539	-0.68	0.0224415
LUAD	EGFR	5	75	sig_IFN_signal	0.741761	0.0129849	0.0096178	-0.669333	0.0224415
LUAD	EGFR	5	75	sig_MHC1	0.366006	-0.0726335	0.0877394	-0.461333	0.153544
LUAD	EGFR	5	75	sig_APM	0.388395	0.0864275	0.182255	-0.365333	0.240913
LUAD	KRAS	29	51	TACSTD2	4.55888	7.38569	0.0453169	0.271129	0.317219
LUAD	KRAS	29	51	CLDN4	5.75141	7.7057	0.0926835	0.227857	0.324392
LUAD	KRAS	29	51	sig_IFNG	0.0593424	-0.0175355	0.779297	-0.0385396	0.920278
