symbol	in_matrix	depmap_col	n_nonNA_lung
DRAM1	True	DRAM1 (55332)	214
DST	True	DST (667)	214
DUSP1	True	DUSP1 (1843)	214
DUSP2	True	DUSP2 (1844)	214
DUSP4	True	DUSP4 (1846)	214
DUSP5	True	DUSP5 (1847)	214
EBI3	True	EBI3 (10148)	214
ECM1	True	ECM1 (1893)	214
ECM2	True	ECM2 (1842)	214
EDIL3	True	EDIL3 (10085)	214
EDN1	True	EDN1 (1906)	214
EFEMP2	True	EFEMP2 (30008)	214
EFNA1	True	EFNA1 (1942)	214
EGR1	True	EGR1 (1958)	214
EGR2	True	EGR2 (1959)	214
EGR3	True	EGR3 (1960)	214
EHD1	True	EHD1 (10938)	214
EIF1	True	EIF1 (10209)	214
EIF2AK2	True	EIF2AK2 (5610)	214
EIF4E3	True	EIF4E3 (317649)	214
ELF1	True	ELF1 (1997)	214
ELN	True	ELN (2006)	214
EMP3	True	EMP3 (2014)	214
ENO2	True	ENO2 (2026)	214
EPCAM	True	EPCAM (4072)	214
EPSTI1	True	EPSTI1 (94240)	214
ERAP1	True	ERAP1 (51752)	214
ERAP2	True	ERAP2 (64167)	214
EREG	True	EREG (2069)	214
ETS2	True	ETS2 (2114)	214
F2RL1	True	F2RL1 (2150)	214
F3	True	F3 (2152)	214
FAP	True	FAP (2191)	214
FAS	True	FAS (355)	214
FBLN1	True	FBLN1 (2192)	214
FBLN2	True	FBLN2 (2199)	214
FBLN5	True	FBLN5 (10516)	214
FBN1	True	FBN1 (2200)	214
FBN2	True	FBN2 (2201)	214
FCGR1A	True	FCGR1A (2209)	214
FERMT2	True	FERMT2 (10979)	214
FFAR2	True	FFAR2 (2867)	214
FGF2	True	FGF2 (2247)	214
FGL2	True	FGL2 (10875)	214
FJX1	True	FJX1 (24147)	214
FLNA	True	FLNA (2316)	214
FMOD	True	FMOD (2331)	214
FN1	True	FN1 (2335)	214
FOS	True	FOS (2353)	214
FOSB	True	FOSB (2354)	214
FOSL1	True	FOSL1 (8061)	214
FOSL2	True	FOSL2 (2355)	214
FOXC2	True	FOXC2 (2303)	214
FPR1	True	FPR1 (2357)	214
FSTL1	True	FSTL1 (11167)	214
FSTL3	True	FSTL3 (10272)	214
FUCA1	True	FUCA1 (2517)	214
FUT4	True	FUT4 (2526)	214
FZD5	True	FZD5 (7855)	214
FZD8	True	FZD8 (8325)	214
G0S2	True	G0S2 (50486)	214
GABBR1	True	GABBR1 (2550)	214
GADD45A	True	GADD45A (1647)	214
GADD45B	True	GADD45B (4616)	214
GAS1	True	GAS1 (2619)	214
GBP2	True	GBP2 (2634)	214
GBP4	True	GBP4 (115361)	214
GBP6	True	GBP6 (163351)	214
GCH1	True	GCH1 (2643)	214
GEM	True	GEM (2669)	214
GFPT2	True	GFPT2 (9945)	214
GJA1	True	GJA1 (2697)	214
GLIPR1	True	GLIPR1 (11010)	214
GMPR	True	GMPR (2766)	214
GNA15	True	GNA15 (2769)	214
GNAI3	True	GNAI3 (2773)	214
GP1BA	True	GP1BA (2811)	214
GPC1	True	GPC1 (2817)	214
GPC3	True	GPC3 (2719)	214
GPR132	True	GPR132 (29933)	214
GPR18	True	GPR18 (2841)	214
GPR183	True	GPR183 (1880)	214
GPX7	True	GPX7 (2882)	214
GREM1	True	GREM1 (26585)	214
GZMA	True	GZMA (3001)	214
HAS2	True	HAS2 (3037)	214
HBEGF	True	HBEGF (1839)	214
HELZ2	True	HELZ2 (85441)	214
HERC6	True	HERC6 (55008)	214
HES1	True	HES1 (3280)	214
HIF1A	True	HIF1A (3091)	214
HLA-A	True	HLA-A (3105)	214
HLA-B	True	HLA-B (3106)	214
HLA-C	True	HLA-C (3107)	214
HLA-DMA	True	HLA-DMA (3108)	214
HLA-DQA1	True	HLA-DQA1 (3117)	214
HLA-DRB1	True	HLA-DRB1 (3123)	214
HLA-G	True	HLA-G (3135)	214
HPN	True	HPN (3249)	214
HRH1	True	HRH1 (3269)	214
HSP90AB1	True	HSP90AB1 (3326)	214
HTRA1	True	HTRA1 (5654)	214
ICAM1	True	ICAM1 (3383)	214
ICAM4	True	ICAM4 (3386)	214
ICOSLG	True	ICOSLG (23308)	214
ID2	True	ID2 (3398)	214
IDO1	True	IDO1 (3620)	214
IER2	True	IER2 (9592)	214
IER3	True	IER3 (8870)	214
IER5	True	IER5 (51278)	214
IFI27	True	IFI27 (3429)	214
IFI30	True	IFI30 (10437)	214
IFI35	True	IFI35 (3430)	214
IFI44	True	IFI44 (10561)	214
IFI44L	True	IFI44L (10964)	214
IFIH1	True	IFIH1 (64135)	214
IFIT1	True	IFIT1 (3434)	214
IFIT2	True	IFIT2 (3433)	214
IFIT3	True	IFIT3 (3437)	214
IFITM1	True	IFITM1 (8519)	214
IFITM2	True	IFITM2 (10581)	214
IFITM3	True	IFITM3 (10410)	214
IFNAR1	True	IFNAR1 (3454)	214
IFNAR2	True	IFNAR2 (3455)	214
IFNGR1	True	IFNGR1 (3459)	214
IFNGR2	True	IFNGR2 (3460)	214
IGFBP2	True	IGFBP2 (3485)	214
IGFBP3	True	IGFBP3 (3486)	214
IGFBP4	True	IGFBP4 (3487)	214
IL10	True	IL10 (3586)	214
IL10RA	True	IL10RA (3587)	214
IL12B	True	IL12B (3593)	214
IL15	True	IL15 (3600)	214
IL15RA	True	IL15RA (3601)	214
IL18	True	IL18 (3606)	214
IL18BP	True	IL18BP (10068)	214
IL18R1	True	IL18R1 (8809)	214
IL18RAP	True	IL18RAP (8807)	214
IL1A	True	IL1A (3552)	214
IL1B	True	IL1B (3553)	214
IL1R1	True	IL1R1 (3554)	214
IL23A	True	IL23A (51561)	214
IL2RB	True	IL2RB (3560)	214
IL32	True	IL32 (9235)	214
IL4R	True	IL4R (3566)	214
IL6	True	IL6 (3569)	214
IL6ST	True	IL6ST (3572)	214
IL7	True	IL7 (3574)	214
IL7R	True	IL7R (3575)	214
INHBA	True	INHBA (3624)	214
IRAK2	True	IRAK2 (3656)	214
IRF1	True	IRF1 (3659)	214
IRF2	True	IRF2 (3660)	214
IRF4	True	IRF4 (3662)	214
IRF5	True	IRF5 (3663)	214
IRF7	True	IRF7 (3665)	214
IRF8	True	IRF8 (3394)	214
IRF9	True	IRF9 (10379)	214
IRS2	True	IRS2 (8660)	214
ISG15	True	ISG15 (9636)	214
ISG20	True	ISG20 (3669)	214
ISOC1	True	ISOC1 (51015)	214
ITGA2	True	ITGA2 (3673)	214
ITGA5	True	ITGA5 (3678)	214
ITGAV	True	ITGAV (3685)	214
ITGB1	True	ITGB1 (3688)	214
ITGB3	True	ITGB3 (3690)	214
ITGB5	True	ITGB5 (3693)	214
ITGB7	True	ITGB7 (3695)	214
ITGB8	True	ITGB8 (3696)	214
JAG1	True	JAG1 (182)	214
JAK1	True	JAK1 (3716)	214
JAK2	True	JAK2 (3717)	214
JUN	True	JUN (3725)	214
JUNB	True	JUNB (3726)	214
KCNA3	True	KCNA3 (3738)	214
KCNJ2	True	KCNJ2 (3759)	214
KCNMB2	True	KCNMB2 (10242)	214
KDM6B	True	KDM6B (23135)	214
KIF1B	True	KIF1B (23095)	214
KLF10	True	KLF10 (7071)	214
KLF2	True	KLF2 (10365)	214
KLF4	True	KLF4 (9314)	214
KLF6	True	KLF6 (1316)	214
KLF9	True	KLF9 (687)	214
KLRK1	True	KLRK1 (22914)	214
KRT18	True	KRT18 (3875)	214
KRT19	True	KRT19 (3880)	214
KRT8	True	KRT8 (3856)	214
KYNU	True	KYNU (8942)	214
LAMA1	True	LAMA1 (284217)	214
LAMA2	True	LAMA2 (3908)	214
LAMA3	True	LAMA3 (3909)	214
LAMB3	True	LAMB3 (3914)	214
LAMC1	True	LAMC1 (3915)	214
LAMC2	True	LAMC2 (3918)	214
LAMP3	True	LAMP3 (27074)	214
LAP3	True	LAP3 (51056)	214
LATS2	True	LATS2 (26524)	214
LCK	True	LCK (3932)	214
LCP2	True	LCP2 (3937)	214
LDLR	True	LDLR (3949)	214
LGALS1	True	LGALS1 (3956)	214
LGALS3BP	True	LGALS3BP (3959)	214
LIF	True	LIF (3976)	214
LITAF	True	LITAF (9516)	214
LOX	True	LOX (4015)	214
LOXL1	True	LOXL1 (4016)	214
LOXL2	True	LOXL2 (4017)	214
LPAR1	True	LPAR1 (1902)	214
LPAR6	True	LPAR6 (10161)	214
LRP1	True	LRP1 (4035)	214
LRRC15	True	LRRC15 (131578)	214
LTA	True	LTA (4049)	214
LUM	True	LUM (4060)	214
LY6E	True	LY6E (4061)	214
LYN	True	LYN (4067)	214
LYSMD2	True	LYSMD2 (256586)	214
MAFF	True	MAFF (23764)	214
MAGEE1	True	MAGEE1 (57692)	214
MAP2K3	True	MAP2K3 (5606)	214
MAP3K8	True	MAP3K8 (1326)	214
