cohort	predictor	target	adjusted_for	n	rho	p
NSCLC	TACSTD2	sig_IFNG	CLDN4	148	0.181734	0.0270648
NSCLC	CLDN4	sig_IFNG	TACSTD2	148	0.105735	0.200895
NSCLC	TACSTD2	sig_IFNG	CLDN4+EMT	148	0.327119	4.94831e-05
NSCLC	TACSTD2	sig_IFNG	EMT	148	0.450827	8.93086e-09
NSCLC	TACSTD2	sig_IFNG	CLDN4+STK11	148	0.168948	0.0401027
NSCLC	TACSTD2	sig_IFNA	CLDN4	148	0.207983	0.0111943
NSCLC	CLDN4	sig_IFNA	TACSTD2	148	0.106468	0.197773
NSCLC	TACSTD2	sig_IFNA	CLDN4+EMT	148	0.334193	3.30796e-05
NSCLC	TACSTD2	sig_IFNA	EMT	148	0.441339	1.97067e-08
NSCLC	TACSTD2	sig_IFNA	CLDN4+STK11	148	0.199995	0.0148061
NSCLC	TACSTD2	sig_IFN_signal	CLDN4	148	0.18498	0.0244007
NSCLC	CLDN4	sig_IFN_signal	TACSTD2	148	-0.166267	0.0434185
NSCLC	TACSTD2	sig_IFN_signal	CLDN4+EMT	148	0.245024	0.00268689
NSCLC	TACSTD2	sig_IFN_signal	EMT	148	0.243743	0.00283321
NSCLC	TACSTD2	sig_IFN_signal	CLDN4+STK11	148	0.177717	0.0307012
NSCLC	TACSTD2	sig_MHC1	CLDN4	148	0.0233104	0.778544
NSCLC	CLDN4	sig_MHC1	TACSTD2	148	0.120209	0.145588
NSCLC	TACSTD2	sig_MHC1	CLDN4+EMT	148	0.193328	0.0185602
NSCLC	TACSTD2	sig_MHC1	EMT	148	0.307607	0.000142895
NSCLC	TACSTD2	sig_MHC1	CLDN4+STK11	148	-0.0016214	0.984396
NSCLC	TACSTD2	sig_APM	CLDN4	148	0.109441	0.185471
NSCLC	CLDN4	sig_APM	TACSTD2	148	0.0561419	0.497937
NSCLC	TACSTD2	sig_APM	CLDN4+EMT	148	0.248248	0.00234831
NSCLC	TACSTD2	sig_APM	EMT	148	0.365874	4.81076e-06
NSCLC	TACSTD2	sig_APM	CLDN4+STK11	148	0.0813069	0.325912
LUAD	TACSTD2	sig_IFNG	CLDN4	80	0.030075	0.791144
LUAD	CLDN4	sig_IFNG	TACSTD2	80	0.201758	0.0727043
LUAD	TACSTD2	sig_IFNG	CLDN4+EMT	80	0.197562	0.0789866
LUAD	TACSTD2	sig_IFNG	EMT	80	0.395617	0.000281032
LUAD	TACSTD2	sig_IFNG	CLDN4+STK11	80	0.0544069	0.631706
LUAD	TACSTD2	sig_IFNA	CLDN4	80	0.0807314	0.476538
LUAD	CLDN4	sig_IFNA	TACSTD2	80	0.213666	0.0570339
LUAD	TACSTD2	sig_IFNA	CLDN4+EMT	80	0.231974	0.038404
LUAD	TACSTD2	sig_IFNA	EMT	80	0.423769	8.96878e-05
LUAD	TACSTD2	sig_IFNA	CLDN4+STK11	80	0.101219	0.371655
LUAD	TACSTD2	sig_IFN_signal	CLDN4	80	0.211275	0.0599369
LUAD	CLDN4	sig_IFN_signal	TACSTD2	80	-0.163643	0.14694
