cohort	target	n_TROP2hi_CLDN4hi	n_TROP2hi_CLDN4lo	n_TROP2lo_CLDN4hi	n_TROP2lo_CLDN4lo	median_TROP2hi_CLDN4hi	median_TROP2hi_CLDN4lo	median_TROP2lo_CLDN4hi	median_TROP2lo_CLDN4lo	kruskal_H	kruskal_p	MW_hihi_vs_hilo_p	MW_hihi_vs_hilo_rbc	MW_hihi_vs_lohi_p	MW_hihi_vs_lohi_rbc
NSCLC	sig_IFNG	62	12	12	62	0.0157737	-0.0493886	-0.0354607	-0.0985305	3.32841	0.343708	0.476936	-0.13172	0.450109	-0.139785
NSCLC	sig_IFNA	62	12	12	62	0.0246848	-0.00767689	-0.079373	-0.142859	6.30432	0.0977076	0.562416	-0.107527	0.367121	-0.166667
NSCLC	sig_IFN_signal	62	12	12	62	0.0121103	0.0675582	-0.24117	0.146281	4.02386	0.258899	0.741433	0.061828	0.763699	-0.0564516
NSCLC	sig_MHC1	62	12	12	62	0.0903735	-0.165601	0.065328	-0.0364238	1.52914	0.675562	0.552565	-0.110215	0.552565	0.110215
NSCLC	sig_APM	62	12	12	62	0.13083	-0.13359	0.0959585	0.0623164	0.660105	0.882545	0.562416	-0.107527	0.75254	0.0591398
LUAD	sig_IFNG	35	5	5	35	0.08691	-0.023215	-0.126351	-0.0475677	3.92476	0.269704	0.078379	-0.497143	0.337011	-0.28
LUAD	sig_IFNA	35	5	5	35	0.237246	-0.0572576	-0.154294	-0.0628668	5.2982	0.151219	0.144831	-0.417143	0.278908	-0.314286
LUAD	sig_IFN_signal	35	5	5	35	0.139566	-0.280786	-0.290861	0.00947249	3.54603	0.314841	0.156867	-0.405714	0.316887	-0.291429
LUAD	sig_MHC1	35	5	5	35	0.117066	-0.887721	-0.14413	-0.0528012	3.19407	0.36266	0.0860993	-0.485714	0.721064	-0.108571
LUAD	sig_APM	35	5	5	35	0.134832	0.00610118	0.212087	0.079205	0.746032	0.862327	0.473286	-0.211429	0.633643	0.142857
LUSC	sig_IFNG	10	4	4	9	0.0492517	0.0898272	-0.0198704	-0.0548667	0.265873	0.966314				
LUSC	sig_IFNA	10	4	4	9	0.0227599	0.195341	0.0365921	-0.155292	0.61746	0.892424				
LUSC	sig_IFN_signal	10	4	4	9	-0.563396	-0.160649	0.277464	0.549393	5.0388	0.168978				
LUSC	sig_MHC1	10	4	4	9	0.345419	0.042838	-0.269607	-0.147643	0.529365	0.912394				
LUSC	sig_APM	10	4	4	9	0.27499	-0.0970612	-0.228213	-0.0112127	2.05573	0.56092				
SCLC	sig_IFNG	17	13	13	16	0.119007	-0.148125	-0.104378	-0.17349	10.8755	0.0124182	0.036386	-0.457014	0.00339374	-0.638009
SCLC	sig_IFNA	17	13	13	16	0.351759	-0.0397441	-0.163115	-0.188159	9.65653	0.0217232	0.0719198	-0.393665	0.00837266	-0.574661
SCLC	sig_IFN_signal	17	13	13	16	0.309837	0.00827339	-0.211462	-0.164417	8.93826	0.0301231	0.194492	-0.285068	0.00224927	-0.665158
SCLC	sig_MHC1	17	13	13	16	0.223287	0.0534795	-0.252186	-0.515208	6.05972	0.108741	0.276531	-0.239819	0.0655517	-0.402715
SCLC	sig_APM	17	13	13	16	0.263427	-0.0182771	-0.247761	-0.250271	3.63075	0.304196	0.530151	-0.140271	0.154748	-0.312217
all_malignant_lung	sig_IFNG	74	30	30	74	0.133707	0.0531773	-0.157677	-0.248965	40.6138	7.89646e-09	0.493212	-0.0864865	0.000550817	-0.434234
all_malignant_lung	sig_IFNA	74	30	30	74	0.189497	0.086404	-0.190483	-0.333228	46.6493	4.12682e-10	0.286658	-0.134234	0.000565657	-0.433333
all_malignant_lung	sig_IFN_signal	74	30	30	74	0.0615995	0.433818	0.0547105	-0.101392	9.55046	0.0228006	0.0299746	0.272973	0.832371	0.027027
all_malignant_lung	sig_MHC1	74	30	30	74	0.324899	0.316884	-0.0604905	-0.223494	21.5971	7.91141e-05	0.985689	-0.0027027	0.0198975	-0.292793
all_malignant_lung	sig_APM	74	30	30	74	0.313218	0.240786	-0.149984	-0.308945	30.0416	1.3525e-06	0.685194	-0.0513514	0.000952923	-0.415315
all_lung_with_expr	sig_IFNG	76	31	31	76	0.130629	0.0737286	-0.164379	-0.228591	40.1165	1.00663e-08	0.628279	-0.0602716	0.000369816	-0.440577
all_lung_with_expr	sig_IFNA	76	31	31	76	0.183621	0.0907054	-0.231417	-0.32628	45.5955	6.91331e-10	0.366494	-0.112054	0.000276606	-0.449915
all_lung_with_expr	sig_IFN_signal	76	31	31	76	0.0526012	0.419437	0.0411571	-0.0916086	11.267	0.0103664	0.012795	0.308149	0.893471	0.0169779
all_lung_with_expr	sig_MHC1	76	31	31	76	0.321026	0.281058	-0.111267	-0.221467	20.0143	0.00016859	0.888043	-0.0178268	0.0107343	-0.315789
all_lung_with_expr	sig_APM	76	31	31	76	0.299415	0.270973	-0.157731	-0.272493	29.0243	2.21324e-06	0.791476	-0.033107	0.000650453	-0.421902
