cohort	predictor	target	n_high	n_low	median_high	median_low	p	rbc_high_minus_low
NSCLC	TACSTD2	sig_IFNG	74	74	0.00778475	-0.0822621	0.0987449	-0.157414
NSCLC	TACSTD2	sig_IFNA	74	74	0.0246848	-0.128498	0.0175117	-0.226443
NSCLC	TACSTD2	sig_IFN_signal	74	74	0.03649	0.0311947	0.213331	0.1187
NSCLC	TACSTD2	sig_MHC1	74	74	0.060943	-0.0323433	0.885648	-0.0138787
NSCLC	TACSTD2	sig_APM	74	74	0.117475	0.0623164	0.99541	0.00073046
NSCLC	CLDN4	sig_IFNG	74	74	0.00778475	-0.0908243	0.101917	-0.155953
NSCLC	CLDN4	sig_IFNA	74	74	0.0140253	-0.128498	0.0278513	-0.209642
NSCLC	CLDN4	sig_IFN_signal	74	74	-0.0499483	0.119772	0.0642575	0.176406
NSCLC	CLDN4	sig_MHC1	74	74	0.0903735	-0.0396944	0.325274	-0.0938641
NSCLC	CLDN4	sig_APM	74	74	0.13083	0.0583922	0.556081	-0.0562454
LUAD	TACSTD2	sig_IFNG	40	40	0.0596118	-0.0626737	0.343223	-0.12375
LUAD	TACSTD2	sig_IFNA	40	40	0.156773	-0.068911	0.0727179	-0.23375
LUAD	TACSTD2	sig_IFN_signal	40	40	0.0902737	-0.0115084	0.85116	0.025
LUAD	TACSTD2	sig_MHC1	40	40	0.0508503	-0.0712721	0.896643	0.0175
LUAD	TACSTD2	sig_APM	40	40	0.106627	0.0828754	0.828593	0.02875
LUAD	CLDN4	sig_IFNG	40	40	0.0665141	-0.0353914	0.176388	-0.17625
LUAD	CLDN4	sig_IFNA	40	40	0.151332	-0.0600622	0.0573748	-0.2475
LUAD	CLDN4	sig_IFN_signal	40	40	0.114133	-0.042931	0.996161	0.00125
LUAD	CLDN4	sig_MHC1	40	40	0.0508503	-0.0788648	0.547569	-0.07875
LUAD	CLDN4	sig_APM	40	40	0.136698	0.0426531	0.703879	-0.05
LUSC	TACSTD2	sig_IFNG	14	13	0.0492517	-0.0548667	0.6448	-0.10989
LUSC	TACSTD2	sig_IFNA	14	13	0.0227599	-0.155292	0.544132	-0.142857
LUSC	TACSTD2	sig_IFN_signal	14	13	-0.563396	0.549393	0.0347819	0.483516
