cohort	target	split	n_high	rho_high	p_high	n_low	rho_low	p_low	cldn4_median	fisher_z	fisher_p
NSCLC	sig_IFNG	CLDN4_median	74	0.425961	0.000154451	74	0.357052	0.0017913	7.24749	0.485283	0.627475
NSCLC	sig_IFNA	CLDN4_median	74	0.405228	0.00034163	74	0.395663	0.000484427	7.24749	0.0678697	0.945889
NSCLC	sig_IFN_signal	CLDN4_median	74	0.454424	4.76135e-05	74	0.221966	0.0573418	7.24749	1.57618	0.114985
NSCLC	sig_MHC1	CLDN4_median	74	0.17124	0.144624	74	0.200624	0.0865434	7.24749	-0.181355	0.856089
NSCLC	sig_APM	CLDN4_median	74	0.259593	0.0255145	74	0.245707	0.0348471	7.24749	0.0883782	0.929576
NSCLC	sig_IFNG	TACSTD2_median	74	0.266583	0.0216812	74	0.244415	0.0358446	5.24155	0.141312	0.887624
NSCLC	sig_IFNA	TACSTD2_median	74	0.199467	0.088412	74	0.274241	0.0180557	5.24155	-0.472287	0.636722
NSCLC	sig_IFN_signal	TACSTD2_median	74	0.185516	0.113541	74	-0.136217	0.247175	5.24155	1.93498	0.0529933
NSCLC	sig_MHC1	TACSTD2_median	74	0.159748	0.173969	74	0.269088	0.0204326	5.24155	-0.683711	0.494158
NSCLC	sig_APM	TACSTD2_median	74	0.146509	0.212914	74	0.186673	0.111269	5.24155	-0.246175	0.805547
LUAD	sig_IFNG	CLDN4_median	40	0.54015	0.000321176	40	0.0451262	0.782169	7.46973	2.40526	0.0161611
LUAD	sig_IFNA	CLDN4_median	40	0.521764	0.000554744	40	0.162679	0.315885	7.46973	1.78336	0.0745281
LUAD	sig_IFN_signal	CLDN4_median	40	0.578424	9.25423e-05	40	-0.0515058	0.752283	7.46973	3.06089	0.0022068
LUAD	sig_MHC1	CLDN4_median	40	0.294559	0.0650297	40	-0.0182944	0.910788	7.46973	1.38432	0.166261
LUAD	sig_APM	CLDN4_median	40	0.25122	0.117896	40	-0.0199831	0.902591	7.46973	1.19013	0.233995
LUAD	sig_IFNG	TACSTD2_median	40	0.433959	0.00514755	40	0.224953	0.162843	6.57796	1.01463	0.310283
LUAD	sig_IFNA	TACSTD2_median	40	0.393246	0.0120632	40	0.255159	0.112054	6.57796	0.665432	0.505774
LUAD	sig_IFN_signal	TACSTD2_median	40	0.338086	0.0328658	40	-0.241088	0.13397	6.57796	2.57149	0.0101262
LUAD	sig_MHC1	TACSTD2_median	40	0.358724	0.0230219	40	0.0727955	0.655313	6.57796	1.30109	0.193229
LUAD	sig_APM	TACSTD2_median	40	0.327767	0.0389542	40	0.157974	0.330274	6.57796	0.778583	0.436225
LUSC	sig_IFNG	CLDN4_median	14	0.23956	0.40943	13	0.368132	0.215857	7.23036	-0.324885	0.745268
LUSC	sig_IFNA	CLDN4_median	14	0.213187	0.464303	13	0.401099	0.174357	7.23036	-0.477078	0.633307
LUSC	sig_IFN_signal	CLDN4_median	14	-0.0857143	0.770785	13	-0.0769231	0.802763	7.23036	-0.0202544	0.98384
LUSC	sig_MHC1	CLDN4_median	14	0.454945	0.102154	13	0.340659	0.254706	7.23036	0.311445	0.755462
LUSC	sig_APM	CLDN4_median	14	0.441758	0.113778	13	0.0769231	0.802763	7.23036	0.909383	0.363148
LUSC	sig_IFNG	TACSTD2_median	14	0.112088	0.702833	13	-0.032967	0.914856	5.21179	0.333095	0.739062
LUSC	sig_IFNA	TACSTD2_median	14	0.112088	0.702833	13	0.043956	0.886619	5.21179	0.15695	0.875284
