cohort	predictor	target	n	rho	p	q_primary
NSCLC	TACSTD2	sig_IFNG	148	0.344447	1.81282e-05	3.62563e-05
NSCLC	TACSTD2	sig_IFNA	148	0.376653	2.37844e-06	7.13532e-06
NSCLC	TACSTD2	sig_IFN_signal	148	0.107441	0.193683	0.193683
NSCLC	TACSTD2	sig_MHC1	148	0.148698	0.071279	0.0855349
NSCLC	TACSTD2	sig_APM	148	0.185315	0.024139	0.0362085
NSCLC	TACSTD2	sig_APMS8	148	-0.025578	0.757639	
NSCLC	TACSTD2	sig_infl	148	0.305396	0.000160404	
NSCLC	TACSTD2	sig_tnfa	148	0.313246	0.000105963	
NSCLC	TACSTD2	sig_EMT	148	-0.664412	3.37938e-20	
NSCLC	TACSTD2	sig_EMT_hm	148	-0.109046	0.187073	
NSCLC	TACSTD2	CLDN4	148	0.681752	1.46079e-21	8.76472e-21
NSCLC	CLDN4	sig_IFNG	148	0.242109	0.0030303	0.00757576
NSCLC	CLDN4	sig_IFNA	148	0.277082	0.000651366	0.00325683
NSCLC	CLDN4	sig_IFN_signal	148	-0.083319	0.314042	0.314042
NSCLC	CLDN4	sig_MHC1	148	0.156926	0.0568163	0.0946939
NSCLC	CLDN4	sig_APM	148	0.106182	0.19899	0.248737
NSCLC	CLDN4	sig_APMS8	148	-0.0373237	0.652444	
NSCLC	CLDN4	sig_infl	148	0.173318	0.0351526	
NSCLC	CLDN4	sig_tnfa	148	0.150361	0.0681376	
NSCLC	CLDN4	sig_EMT	148	-0.746898	1.17364e-27	
NSCLC	CLDN4	sig_EMT_hm	148	-0.262453	0.00127085	
LUAD	TACSTD2	sig_IFNG	80	0.268381	0.0160828	0.0321656
LUAD	TACSTD2	sig_IFNA	80	0.34943	0.00148812	0.00446435
LUAD	TACSTD2	sig_IFN_signal	80	0.15551	0.168378	0.252568
LUAD	TACSTD2	sig_MHC1	80	0.0777904	0.492796	0.566318
LUAD	TACSTD2	sig_APM	80	0.0650734	0.566318	0.566318
LUAD	TACSTD2	sig_APMS8	80	-0.107819	0.341116	
LUAD	TACSTD2	sig_infl	80	0.194423	0.0839635	
LUAD	TACSTD2	sig_tnfa	80	0.115414	0.307985	
LUAD	TACSTD2	sig_EMT	80	-0.667096	1.41472e-11	
LUAD	TACSTD2	sig_EMT_hm	80	-0.299605	0.00693615	
LUAD	TACSTD2	CLDN4	80	0.756139	5.10842e-16	3.06505e-15
LUAD	CLDN4	sig_IFNG	80	0.24918	0.0258181	0.0645452
LUAD	CLDN4	sig_IFNA	80	0.319831	0.00382786	0.0191393
LUAD	CLDN4	sig_IFN_signal	80	-0.00201594	0.98584	0.98584
LUAD	CLDN4	sig_MHC1	80	0.108931	0.336129	0.420162
LUAD	CLDN4	sig_APM	80	0.115424	0.307942	0.420162
LUAD	CLDN4	sig_APMS8	80	0.0385138	0.734472	
LUAD	CLDN4	sig_infl	80	0.1391	0.218488	
LUAD	CLDN4	sig_tnfa	80	0.0625645	0.58141	
LUAD	CLDN4	sig_EMT	80	-0.731622	1.27765e-14	
LUAD	CLDN4	sig_EMT_hm	80	-0.300305	0.0067995	
LUSC	TACSTD2	sig_IFNG	27	0.273504	0.167461	0.200027
LUSC	TACSTD2	sig_IFNA	27	0.276557	0.162581	0.200027
LUSC	TACSTD2	sig_IFN_signal	27	-0.254579	0.200027	0.200027
LUSC	TACSTD2	sig_MHC1	27	0.304029	0.123125	0.200027
LUSC	TACSTD2	sig_APM	27	0.29243	0.138824	0.200027
LUSC	TACSTD2	sig_APMS8	27	0.190476	0.341269	
LUSC	TACSTD2	sig_infl	27	0.267399	0.177528	
LUSC	TACSTD2	sig_tnfa	27	0.269841	0.173451	
LUSC	TACSTD2	sig_EMT	27	-0.575702	0.00167727	
LUSC	TACSTD2	sig_EMT_hm	27	0.017094	0.932559	
