cohort	predictor	gene	n	rho	p	q
NSCLC	TACSTD2	HLA-A	148	0.0542119	0.51285	0.612266
NSCLC	TACSTD2	HLA-B	148	0.147984	0.0726645	0.153871
NSCLC	TACSTD2	HLA-C	148	0.216215	0.0083063	0.0355984
NSCLC	TACSTD2	B2M	148	0.157988	0.0551395	0.137849
NSCLC	TACSTD2	TAP1	148	-0.0712777	0.389308	0.507793
NSCLC	TACSTD2	TAP2	148	0.162702	0.0481816	0.131404
NSCLC	TACSTD2	TAPBP	148	0.18563	0.0238951	0.0796505
NSCLC	TACSTD2	TAPBPL	148	0.304702	0.000166302	0.00249452
NSCLC	TACSTD2	PSMB8	148	0.14853	0.0716037	0.153871
NSCLC	TACSTD2	PSMB9	148	0.00148538	0.985705	0.985705
NSCLC	TACSTD2	PSMB10	148	0.0990213	0.231159	0.315217
NSCLC	TACSTD2	NLRC5	148	0.142646	0.0837193	0.156974
NSCLC	TACSTD2	ERAP1	148	0.145849	0.0769356	0.153871
NSCLC	TACSTD2	ERAP2	148	0.229185	0.00508016	0.0254008
NSCLC	TACSTD2	CALR	148	0.0678792	0.41237	0.515462
NSCLC	TACSTD2	CANX	148	-0.0148574	0.85776	0.919029
NSCLC	TACSTD2	PDIA3	148	0.118711	0.15071	0.2153
NSCLC	TACSTD2	PSME1	148	0.250819	0.00210659	0.0210659
NSCLC	TACSTD2	PSME2	148	0.212433	0.00953907	0.0357715
NSCLC	TACSTD2	PSME3	148	-0.170795	0.0379435	0.11383
NSCLC	TACSTD2	STAT1	148	0.123126	0.135996	0.2153
NSCLC	TACSTD2	STAT2	148	0.234279	0.00415744	0.0249446
NSCLC	TACSTD2	IRF1	148	0.243355	0.00287894	0.0215921
NSCLC	TACSTD2	IRF9	148	0.4082	2.6049e-07	7.81471e-06
NSCLC	TACSTD2	JAK1	148	-0.0110926	0.893555	0.924367
NSCLC	TACSTD2	JAK2	148	-0.119161	0.149158	0.2153
NSCLC	TACSTD2	IFNGR1	148	0.0267691	0.746728	0.829698
NSCLC	TACSTD2	IFNGR2	148	-0.120812	0.143564	0.2153
NSCLC	TACSTD2	IFNAR1	148	-0.0519483	0.53063	0.612266
NSCLC	TACSTD2	IFNAR2	148	-0.138169	0.0939951	0.165874
NSCLC	CLDN4	HLA-A	148	0.110477	0.181315	0.271973
NSCLC	CLDN4	HLA-B	148	0.143296	0.0823044	0.205761
NSCLC	CLDN4	HLA-C	148	0.220918	0.00697121	0.0418272
NSCLC	CLDN4	B2M	148	0.0761171	0.35784	0.4473
NSCLC	CLDN4	TAP1	148	-0.127945	0.121215	0.24243
NSCLC	CLDN4	TAP2	148	0.120776	0.143686	0.253563
NSCLC	CLDN4	TAPBP	148	-0.0224452	0.786563	0.813686
NSCLC	CLDN4	TAPBPL	148	0.321298	6.84208e-05	0.00205262
NSCLC	CLDN4	PSMB8	148	0.104767	0.205072	0.279643
NSCLC	CLDN4	PSMB9	148	-0.0157513	0.849301	0.849301
NSCLC	CLDN4	PSMB10	148	0.0403426	0.626381	0.695979
NSCLC	CLDN4	NLRC5	148	0.115901	0.160683	0.25371
NSCLC	CLDN4	ERAP1	148	-0.0229792	0.781611	0.813686
NSCLC	CLDN4	ERAP2	148	0.154136	0.0614227	0.167516
NSCLC	CLDN4	CALR	148	0.0543114	0.512076	0.590857
NSCLC	CLDN4	CANX	148	0.130101	0.115018	0.24243
NSCLC	CLDN4	PDIA3	148	0.067377	0.415844	0.499013
NSCLC	CLDN4	PSME1	148	0.188096	0.0220587	0.08272
NSCLC	CLDN4	PSME2	148	0.121274	0.142029	0.253563
NSCLC	CLDN4	PSME3	148	-0.106907	0.19592	0.279643
NSCLC	CLDN4	STAT1	148	-0.0845222	0.307081	0.40054
NSCLC	CLDN4	STAT2	148	0.133155	0.106666	0.24243
NSCLC	CLDN4	IRF1	148	0.201077	0.0142639	0.0611311
