endpoint	n_Q4	n_Q1	median_Q4	median_Q1	U	p	rank_biserial_Q4_minus_Q1
CD8A	28	28	553.1	914.4	285.0	0.080950363810852	-0.2729591836734694
CD274	28	28	627.5	771.3	368.0	0.7001702208904506	-0.061224489795918324
