gene	named_probe	probe	gpl570_symbol	entrez	title	in_matrix	n_finite	mean_mas5	is_named_primary	chosen_for_collapse
CLDN4	201428_at	1569421_at	CLDN4	1364	claudin 4	True	111	46.17837837837838	False	False
CLDN4	201428_at	201428_at	CLDN4	1364	claudin 4	True	111	2137.8846846846845	True	True
CD8A	205758_at	205758_at	CD8A	925	CD8a molecule	True	111	766.5891891891894	True	True
CD274	227458_at	223834_at	CD274	29126	CD274 molecule	True	111	369.35315315315313	False	False
CD274	227458_at	227458_at	CD274	29126	CD274 molecule	True	111	1009.809009009009	True	True
TACSTD2	202286_s_at	202285_s_at	TACSTD2	4070	tumor-associated calcium signal transducer 2	True	111	130.06756756756755	False	False
TACSTD2	202286_s_at	202286_s_at	TACSTD2	4070	tumor-associated calcium signal transducer 2	True	111	18392.5009009009	True	True
TACSTD2	202286_s_at	202287_s_at	TACSTD2	4070	tumor-associated calcium signal transducer 2	True	111	87.87207207207209	False	False
TACSTD2	202286_s_at	227128_s_at	TACSTD2	4070	tumor-associated calcium signal transducer 2	True	111	19.982882882882887	False	False
