subset	tumor_gene	metric	axis	n	rho	p
all_20	TACSTD2	mean	frac_immune	20	0.5157894736842105	0.019919763459703678
all_20	TACSTD2	mean	frac_tcell	20	0.4796992481203006	0.03232606920021421
all_20	TACSTD2	detect_frac	frac_immune	20	0.42255639097744363	0.06344083999820868
all_20	TACSTD2	detect_frac	frac_tcell	20	0.41503759398496237	0.06880769728594094
all_20	CLDN4	mean	frac_immune	20	-0.02857142857142857	0.9048224147367736
all_20	CLDN4	mean	frac_tcell	20	-0.05413533834586466	0.8206745196973448
all_20	CLDN4	detect_frac	frac_immune	20	-0.20150375939849624	0.39426050476127356
all_20	CLDN4	detect_frac	frac_tcell	20	-0.1819548872180451	0.4426210667757499
ANP_only_18	TACSTD2	mean	frac_immune	18	0.40350877192982454	0.09680965248246642
ANP_only_18	TACSTD2	mean	frac_tcell	18	0.36016511867905054	0.14206248632367482
ANP_only_18	TACSTD2	detect_frac	frac_immune	18	0.2982456140350877	0.22932241176613294
ANP_only_18	TACSTD2	detect_frac	frac_tcell	18	0.29411764705882354	0.23614329729664102
ANP_only_18	CLDN4	mean	frac_immune	18	0.07327141382868937	0.7726309674360764
ANP_only_18	CLDN4	mean	frac_tcell	18	0.04437564499484004	0.8612061336731367
ANP_only_18	CLDN4	detect_frac	frac_immune	18	-0.07120743034055728	0.7788829476841139
ANP_only_18	CLDN4	detect_frac	frac_tcell	18	-0.038183694530443756	0.8804304907652737
naive_only	TACSTD2	mean	frac_immune	7	0.5714285714285715	0.18020198891152767
naive_only	TACSTD2	mean	frac_tcell	7	0.642857142857143	0.11939237342741109
naive_only	TACSTD2	detect_frac	frac_immune	7	0.4642857142857144	0.29393410760025196
naive_only	TACSTD2	detect_frac	frac_tcell	7	0.5357142857142858	0.21521745567801298
naive_only	CLDN4	mean	frac_immune	7	0.28571428571428575	0.5345092286010406
naive_only	CLDN4	mean	frac_tcell	7	0.1785714285714286	0.7016579425162727
naive_only	CLDN4	detect_frac	frac_immune	7	0.4642857142857144	0.29393410760025196
naive_only	CLDN4	detect_frac	frac_tcell	7	0.3571428571428572	0.431611352038328
