subtype	n	proportion_this_analysis	proportion_Gay2021
SCLC-A	29	0.35802469135802467	0.36
SCLC-N	23	0.2839506172839506	0.31
SCLC-P	13	0.16049382716049382	0.16
SCLC-I	16	0.19753086419753085	0.17
