geo_accession	platform	TACSTD2	CLDN4	CD274	PDCD1	title	source_name	cell_type	tissue_type
GSM681103	GPL96	6.938612	7.045996		6.787614	normal kidney tissue	normal kidney tissue		normal kidney tissue
GSM681104	GPL96	6.539777	7.576479		6.392326	normal lung tissue	normal lung tissue		normal lung tissue
