accession	matrix_file	platform	symbol_col	n_samples	TACSTD2_n	CLDN4_n	CD274_n	PDCD1_n	TACSTD2_probes	CLDN4_probes	CD274_probes	PDCD1_probes
GSE27556	GSE27556-GPL570_series_matrix.txt.gz	GPL570	Gene Symbol	8	8	8	8	8	202285_s_at;202286_s_at;202287_s_at;227128_s_at	1569421_at;201428_at	223834_at;227458_at	207634_at
GSE27556	GSE27556-GPL96_series_matrix.txt.gz	GPL96	Gene Symbol	2	2	2	0	2	202285_s_at;202286_s_at;202287_s_at	201428_at		207634_at
GSE35640	GSE35640_series_matrix.txt.gz	GPL570	Gene Symbol	65	65	65	65	65	202285_s_at;202286_s_at;202287_s_at;227128_s_at	1569421_at;201428_at	223834_at;227458_at	207634_at
GSE54351	GSE54351_series_matrix.txt.gz	GPL6246	gene_assignment	9	9	9	9	9	10545168	10534395	10462390	10356866
GSE54352	GSE54352_series_matrix.txt.gz	GPL6246	gene_assignment	6	6	6	6	6	10545168	10534395	10462390	10356866
GSE54353	GSE54353_series_matrix.txt.gz	GPL6246	gene_assignment	15	15	15	15	15	10545168	10534395	10462390	10356866
