sample	TACSTD2	CLDN4	CD8A	ImmuneScore	purity_covariate	tacstd2_quartile	cohort
A183	0.6293	0.3817	0.3926	0.851975	0.38	Q4	OncoSG_LUAD
A185	0.3604	1.0371	-1.1794	-0.9197625	0.34	mid	OncoSG_LUAD
A186	-1.1809	0.9541	0.7324	0.6778875	0.34	Q1	OncoSG_LUAD
A187	0.4016	-0.4853	-0.5392	-0.20719999999999997	0.22	mid	OncoSG_LUAD
A188	0.4965	-0.6377	1.229	0.7643875	0.28	mid	OncoSG_LUAD
A190	0.9813	0.2043	-1.1214	-0.813325	0.51	Q4	OncoSG_LUAD
A191	0.1255	0.7646	-0.3903	-1.086125	0.62	mid	OncoSG_LUAD
A192	0.3794	-0.0666	0.4164	0.2534	0.2	mid	OncoSG_LUAD
A193	-0.2251	-0.8271	0.6598	0.9891000000000001	0.17	mid	OncoSG_LUAD
A194	-0.7036	-1.2677	1.2684	0.4717	0.15	Q1	OncoSG_LUAD
A195	-1.5974	-1.3473	-0.1114	0.046512499999999984	0.29	Q1	OncoSG_LUAD
A196	-0.9579	-1.1323	-0.1992	0.49225	0.29	Q1	OncoSG_LUAD
A197	-0.4247	0.3577	0.0634	0.42466250000000005	0.6	mid	OncoSG_LUAD
A198	-1.1726	0.5987	-0.3958	-0.190425	0.47	Q1	OncoSG_LUAD
A199	0.027	-0.2039	0.8167	0.503775	0.15	mid	OncoSG_LUAD
A200	0.8481	0.8491	-1.0156	-0.494825	0.63	Q4	OncoSG_LUAD
A201	-0.846	-0.81	0.8559	0.2362	0.37	Q1	OncoSG_LUAD
A202	0.2027	1.2134	-1.0244	-1.1839250000000001	0.74	mid	OncoSG_LUAD
A203	-0.187	-0.4687	0.2317	0.18324999999999997	0.23	mid	OncoSG_LUAD
A204	-0.6554	0.1508	-1.7872	-0.9920625000000001	0.78	Q1	OncoSG_LUAD
A205	-0.5366	-1.2626	0.9737	0.31271250000000006	0.17	mid	OncoSG_LUAD
A206	0.0995	0.2143	0.9407	0.9632	0.22	mid	OncoSG_LUAD
A207	0.4722	0.2831	-1.7873	-1.5067	0.27	mid	OncoSG_LUAD
A208	0.4702	0.1182	-0.4054	-0.16138750000000002	0.25	mid	OncoSG_LUAD
A209	-3.3394	-4.6615	1.6123	1.117225	0.24	Q1	OncoSG_LUAD
A210	-0.3412	0.8001	0.1206	0.524875	0.32	mid	OncoSG_LUAD
A211	-0.6733	-1.1632	0.2388	0.2233125	0.23	Q1	OncoSG_LUAD
A212	-0.2971	-0.2376	0.5385	0.14297500000000002	0.15	mid	OncoSG_LUAD
A213	-1.3635	-0.1865	-0.1715	-0.2284875	0.22	Q1	OncoSG_LUAD
A215	-0.3894	-1.6855	0.6504	0.7090125	0.28	mid	OncoSG_LUAD
A216	0.2338	-0.1227	0.0868	0.5893875	0.37	mid	OncoSG_LUAD
A217	0.2615	1.0426	-0.4837	-0.16532499999999997	0.36	mid	OncoSG_LUAD
A218	-1.5925	-1.1285	1.9377	1.6489375000000002	0.2	Q1	OncoSG_LUAD
A219	1.1376	0.9766	-2.1999	-1.8820625	0.41	Q4	OncoSG_LUAD
A220	-0.7142	0.9248	-0.2346	-0.15031250000000002	0.33	Q1	OncoSG_LUAD
A221	-0.9305	-1.9446	0.0821	-0.09445	0.3	Q1	OncoSG_LUAD
A222	-0.0004	0.7467	-0.2394	-0.35525	0.34	mid	OncoSG_LUAD
A274	-0.3584	0.9597	-0.3129	-0.014100000000000001	0.26	mid	OncoSG_LUAD
A275	0.8406	1.3096	-0.1811	-0.32585000000000003	0.17	Q4	OncoSG_LUAD
A276	-1.3065	0.0792	0.1212	0.18935	0.19	Q1	OncoSG_LUAD
A277	0.3195	2.8746	-0.9503	-0.7318875	0.83	mid	OncoSG_LUAD
A278	-0.8766	-0.0487	0.3467	0.037712499999999996	0.34	Q1	OncoSG_LUAD
A279	0.4834	0.7768	-0.0558	-0.3626625	0.17	mid	OncoSG_LUAD
A280	0.4268	0.838	-0.0521	-0.343675	0.5	mid	OncoSG_LUAD
A281	-0.9784	-0.867	0.2722	0.2913375	0.21	Q1	OncoSG_LUAD
A282	-1.5391	-0.4293	-0.6171	0.14422500000000002	0.6	Q1	OncoSG_LUAD
A283	-0.541	-0.5506	0.5916	0.705925	0.17	mid	OncoSG_LUAD
A284	-1.1705	-1.0822	-1.7978	-1.12655	0.33	Q1	OncoSG_LUAD
A285	-1.3054	0.476	0.7841	0.9595875	0.31	Q1	OncoSG_LUAD
A214	0.6427	-1.3035	1.327	0.9809875	0.33	Q4	OncoSG_LUAD
A234	-0.8895	-0.2581	0.2912	-0.09283749999999999	0.29	Q1	OncoSG_LUAD
A138	-0.9407	-1.6691	-0.4222	-0.3102625	0.24	Q1	OncoSG_LUAD
A006	-0.5094	-1.0501	-0.0639	0.424225	0.1	mid	OncoSG_LUAD
A258	0.0807	0.238	-0.0732	0.47983750000000003	0.2	mid	OncoSG_LUAD
A259	-0.2426	0.7087	-0.553	-1.3413249999999999	0.33	mid	OncoSG_LUAD
A260	-4.6656	1.7471	-0.0031	-0.1266875	0.5	Q1	OncoSG_LUAD
A261	1.0849	0.6054	-0.7333	-0.6897625000000001	0.35	Q4	OncoSG_LUAD
A262	0.2005	-0.0208	-1.6284	-1.096825	0.86	mid	OncoSG_LUAD
A263	-0.5474	0.03	-0.3169	0.009612499999999996	0.72	Q1	OncoSG_LUAD
A264	-1.7025	-2.424	0.8841	0.43065	0.26	Q1	OncoSG_LUAD
A265	0.0955	0.2514	1.242	0.72925	0.18	mid	OncoSG_LUAD
A266	-1.2715	-0.4338	0.8216	0.9122125000000001	0.19	Q1	OncoSG_LUAD
A267	-0.7566	-0.0617	0.6771	0.5251625	0.12	Q1	OncoSG_LUAD
A268	-0.7872	-1.2428	-0.3458	0.256075	0.26	Q1	OncoSG_LUAD
A269	0.1957	1.5184	-0.934	-0.8322625000000001	0.46	mid	OncoSG_LUAD
A270	-0.2208	-0.6553	0.7708	0.8964	0.13	mid	OncoSG_LUAD
A271	-0.2662	0.1224	0.4422	0.49331250000000004	0.17	mid	OncoSG_LUAD
A273	-0.2499	-0.4185	-0.6016	-0.3198	0.28	mid	OncoSG_LUAD
A232	0.5507	0.4453	-0.9089	-0.5828125	0.81	mid	OncoSG_LUAD
A247	-0.0259	-0.7613	1.821	1.4504875000000002	0.14	mid	OncoSG_LUAD
A241	-0.2086	-0.3486	1.4141	1.3425	0.31	mid	OncoSG_LUAD
A233	0.0365	-0.2346	1.9744	1.8106624999999998	0.16	mid	OncoSG_LUAD
A177	1.2441	0.1571	0.0365	0.36088749999999997	0.3	Q4	OncoSG_LUAD
A159	-0.1476	-0.567	-1.3344	-1.1608375	0.3	mid	OncoSG_LUAD
A158	-0.0826	0.5709	-0.7704	-0.8404750000000001	0.49	mid	OncoSG_LUAD
A153	0.2926	0.342	-1.1531	-0.7313125	0.43	mid	OncoSG_LUAD
A144	1.0388	1.4213	-2.0026	-1.729375	0.72	Q4	OncoSG_LUAD
A143	0.2522	0.3844	1.2888	1.22475	0.24	mid	OncoSG_LUAD
A131	1.4071	-2.0827	-2.7707	-1.9637250000000002	0.8	Q4	OncoSG_LUAD
A120	1.2981	1.2714	-1.2186	-1.4545	0.28	Q4	OncoSG_LUAD
A272	1.8516	1.7774	-1.3239	-1.67765	0.46	Q4	OncoSG_LUAD
A028	1.166	0.5621	-0.0789	-0.454975	0.36	Q4	OncoSG_LUAD
A021	1.0766	1.5506	-1.79	-1.8598124999999999	0.42	Q4	OncoSG_LUAD
A033	0.6605	-1.4159	0.3418	0.57655	0.26	Q4	OncoSG_LUAD
A027	0.215	-0.6538	0.0671	0.11125000000000002	0.27	mid	OncoSG_LUAD
A068	1.3913	0.9543	1.8997	2.0538499999999997	0.14	Q4	OncoSG_LUAD
A101	0.1866	-0.4495	-0.2375	0.029675000000000014	0.43	mid	OncoSG_LUAD
A072	0.7849	0.527	-0.0296	-0.36193749999999997	0.19	Q4	OncoSG_LUAD
A074	1.9827	0.9463	-1.4035	-1.152025	0.18	Q4	OncoSG_LUAD
A100	0.7979	0.6064	-0.9834	-0.2753875	0.2	Q4	OncoSG_LUAD
A102	0.1511	1.0988	0.0316	-0.6448375	0.31	mid	OncoSG_LUAD
A103	0.7617	0.2631	0.1005	0.2859	0.16	Q4	OncoSG_LUAD
A104	1.3228	0.201	-1.5081	-0.678125	0.32	Q4	OncoSG_LUAD
A117	1.1293	1.234	-1.6714	-1.691725	0.49	Q4	OncoSG_LUAD
A134	2.2563	1.9298	-1.5246	-1.292225	0.71	Q4	OncoSG_LUAD
A148	0.5785	0.9389	0.4659	0.2302	0.24	mid	OncoSG_LUAD
A150	-0.1845	-0.4416	-0.3799	-0.1728125	0.45	mid	OncoSG_LUAD
A156	0.3395	0.7836	-0.4846	-0.16255	0.31	mid	OncoSG_LUAD
A165	-0.1389	-0.0197	0.9869	0.4647375	0.16	mid	OncoSG_LUAD
A157	-0.1671	0.0212	0.293	0.6735125	0.25	mid	OncoSG_LUAD
A162	0.2089	0.2296	-0.9355	-0.8366625	0.32	mid	OncoSG_LUAD
A163	0.881	-0.5442	0.5381	-0.2744875	0.37	Q4	OncoSG_LUAD
A243	0.7601	0.6288	-1.6643	-0.9191624999999999	0.37	Q4	OncoSG_LUAD
A182	-1.0629	-0.4446	1.12	1.236025	0.35	Q1	OncoSG_LUAD
A255	-1.0917	-0.0075	0.4687	0.317075	0.31	Q1	OncoSG_LUAD
A169	1.0962	0.0177	0.7913	0.5776875	0.54	Q4	OncoSG_LUAD
A252	-0.5454	-1.9194	0.4187	0.619575	0.27	mid	OncoSG_LUAD
