term	es	nes	nom_p	n_set_in_rank	mean_t	lead_genes	n_lead	cohort	primary	fdr_bh_primary	fdr_bh_all
HALLMARK_TNFA_SIGNALING_VIA_NFKB	-0.25607292880499966	-1.2076488616873482	0.06593406593406594	196	-0.6034039929126337	JAG1,GADD45B,CXCL11,PDLIM5,CD44,DDX58,G0S2,HBEGF,FOSL2,TNIP1,MAP2K3,KLF2,BCL2A1,MYC,KLF10,SERPINE1,BTG1,FOSB,NFKB2,PPP1R15A,KYNU,SNN,TRAF1,IER2,GEM	83	OncoSG_LUAD	False		0.09704581133152564
HALLMARK_HYPOXIA	-0.20323039573612586	-0.9700546545767639	0.33766233766233766	197	-0.31543442358388374	RRAGD,SDC3,LARGE1,KLF7,CHST3,CXCR4,KLHL24,CAV1,MYH9,LXN,TGM2,KLF6,SLC2A5,FOXO3,TKTL1,PYGM,COL5A1,BGN,MAP3K1,HMOX1,SLC2A3,NAGK,AMPD3,PCK1,PLIN2	43	OncoSG_LUAD	False		0.36835891381345925
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.41210558607415515	1.8124000295229983	0.000999000999000999	73	1.0024179314940358	TNFRSF12A,S100A11,LGALS3,ERRFI1,EBP,MAL2,TM7SF2,FDPS,TRIB3,HSD17B7,CHKA,PCYT2,DHCR7,FBXO6,GUSB,ACAT2,MVK,CD9,CYP51A1,FDFT1,SQLE,GSTM2,ECH1,SC5D,PMVK	25	OncoSG_LUAD	False		0.0023976023976023976
HALLMARK_MITOTIC_SPINDLE	-0.3638924600185675	-1.7272536128037863	0.000999000999000999	196	-0.987808473928945	KIF5B,DST,TIAM1,NF1,PLEKHG2,NCK1,CLASP1,ARAP3,TUBGCP3,ARFGEF1,MAPRE1,RASAL2,DOCK4,ARHGAP5,EPB41,CEP192,RFC1,LATS1,RAPGEF6,FGD4,KIF20B,BRCA2,NOTCH2,CDC42EP2,ARHGEF12	78	OncoSG_LUAD	False		0.0023976023976023976
HALLMARK_WNT_BETA_CATENIN_SIGNALING	-0.3276845981534159	-1.2260349470403837	0.0979020979020979	42	-0.7545255683139349	WNT1,HDAC5,TP53,NCOR2,PTCH1,HEY2,DLL1,MAML1,LEF1,NOTCH4,AXIN2,CCND2,TCF7,FRAT1,NOTCH1,NKD1,RBPJ	17	OncoSG_LUAD	False		0.13053613053613053
HALLMARK_TGF_BETA_SIGNALING	-0.23298480350025788	-0.8959930650169478	0.3826173826173826	54	-0.48421670609892303	KLF10,SERPINE1,SMAD1,PPP1R15A,TJP1,FURIN,RHOA,NCOR2,FKBP1A,LTBP2,XIAP,RAB31,TGFBR1,TGFB1,ID2,SMAD7,ENG,SKI,BMPR2,SPTBN1,APC,HIPK2	22	OncoSG_LUAD	False		0.40994719566148136
HALLMARK_IL6_JAK_STAT3_SIGNALING	-0.42754716180070856	-1.8022047763025089	0.000999000999000999	83	-1.5774911858370635	LTB,ITGB3,TYK2,IL6,PF4,STAT3,EBI3,CSF1,CXCL9,LEPR,IFNAR1,IL6ST,TGFB1,TNF,PTPN11,PLA2G2A,CSF3R,STAT1,IL1R1,HMOX1,MYD88,IL1B,IL18R1,PTPN1,CD14	40	OncoSG_LUAD	False		0.0023976023976023976
HALLMARK_DNA_REPAIR	0.4321023422822195	2.1370629328758572	0.000999000999000999	148	1.2918798149444561	POLB,NME3,RBX1,POLR2H,MPG,NME1,RFC2,GUK1,POLR2K,RPA3,DGUOK,SAC3D1,MPC2,GTF2A2,DUT,CSTF3,TARBP2,POLR2I,GTF2H5,COX17,POLR1C,RFC4,GPX4,NME4,SURF1	66	OncoSG_LUAD	False		0.0023976023976023976
HALLMARK_G2M_CHECKPOINT	0.1854660831932416	0.9288801705775241	0.21678321678321677	194	0.2354487482469854	KIF22,SRSF2,CKS2,SFPQ,CKS1B,DTYMK,HMGN2,NASP,MNAT1,SAP30,ORC6,RPA2,UBE2C,CDK1,STMN1,TRAIP,SNRPD1,ORC5,CDC7,CDC20,RBM14,GSPT1,GINS2,JPT1,AURKA	83	OncoSG_LUAD	False		0.25503907856849034
HALLMARK_APOPTOSIS	-0.22810851923253525	-1.058246918949915	0.2087912087912088	159	-0.1903017922806078	SMAD7,TNF,CD69,IGF2R,PLCB2,BGN,BCL2L11,HMOX1,LEF1,F2R,EGR3,BTG2,PPP3R1,CCND2,IL1B,AVPR1A,PLPPR4,ROCK1,TGFBR3,SOD2,CD14,ADD1,PEA15,SATB1,DCN	38	OncoSG_LUAD	False		0.25054945054945055
HALLMARK_NOTCH_SIGNALING	-0.24149103327419943	-0.8389219745529669	0.41858141858141856	32	-0.08467995079850693	DTX4,FZD7,FBXW11,NOTCH2,DLL1,MAML2,DTX1,ARRB1,NOTCH1,WNT2,HEYL	11	OncoSG_LUAD	False		0.43301526060146744
HALLMARK_ADIPOGENESIS	0.24237796904386136	1.235749150588662	0.015984015984015984	198	0.2570997450651297	NDUFAB1,UQCRQ,SLC25A10,NDUFS3,SOD1,HADH,RAB34,MRPL15,COQ9,AK2,COX7B,DDT,TST,GPX4,DHRS7,SDHB,MCCC1,DHCR7,PEX14,GADD45A,SLC1A5,CHCHD10,CMPK1,REEP6,NDUFB7	50	OncoSG_LUAD	False		0.028207087030616442
HALLMARK_ESTROGEN_RESPONSE_EARLY	-0.23430902985124988	-1.1174880201716166	0.14885114885114886	197	-0.34545821893888673	GJA1,AR,MED24,KLF4,TIAM1,SLC1A4,PRSS23,THSD4,SLC7A2,MINDY1,RASGRP1,NCOR2,GLA,TUBB2B,CALB2,RPS6KA2,MAPT,ABAT,REEP1,RET,MPPED2,CHPT1,DLC1,HR,RAB31	66	OncoSG_LUAD	False		0.1860639360639361
HALLMARK_ESTROGEN_RESPONSE_LATE	0.25180601632245714	1.2938267717808045	0.007992007992007992	198	0.28171067958085055	BTG3,PERP,KRT19,NXT1,GALE,RBBP8,TFAP2C,SFN,ST14,LSR,MDK,OVOL2,DCXR,PKP3,RNASEH2A,CDH1,TSTA3,TST,DHCR7,CKB,TPBG,MAPK13,METTL3,SLC9A3R1,LLGL2	55	OncoSG_LUAD	False		0.014985014985014984
