gene	mean_high	mean_low	delta_high_minus_low	welch_t	welch_p	n_high	n_low	fdr_bh	cohort
TACSTD2	1.1854069767441864	-1.2353837209302325	2.420790697674419	17.579979738198517	1.069936276883899e-27	43	43	1.9463210812795005e-23	OncoSG_LUAD
TNFRSF12A	0.8464534883720929	-1.0002790697674417	1.8467325581395346	11.12977540551486	8.481749180819795e-18	43	43	7.714574967414644e-14	OncoSG_LUAD
SPINT2	0.6088465116279068	-0.9273953488372091	1.536241860465116	10.008679196806606	6.811349345474656e-16	43	43	4.1301751981176485e-12	OncoSG_LUAD
BRIX1	0.6985441860465117	-0.7370813953488372	1.435625581395349	9.717865817345526	3.613751147950293e-15	43	43	1.3691999331295148e-11	OncoSG_LUAD
POLB	0.8736999999999999	-0.6737837209302326	1.5474837209302326	9.56590719970858	1.1959173682069085e-14	43	43	3.107847549293125e-11	OncoSG_LUAD
SNRPG	0.7950744186046512	-0.659660465116279	1.4547348837209302	9.392130477249806	9.656966573790483e-15	43	43	2.9278313157303784e-11	OncoSG_LUAD
HSPB11	0.9228651162790698	-0.6820441860465116	1.6049093023255814	9.323531230985205	1.638460286313785e-14	43	43	3.7256538835417574e-11	OncoSG_LUAD
CFAP298	0.8032395348837209	-0.6881186046511629	1.4913581395348838	9.213686982513183	3.675672516442347e-14	43	43	6.078559886054794e-11	OncoSG_LUAD
DPY30	0.8443372093023256	-0.764753488372093	1.6090906976744186	9.175406503773727	6.431087680613363e-14	43	43	8.35627971414555e-11	OncoSG_LUAD
PPCS	0.935472093023256	-0.6398744186046514	1.5753465116279073	9.026724841419965	2.017101028874756e-13	43	43	1.6678674916482132e-10	OncoSG_LUAD
PAM16	0.8581511627906976	-0.6632279069767444	1.521379069767442	8.956538611047861	7.32713495107447e-14	43	43	8.885860792999713e-11	OncoSG_LUAD
ECI1	0.8993302325581394	-0.5431093023255815	1.442439534883721	8.911847564210046	1.0071978422132617e-13	43	43	1.0777609381000849e-10	OncoSG_LUAD
BTG3	0.8755441860465113	-0.7161581395348835	1.591702325581395	8.782447474215175	1.843079907437201e-13	43	43	1.596546028390006e-10	OncoSG_LUAD
PRSS22	0.5782348837209301	-0.9290372093023253	1.5072720930232553	8.649445169689148	3.0228035596515134e-13	43	43	2.333860530108912e-10	OncoSG_LUAD
TRAPPC3	0.8871139534883721	-0.6162348837209304	1.5033488372093025	8.57248582787841	5.546666634410164e-13	43	43	3.6035504552341175e-10	OncoSG_LUAD
PFDN2	0.866339534883721	-0.6617302325581395	1.5280697674418604	8.545403038317843	8.898617209813e-13	43	43	4.522869686901951e-10	OncoSG_LUAD
PSMG3	0.682879069767442	-0.7322162790697675	1.4150953488372093	8.544363004206753	8.681963540908846e-13	43	43	4.522869686901951e-10	OncoSG_LUAD
BZW2	0.683779069767442	-0.7514581395348837	1.4352372093023256	8.494498553076141	7.650473830690467e-13	43	43	4.217265741033039e-10	OncoSG_LUAD
RER1	0.8538186046511629	-0.620006976744186	1.473825581395349	8.486312518708159	6.570440324551616e-13	43	43	3.855576772384466e-10	OncoSG_LUAD
MTX2	0.8203372093023257	-0.7604162790697675	1.580753488372093	8.462084224508494	7.405369225044353e-13	43	43	4.209720986649432e-10	OncoSG_LUAD
NME3	0.7697046511627904	-0.62746511627907	1.3971697674418604	8.409922066618481	9.199394118815469e-13	43	43	4.522869686901951e-10	OncoSG_LUAD
ITGB3BP	0.8632953488372094	-0.6552674418604653	1.5185627906976746	8.367555784487926	1.126672377711059e-12	43	43	5.39349926919523e-10	OncoSG_LUAD
S100A6	0.8241046511627906	-0.7458372093023256	1.569941860465116	8.306598977714179	1.4827052694661459e-12	43	43	6.742972889214665e-10	OncoSG_LUAD
NDUFAB1	0.7878372093023253	-0.7075604651162792	1.4953976744186046	8.261623325087449	3.287952789197443e-12	43	43	1.246065608089389e-09	OncoSG_LUAD
PPP1R35	0.8193023255813955	-0.6421279069767442	1.4614302325581396	8.255977352199436	1.8680278715096444e-12	43	43	7.723021593325442e-10	OncoSG_LUAD
BOD1	0.8471069767441866	-0.6622883720930234	1.5093953488372098	8.214561320797701	6.003873756884606e-12	43	43	1.820274458524798e-09	OncoSG_LUAD
SEM1	0.7041697674418603	-0.6887418604651162	1.3929116279069764	8.207854959991435	3.8831774790824055e-12	43	43	1.3143454287555076e-09	OncoSG_LUAD
LRRC42	0.8219860465116282	-0.7563395348837211	1.5783255813953492	8.170195116025628	1.3246448815759143e-11	43	43	3.4423735772496362e-09	OncoSG_LUAD
CCDC58	0.6996093023255813	-0.605413953488372	1.3050232558139534	8.131239430927744	3.517806532948196e-12	43	43	1.2557648640406157e-09	OncoSG_LUAD
ATP5IF1	0.8754627906976744	-0.5214372093023258	1.3969000000000003	8.1160273704257	3.592355944992511e-12	43	43	1.2567028268338225e-09	OncoSG_LUAD
CCZ1	0.6692767441860465	-0.7147720930232558	1.3840488372093023	8.0781089110063	5.2082937498421026e-12	43	43	1.6058317220911472e-09	OncoSG_LUAD
HSPE1	0.724453488372093	-0.6542465116279069	1.3786999999999998	7.984503157623268	6.516427468215846e-12	43	43	1.943284132365811e-09	OncoSG_LUAD
TRNAU1AP	0.8556139534883725	-0.6568372093023257	1.5124511627906982	7.976093087109697	8.882804361263542e-12	43	43	2.4482893050870464e-09	OncoSG_LUAD
RBX1	0.8074581395348841	-0.5858325581395348	1.393290697674419	7.974896185913118	7.876352621554074e-12	43	43	2.2387301646670337e-09	OncoSG_LUAD
YRDC	0.8448953488372093	-0.6307279069767443	1.4756232558139537	7.905325474524371	2.2194980281100786e-11	43	43	4.553296454601714e-09	OncoSG_LUAD
DNAAF5	0.7260348837209303	-0.7083232558139534	1.4343581395348837	7.8918251729578355	1.4033753427356379e-11	43	43	3.5456667860699985e-09	OncoSG_LUAD
PRKRA	0.8127	-0.6009302325581394	1.4136302325581394	7.874947365718111	1.7243711579755808e-11	43	43	4.021543042914589e-09	OncoSG_LUAD
C1orf122	0.7311906976744185	-0.6186558139534883	1.3498465116279068	7.869113101179437	1.3481059753453435e-11	43	43	3.453999408099598e-09	OncoSG_LUAD
PUSL1	0.722067441860465	-0.6519000000000001	1.373967441860465	7.861647740641902	1.1605001694800287e-11	43	43	3.104508615148706e-09	OncoSG_LUAD
MYCBP	0.7078046511627906	-0.6850558139534884	1.392860465116279	7.8561429464726595	1.956108052626235e-11	43	43	4.231691062435801e-09	OncoSG_LUAD
POP7	0.6948767441860464	-0.6888023255813953	1.3836790697674417	7.812448773182101	1.4385153358223222e-11	43	43	3.584661982732036e-09	OncoSG_LUAD
TMED4	0.7093790697674418	-0.6711813953488371	1.3805604651162788	7.792643368785783	1.762035620463268e-11	43	43	4.057365819221178e-09	OncoSG_LUAD
POLR2H	0.7015999999999999	-0.6646674418604652	1.3662674418604652	7.789938192846116	1.596663415732319e-11	43	43	3.821697920471923e-09	OncoSG_LUAD
UTP11	0.8243883720930233	-0.6497813953488372	1.4741697674418606	7.762182551592898	2.0108122151441636e-11	43	43	4.231691062435801e-09	OncoSG_LUAD
KRT10	0.674339534883721	-0.6875465116279069	1.361886046511628	7.755364076343908	1.8749121974120243e-11	43	43	4.210682442360757e-09	OncoSG_LUAD
FANCL	0.6450465116279069	-0.6443604651162792	1.289406976744186	7.722495723296165	2.252744109252676e-11	43	43	4.553296454601714e-09	OncoSG_LUAD
MRPL58	0.7076953488372092	-0.6473720930232558	1.3550674418604651	7.68867385807045	3.81991407018274e-11	43	43	6.5554770613862475e-09	OncoSG_LUAD
UBE2J2	0.8021953488372094	-0.6223604651162791	1.4245558139534884	7.680673236745761	2.7936902749260213e-11	43	43	5.293752061581173e-09	OncoSG_LUAD
CDKN2AIPNL	0.7870906976744185	-0.5727023255813951	1.3597930232558135	7.679136543273544	3.527905210835791e-11	43	43	6.2306916204188225e-09	OncoSG_LUAD
CYSRT1	0.8009023255813952	-0.5121697674418603	1.3130720930232553	7.6465515760401335	3.4273904460290545e-11	43	43	6.1769325061643795e-09	OncoSG_LUAD
NDUFS5	0.7467116279069764	-0.6110372093023255	1.3577488372093018	7.642742817883168	5.18414892868228e-11	43	43	8.129728720832703e-09	OncoSG_LUAD
AURKAIP1	0.7318627906976742	-0.6084348837209301	1.3402976744186044	7.63656552001627	7.54521037744841e-11	43	43	1.0242904625086868e-08	OncoSG_LUAD
ZNF593	0.6933790697674419	-0.6100395348837208	1.3034186046511627	7.599834729688997	6.427341608314758e-11	43	43	9.353581695748301e-09	OncoSG_LUAD
FAAP20	0.7630953488372091	-0.5442418604651162	1.3073372093023252	7.586290255942435	5.971106832347071e-11	43	43	8.830927185953298e-09	OncoSG_LUAD
SERINC2	0.6379325581395351	-0.7068372093023257	1.3447697674418608	7.585438576102235	7.24313368184663e-11	43	43	9.981806424732731e-09	OncoSG_LUAD
ZBTB8OS	0.8158953488372093	-0.5490325581395349	1.3649279069767442	7.581445730010212	4.158920055776632e-11	43	43	6.9408178655626345e-09	OncoSG_LUAD
HEBP2	0.8050558139534885	-0.5857999999999998	1.3908558139534883	7.559668162705551	4.814725208875401e-11	43	43	7.820059488808252e-09	OncoSG_LUAD
TMEM134	0.7939488372093023	-0.5590860465116277	1.35303488372093	7.55831425821113	5.005609484722637e-11	43	43	7.987459836542939e-09	OncoSG_LUAD
POMGNT1	0.7984488372093024	-0.6261813953488372	1.4246302325581395	7.556700143625389	5.911763167413534e-11	43	43	8.814826539214721e-09	OncoSG_LUAD
DUSP23	0.6125837209302325	-0.6097813953488371	1.2223651162790696	7.551213043094737	5.7930413348317206e-11	43	43	8.709191315861473e-09	OncoSG_LUAD
NUBP2	0.7179511627906977	-0.6176674418604652	1.3356186046511629	7.542744259259414	5.5468027180464335e-11	43	43	8.479150272603587e-09	OncoSG_LUAD
KDF1	0.7668162790697675	-0.7425418604651162	1.5093581395348836	7.537105635785337	1.1324754695028587e-10	43	43	1.3377182640082145e-08	OncoSG_LUAD
LSM2	0.6724302325581395	-0.5813093023255813	1.2537395348837208	7.531005354337631	5.7469462224852205e-11	43	43	8.709191315861473e-09	OncoSG_LUAD
PDCD2L	0.7744186046511629	-0.6650465116279068	1.4394651162790697	7.525706313701698	5.435770034876808e-11	43	43	8.379838364783392e-09	OncoSG_LUAD
PPP1R14B	0.7060674418604652	-0.6080906976744187	1.314158139534884	7.479255359780462	6.653632772990953e-11	43	43	9.455955763553e-09	OncoSG_LUAD
PTS	0.8074325581395349	-0.5934604651162789	1.4008930232558137	7.477395843111341	7.978808112564092e-11	43	43	1.0672242527621573e-08	OncoSG_LUAD
NR2F6	0.6925790697674419	-0.6448627906976743	1.3374418604651162	7.472919623726185	7.210788258565229e-11	43	43	9.981806424732731e-09	OncoSG_LUAD
PERP	0.6665651162790699	-0.7688372093023257	1.4354023255813955	7.458283354999976	8.669534751768674e-11	43	43	1.1105882481542604e-08	OncoSG_LUAD
DPM3	0.8213488372093024	-0.4912465116279071	1.3125953488372095	7.434290361113663	9.21487146848649e-11	43	43	1.1512254883930841e-08	OncoSG_LUAD
RHEB	0.737746511627907	-0.599011627906977	1.3367581395348842	7.43276523834189	8.183633345752608e-11	43	43	1.0866311984860268e-08	OncoSG_LUAD
MRPL55	0.5914372093023256	-0.6562023255813955	1.247639534883721	7.426879498895309	9.304162474890577e-11	43	43	1.1512254883930841e-08	OncoSG_LUAD
EVA1C	0.707313953488372	-0.6039279069767441	1.3112418604651161	7.422113450030129	8.730367736026564e-11	43	43	1.1105882481542604e-08	OncoSG_LUAD
PHLDA2	0.6105279069767441	-0.7473441860465115	1.3578720930232557	7.410683919778334	9.366245521531332e-11	43	43	1.1512254883930841e-08	OncoSG_LUAD
MRPL32	0.7524441860465116	-0.6773116279069766	1.4297558139534883	7.410526668567141	1.1553656043379607e-10	43	43	1.3559519811943124e-08	OncoSG_LUAD
MRPS15	0.8406674418604649	-0.5212046511627908	1.3618720930232557	7.374470004172479	1.096259265261968e-10	43	43	1.3034021107438208e-08	OncoSG_LUAD
BAIAP2L1	0.5860255813953488	-0.8396883720930236	1.4257139534883723	7.368890552485277	2.3181975776900178e-10	43	43	2.279477412743736e-08	OncoSG_LUAD
MEAF6	0.7617023255813954	-0.5846813953488371	1.3463837209302325	7.32657340669202	3.43937768385268e-10	43	43	3.097312843909114e-08	OncoSG_LUAD
AP4M1	0.5831627906976743	-0.6118488372093024	1.1950116279069767	7.31451351581255	2.3869405303011497e-10	43	43	2.3096188929100114e-08	OncoSG_LUAD
RHOD	0.6934813953488373	-0.6412488372093025	1.3347302325581398	7.310333066652418	1.5183658246001393e-10	43	43	1.687994182950636e-08	OncoSG_LUAD
ADPRHL2	0.7157790697674419	-0.6169325581395347	1.3327116279069766	7.303818816337896	1.5284200413553425e-10	43	43	1.687994182950636e-08	OncoSG_LUAD
COA1	0.6971232558139534	-0.6984790697674418	1.3956023255813952	7.300678172618775	1.5696091613061493e-10	43	43	1.7200457983927807e-08	OncoSG_LUAD
CENPX	0.6456627906976744	-0.6396209302325581	1.2852837209302326	7.297616417842646	1.531081524857649e-10	43	43	1.687994182950636e-08	OncoSG_LUAD
LYPLA2	0.6766488372093024	-0.6329627906976744	1.3096116279069767	7.292930972145164	1.59421602146317e-10	43	43	1.736549918948295e-08	OncoSG_LUAD
MPG	0.7439604651162792	-0.522239534883721	1.2662000000000002	7.284933909124371	1.6085102836797984e-10	43	43	1.7416911053820958e-08	OncoSG_LUAD
JTB	0.6626418604651164	-0.5679697674418605	1.2306116279069768	7.280397543755632	1.725491839172232e-10	43	43	1.8463777674342395e-08	OncoSG_LUAD
PACSIN3	0.6236860465116277	-0.7213325581395348	1.3450186046511625	7.279738065985001	2.8892267270077523e-10	43	43	2.681526703622348e-08	OncoSG_LUAD
C16orf91	0.6951930232558141	-0.703093023255814	1.398286046511628	7.275413501285747	2.486222457315981e-10	43	43	2.3929562286261914e-08	OncoSG_LUAD
UQCRQ	0.7528372093023256	-0.5346372093023254	1.287474418604651	7.273591458583033	1.7561674626727928e-10	43	43	1.8682130007883494e-08	OncoSG_LUAD
CCDC24	0.6478441860465115	-0.6557813953488371	1.3036255813953486	7.224329838592879	2.259477308918725e-10	43	43	2.246019220029537e-08	OncoSG_LUAD
EFNA4	0.6577953488372092	-0.6655325581395348	1.323327906976744	7.213545447655414	2.2493998459714193e-10	43	43	2.246019220029537e-08	OncoSG_LUAD
