cohort	predictor	endpoint	n_unadjusted	unadj_rho	unadj_p	n_partial	partial_rho	partial_p	purity_covariate	immune_definition
OncoSG_LUAD	TACSTD2	CD8A	169	-0.3803664661130725	3.376491109743246e-07	169	-0.30865764191436074	4.688545063105847e-05	published PURITY	A1_8gene_mean_z
OncoSG_LUAD	TACSTD2	ImmuneScore	169	-0.3872333548804137	1.9818179340487578e-07	169	-0.3177689432608658	2.700924161461279e-05	published PURITY	A1_8gene_mean_z
OncoSG_LUAD	CLDN4	CD8A	169	-0.41604097260205863	1.8494205424123934e-08	169	-0.2849848360925362	0.00018097501204688483	published PURITY	A1_8gene_mean_z
OncoSG_LUAD	CLDN4	ImmuneScore	169	-0.431781114812789	4.590379392291736e-09	169	-0.30793098211497655	4.8956052171380026e-05	published PURITY	A1_8gene_mean_z
OncoSG_LUAD	TACSTD2	CLDN4	169	0.5046094177315896	2.6471173177242266e-12	169	0.46242086702633545	2.785367349632435e-10	published PURITY	A1_8gene_mean_z
OncoSG_LUAD	CD8A	ImmuneScore	169	0.9101163542340015	8.533666682268088e-66	169	0.8761624689796482	1.7220860711954086e-54	published PURITY	A1_8gene_mean_z
OncoSG_LUAD	TACSTD2	PURITY	169	0.2378964909710367	0.0018423150526558094	169			published PURITY	A1_8gene_mean_z
OncoSG_LUAD	CLDN4	PURITY	169	0.3590104164008631	1.6408392808369658e-06	169			published PURITY	A1_8gene_mean_z
GSE31210_LUAD	TACSTD2	CD8A	226	-0.28946343872233704	9.756269255820285e-06	226	-0.10741829738288262	0.10806469480389415	ESTIMATEScore (rank residual; cosine TumorPurity often outside [0,1])	ESTIMATE_Immune141_ssGSEA
GSE31210_LUAD	TACSTD2	ImmuneScore	226	-0.30607617636739304	2.7476117168727572e-06	226	-0.0226677300257364	0.735238408446132	ESTIMATEScore (rank residual; cosine TumorPurity often outside [0,1])	ESTIMATE_Immune141_ssGSEA
GSE31210_LUAD	CLDN4	CD8A	226	-0.3411739633282653	1.4470250811767327e-07	226	-0.1268721171730838	0.0574111348994173	ESTIMATEScore (rank residual; cosine TumorPurity often outside [0,1])	ESTIMATE_Immune141_ssGSEA
GSE31210_LUAD	CLDN4	ImmuneScore	226	-0.36551505464374356	1.5001713370629505e-08	226	-0.03144485819848328	0.6389539937914123	ESTIMATEScore (rank residual; cosine TumorPurity often outside [0,1])	ESTIMATE_Immune141_ssGSEA
GSE31210_LUAD	TACSTD2	CLDN4	226	0.47054227905344825	7.478307014305852e-14	226	0.3916428669828834	1.1517841421752436e-09	ESTIMATEScore (rank residual; cosine TumorPurity often outside [0,1])	ESTIMATE_Immune141_ssGSEA
GSE31210_LUAD	CD8A	ImmuneScore	226	0.7778519355970528	4.430559899775037e-47	226	0.6036331049082045	1.0006659006894322e-23	ESTIMATEScore (rank residual; cosine TumorPurity often outside [0,1])	ESTIMATE_Immune141_ssGSEA
GSE31210_LUAD	TACSTD2	PURITY	226	-0.3321128481020883	3.2067284961337386e-07	226			ESTIMATEScore (rank residual; cosine TumorPurity often outside [0,1])	ESTIMATE_Immune141_ssGSEA
GSE31210_LUAD	CLDN4	PURITY	226	-0.3949127389445506	7.462258096110562e-10	226			ESTIMATEScore (rank residual; cosine TumorPurity often outside [0,1])	ESTIMATE_Immune141_ssGSEA
