dataset	sample	n_cells	n_malignant	n_tnk	malignant_cldn4	frac_tnk	cldn4_arm
GSE131907	LUNG_T06	2887	100	1539	1.6496440172195435	0.938987187309335	high
GSE131907	LUNG_T08	3545	42	2128	1.5306764841079712	0.9806451612903225	low
GSE131907	LUNG_T09	3790	5	1981		0.9974823766364552	unscored
GSE131907	LUNG_T18	3498	1002	1090	1.8248164653778076	0.5210325047801148	high
GSE131907	LUNG_T19	4088	222	1712	1.390738844871521	0.8852119958634953	low
GSE131907	LUNG_T20	4001	434	2418	1.8149075508117676	0.8478260869565217	high
GSE131907	LUNG_T25	4321	223	1599	1.3818156719207764	0.8776070252469813	low
GSE131907	LUNG_T28	4612	984	1631	2.02643084526062	0.6237093690248566	high
GSE131907	LUNG_T30	3868	784	1414	1.0103753805160522	0.643312101910828	low
GSE131907	LUNG_T31	4934	182	3713	1.1920487880706787	0.9532734274711168	low
GSE131907	LUNG_T34	3232	2374	366	1.6022334098815918	0.1335766423357664	high
