dataset	nhood	n_cells	n_tnk	n_malig	frac_tnk	frac_malig	cldn4_all_mean	cldn4_malig_mean	dominant_lineage	n_samples_present	n_cells_da	cldn4_rho	cldn4_p	cldn4_testable	cldn4_BH_FDR	cldn4_SpatialFDR
GSE131907	0	31	31	0	1.0	0.0	0.0		T lymphocytes	0	31			False		
GSE131907	1	31	0	0	0.0	0.0	0.05974506586790085		Myeloid cells	1	31			False		
GSE131907	2	31	31	0	1.0	0.0	0.037075407803058624		T lymphocytes	3	31			False		
GSE131907	3	31	31	0	1.0	0.0	0.0		T lymphocytes	3	31			False		
GSE131907	4	31	0	31	0.0	1.0	1.8252089023590088	1.8252089023590088	Epithelial cells	1	31			False		
GSE131907	5	31	0	0	0.0	0.0	0.0		B lymphocytes	2	31			False		
GSE131907	6	31	31	0	1.0	0.0	0.05322583019733429		T lymphocytes	3	31			False		
GSE131907	7	31	0	0	0.0	0.0	0.0207230094820261		Myeloid cells	5	31	0.19999999999999998	0.7470600781046621	True	0.9370564495487935	0.9332209182681445
GSE131907	8	31	3	0	0.0967741935483871	0.0	0.0		B lymphocytes	4	31			False		
GSE131907	9	31	0	31	0.0	1.0	1.8609830141067505	1.8609830141067505	Epithelial cells	1	31			False		
GSE131907	10	31	0	31	0.0	1.0	1.6932584047317505	1.6932584047317505	Epithelial cells	1	31			False		
GSE131907	11	31	0	0	0.0	0.0	0.0		B lymphocytes	1	31			False		
GSE131907	12	31	0	31	0.0	1.0	2.390889883041382	2.390889883041382	Epithelial cells	1	31			False		
GSE131907	13	31	31	0	1.0	0.0	0.0		T lymphocytes	3	31			False		
GSE131907	14	31	0	0	0.0	0.0	0.0		B lymphocytes	1	31			False		
GSE131907	15	31	0	0	0.0	0.0	0.10143302381038666		Myeloid cells	1	31			False		
GSE131907	16	31	0	0	0.0	0.0	0.0		MAST cells	1	31			False		
GSE131907	17	31	0	0	0.0	0.0	0.04227244108915329		B lymphocytes	1	31			False		
GSE131907	18	31	31	0	1.0	0.0	0.0		T lymphocytes	0	31			False		
GSE131907	19	31	0	31	0.0	1.0	1.1793268918991089	1.1793268918991089	Epithelial cells	1	31			False		
GSE131907	20	31	0	29	0.0	0.9354838709677419	1.5945007801055908	1.5609469413757324	Epithelial cells	5	31	0.8999999999999998	0.03738607346849874	True	0.5134213685474178	0.43237923937046113
GSE131907	21	31	24	5	0.7741935483870968	0.16129032258064516	0.22532616555690765	1.3970222473144531	T lymphocytes	9	31	-0.26666666666666666	0.48792227483870076	True	0.9161252419861912	0.9160471790155642
GSE131907	22	31	31	0	1.0	0.0	0.04877614602446556		T lymphocytes	3	31			False		
GSE131907	23	31	31	0	1.0	0.0	0.0		T lymphocytes	0	31			False		
GSE131907	24	31	31	0	1.0	0.0	0.0		T lymphocytes	0	31			False		
GSE131907	25	31	0	0	0.0	0.0	0.0439322367310524		Myeloid cells	5	31	-0.3	0.623837664781073	True	0.9161252419861912	0.9160471790155642
GSE131907	26	31	31	0	1.0	0.0	0.0		T lymphocytes	1	31			False		
GSE131907	27	31	31	0	1.0	0.0	0.09521274268627167		T lymphocytes	1	31			False		
GSE131907	28	31	0	31	0.0	1.0	1.7595187425613403	1.7595187425613403	Epithelial cells	2	31			False		
GSE131907	29	31	0	0	0.0	0.0	0.11304779350757599		B lymphocytes	1	31			False		
GSE131907	30	31	31	0	1.0	0.0	0.0		T lymphocytes	4	31			False		
