sample	n_cells_high_nhood	n_cells_low_nhood	frac_tnk_high_nhood	frac_tnk_low_nhood	dataset	n_cells	n_malignant	n_tnk	malignant_cldn4	frac_tnk	cldn4_arm
LUNG_T09	3	26	0.3333333333333333	0.15384615384615385	GSE131907	3790	5	1981		0.9974823766364552	unscored
LUNG_T34	913	1175	0.0	0.0	GSE131907	3232	2374	366	1.6022334098815918	0.1335766423357664	high
LUNG_T18	617	183	0.0	0.01092896174863388	GSE131907	3498	1002	1090	1.8248164653778076	0.5210325047801148	high
LUNG_T25	68	154	0.029411764705882353	0.025974025974025976	GSE131907	4321	223	1599	1.3818156719207764	0.8776070252469813	low
LUNG_T31	22	222	0.6818181818181818	0.15315315315315314	GSE131907	4934	182	3713	1.1920487880706787	0.9532734274711168	low
LUNG_T28	658	161	0.0	0.012422360248447204	GSE131907	4612	984	1631	2.02643084526062	0.6237093690248566	high
LUNG_T06	66	101	0.015151515151515152	0.12871287128712872	GSE131907	2887	100	1539	1.6496440172195435	0.938987187309335	high
LUNG_T19	112	163	0.026785714285714284	0.03067484662576687	GSE131907	4088	222	1712	1.390738844871521	0.8852119958634953	low
LUNG_T30	57	606	0.0	0.0	GSE131907	3868	784	1414	1.0103753805160522	0.643312101910828	low
LUNG_T08	19	44	0.47368421052631576	0.3181818181818182	GSE131907	3545	42	2128	1.5306764841079712	0.9806451612903225	low
LUNG_T20	289	175	0.0034602076124567475	0.18857142857142858	GSE131907	4001	434	2418	1.8149075508117676	0.8478260869565217	high
