analysis,cohort,gene,endpoint,scale,n_responder,n_nonresponder,median_responder,median_nonresponder,mann_whitney_u,mann_whitney_p,auc_responder_higher,auc_bootstrap_95ci_low,auc_bootstrap_95ci_high,detected_responder,detected_nonresponder,detection_fisher_odds_ratio,detection_fisher_p
hugo_pre_patient_tacstd2_recist,Hugo_2016,TACSTD2,RECIST_CRPR_vs_PD,log2(FPKM+1),14,12,0.5025245942148069,0.7289958707061106,59.0,0.2076174111548459,0.35119047619047616,0.14285714285714285,0.5773809523809523,14,12,nan,1.0
hugo_pre_patient_cldn4_recist,Hugo_2016,CLDN4,RECIST_CRPR_vs_PD,log2(FPKM+1),14,12,0.47743825950801594,0.3694957200689041,91.0,0.7381351386116883,0.5416666666666666,0.30952380952380953,0.7619047619047619,14,12,nan,1.0
hugo_pre_patient_tacstd2_recist_drop_Pt28,Hugo_2016,TACSTD2,RECIST_CRPR_vs_PD_drop_Pt28_outlier,log2(FPKM+1),13,12,0.48510779265069615,0.7289958707061106,47.0,0.09711956168340277,0.30128205128205127,0.10256410256410256,0.5256410256410257,13,12,nan,1.0
hugo_pre_patient_cldn4_recist_drop_Pt28,Hugo_2016,CLDN4,RECIST_CRPR_vs_PD_drop_Pt28_outlier,log2(FPKM+1),13,12,0.44364430956791123,0.3694957200689041,79.0,0.9783030753359442,0.5064102564102564,0.27564102564102566,0.7435897435897436,13,12,nan,1.0
hugo_pre_sample_tacstd2_recist,Hugo_2016,TACSTD2,RECIST_CRPR_vs_PD_sample_level,log2(FPKM+1),15,12,0.5199413957789175,0.7289958707061106,65.0,0.23190048706459077,0.3611111111111111,0.15555555555555556,0.5888888888888889,15,12,nan,1.0
hugo_pre_sample_cldn4_recist,Hugo_2016,CLDN4,RECIST_CRPR_vs_PD_sample_level,log2(FPKM+1),15,12,0.44364430956791123,0.3694957200689041,94.0,0.8643947798456604,0.5222222222222223,0.3055555555555556,0.75,15,12,nan,1.0
vanallen_pre_tacstd2_recist,VanAllen_2015,TACSTD2,RECIST_CRPR_vs_PD,log2(TPM+1),7,26,0.3895668117627256,0.10394642582066652,127.0,0.11761216751813879,0.6978021978021978,0.5,0.8681318681318682,7,23,inf,1.0
vanallen_pre_tacstd2_paperCB,VanAllen_2015,TACSTD2,paper_clinical_benefit,log2(TPM+1),12,27,0.28930031807637135,0.11103131238874395,209.0,0.15657895228573013,0.6450617283950617,0.44290123456790126,0.8240740740740741,11,24,1.375,1.0
vanallen_pre_cldn4_recist,VanAllen_2015,CLDN4,RECIST_CRPR_vs_PD,log2(TPM+1),7,26,0.02856915219677092,0.049613932887430615,65.5,0.2613547342036402,0.3598901098901099,0.17857142857142858,0.5659340659340659,4,18,0.5925925925925926,0.6609658880237302
vanallen_pre_cldn4_paperCB,VanAllen_2015,CLDN4,paper_clinical_benefit,log2(TPM+1),12,27,0.03560674480263232,0.056583528366367514,145.0,0.6111941376992098,0.44753086419753085,0.26697530864197533,0.6327160493827161,9,19,1.263157894736842,1.0
