target	interaction_name	pathway_name	annotation	ligand	receptor	ligand_genes	receptor_genes	ligand_class	n_patients_scored	n_patients_detected	n_cohorts	cohorts	median_prob_high	median_prob_low	median_delta	mean_delta	n_delta_pos	n_delta_neg	n_delta_zero	frac_delta_pos	wilcoxon_p	n_wilcoxon	fdr_bh
CXCL13T	NECTIN2_TIGIT	NECTIN	Cell-Cell Contact	NECTIN2	TIGIT	NECTIN2	TIGIT	barrier|inhibitory	34	31	3	GSE148071+GSE207422+GSE253013	0.2503791013562217	0.14622150402649664	0.05599439663815292	0.0803517737117379	28	3	3	0.8235294117647058	8.419156074523926e-07	31	7.789698429405689e-05
CXCL13T	MDK_NCL	MK	Secreted Signaling	MDK	NCL	MDK	NCL	other	34	34	3	GSE148071+GSE207422+GSE253013	0.6459098445736711	0.5893433982873018	0.04739123653521504	0.08000497823556274	23	11	0	0.6764705882352942	0.008130305097438395	34	0.0547282815371689
CXCL13T	LGALS9_CD45	GALECTIN	Secreted Signaling	LGALS9	PTPRC	LGALS9	PTPRC	inhibitory	34	28	3	GSE148071+GSE207422+GSE253013	0.33090514117417436	0.17238687355846063	0.04053226298186267	0.06072127586554116	21	7	6	0.6176470588235294	0.0020434409379959106	28	0.027472928166389465
CXCL13T	CD99_CD99	CD99	Cell-Cell Contact	CD99	CD99	CD99	CD99	other	34	34	3	GSE148071+GSE207422+GSE253013	0.5366154428925004	0.4996208648620222	0.02491841828898922	0.02235456024603263	25	9	0	0.7352941176470589	0.003394925268366933	34	0.03267338494246163
CXCL13T	CD55_ADGRE5	ADGRE	Cell-Cell Contact	CD55	ADGRE5	CD55	ADGRE5	other	34	32	3	GSE148071+GSE207422+GSE253013	0.24135332600447168	0.19729264561318866	0.02241042111146977	0.05662716459911226	28	4	2	0.8235294117647058	1.287553459405899e-06	32	7.789698429405689e-05
CXCL13T	LGALS9_CD44	GALECTIN	Secreted Signaling	LGALS9	CD44	LGALS9	CD44	inhibitory	34	28	3	GSE148071+GSE207422+GSE253013	0.1538495605931744	0.09487278682771241	0.021914781664466466	0.03423482161138129	21	7	6	0.6176470588235294	0.006060026586055756	28	0.04888421446084976
CXCL13T	JAM1_ITGAL_ITGB2	JAM	Cell-Cell Contact	F11R	ITGAL_ITGB2	F11R	ITGAL|ITGB2	barrier	34	28	3	GSE148071+GSE207422+GSE253013	0.24901576244075108	0.25632902716864614	0.014942001278573133	0.027920400075235663	22	6	6	0.6470588235294118	0.004778154194355011	28	0.04129690410835402
CXCL13T	MDK_ITGA4_ITGB1	MK	Secreted Signaling	MDK	ITGA4_ITGB1	MDK	ITGA4|ITGB1	other	34	28	3	GSE148071+GSE207422+GSE253013	0.3364921476412156	0.24791652186536536	0.013487342273700409	0.04690922747635147	19	9	6	0.5588235294117647	0.017886914312839508	28	0.08657266527414322
CXCL13T	ITGAV_ITGB1_ADGRE5	ADGRE	Cell-Cell Contact	ITGAV_ITGB1	ADGRE5	ITGAV|ITGB1	ADGRE5	other	34	28	3	GSE148071+GSE207422+GSE253013	0.19190017302586895	0.15078554699709332	0.01251978448029497	0.030193222010543346	18	10	6	0.5294117647058824	0.0018673688173294067	28	0.027472928166389465
CXCL13T	LAMB3_CD44	LAMININ	ECM-Receptor	LAMB3	CD44	LAMB3	CD44	other	34	33	3	GSE148071+GSE207422+GSE253013	0.38649730979496677	0.3687040794884897	0.01183999732175911	0.0214875781803346	19	14	1	0.5588235294117647	0.20108755165711045	33	0.3988785860739404
