section,ring,n,CLDN4_vs_neiTB.n,CLDN4_vs_neiTB.rho,CLDN4_vs_neiTB.p,TACSTD2_vs_neiTB.n,TACSTD2_vs_neiTB.rho,TACSTD2_vs_neiTB.p,partial_CLDN4_vs_neiTB_ctrl_broad.n,partial_CLDN4_vs_neiTB_ctrl_broad.rho,partial_CLDN4_vs_neiTB_ctrl_broad.p
NSCLC_P1,1,8401,8401,-0.17445200038895953,2.133745573330724e-58,8401,-0.12847225337360982,2.981430226524781e-32,8401,-0.10810365238362678,2.8993468995708814e-23
NSCLC_P1,2,8426,8426,-0.18685276543552484,4.554035050532814e-67,8426,-0.15411527838812814,5.991177707791412e-46,8426,-0.11741478775095784,2.9644370482041195e-27
NSCLC_P1,3,8437,8437,-0.17246543396423566,2.4718990678170782e-57,8437,-0.15209154811140416,7.722751963722625e-45,8437,-0.09822431697258331,1.5278100044528988e-19
NSCLC_P2,1,6860,6860,-0.08424674620679086,2.7704599662099655e-12,6860,-0.14866347093609483,3.36712522133639e-35,6860,-0.04061712862026853,0.0007657310473762466
NSCLC_P2,2,6883,6883,-0.0872379427302465,4.1644575864353665e-13,6883,-0.16323403047147417,2.5987328885248322e-42,6883,-0.045296445356235664,0.00017044779888638007
NSCLC_P2,3,6904,6904,-0.09379367203148246,5.7573290789900476e-15,6904,-0.14917399920354157,1.1962652059367632e-35,6904,-0.04934331396107445,4.1011255673642594e-05
NSCLC_P3,1,9144,9144,-0.14259197137690566,9.67954384672877e-43,9144,-0.164159840453779,2.9744080709049676e-56,9144,-0.04369219062318003,2.9220441277783497e-05
NSCLC_P3,2,9154,9154,-0.07940801900774283,2.773743170387287e-14,9154,-0.10268684738710751,6.893688112403623e-23,9154,-0.017987687823625628,0.08526826369413865
NSCLC_P3,3,9155,9155,-0.03477741708509703,0.0008743515848774207,9155,-0.07051436420180698,1.4340183162793314e-11,9155,0.0021144055408033103,0.8396957599042854
NSCLC_P4,1,9452,9452,-0.17072191031873263,9.610818927788155e-63,9452,-0.13717551557853697,6.210663252501776e-41,9452,-0.07791850044002133,3.302426674488881e-14
NSCLC_P4,2,9482,9482,-0.18604551917907533,1.3416230072309495e-74,9482,-0.1435693441243291,7.579386261396455e-45,9482,-0.0767109413383103,7.443064475398154e-14
NSCLC_P4,3,9483,9483,-0.18589466761106163,1.7376403630321387e-74,9483,-0.14464890600912828,1.6508050962630013e-45,9483,-0.0749953532281627,2.6234254752872863e-13
NSCLC_P5,1,5361,5361,-0.07068490666070738,2.2100562054621654e-07,5361,-0.06284155255095503,4.131311427425768e-06,5361,-0.03697475319294749,0.0067783211465718834
NSCLC_P5,2,5369,5369,-0.07243241666071434,1.077654478176479e-07,5369,-0.06573700440245453,1.4293271779398144e-06,5369,-0.0435950486313315,0.0013976531965970256
NSCLC_P5,3,5368,5368,-0.05436598504894694,6.741406843418692e-05,5368,-0.036142527543544516,0.008090011159578204,5368,-0.028988549871781174,0.033683088500313554
NSCLC_P6,1,10051,10051,-0.13109024788216792,9.037953946622524e-40,10051,-0.12185013295155345,1.4807246995420797e-34,10051,-0.10421740026317741,1.1192387671366757e-25
NSCLC_P6,2,10064,10064,-0.11513313244465916,4.784579831651544e-31,10064,-0.10164205333932189,1.5821971990531319e-24,10064,-0.09807694531024017,6.107512949655325e-23
NSCLC_P6,3,10069,10069,-0.09435750977671363,2.3495106723314305e-21,10069,-0.08602131763205345,5.3002215848146445e-18,10069,-0.08537379870190206,9.373358484196257e-18
NSCLC_P7,1,5677,5677,0.1397382666317671,3.756298800739124e-26,5677,0.1685892608970667,1.832299513210288e-37,5677,-0.02755918295495249,0.03785626052179486
NSCLC_P7,2,5697,5697,0.1854426120806489,3.0072898541407e-45,5697,0.20976997832693864,1.122492770598215e-57,5697,-0.027821797064335796,0.03573830480578554
NSCLC_P7,3,5698,5698,0.228392757413583,2.5188888008161613e-68,5698,0.24944629044055258,1.4622347597349065e-81,5698,-0.02634027313000668,0.04678882301664779
NSCLC_P8,1,5143,5143,0.1027054951708545,1.5448827490370833e-13,5143,0.10398169261849517,7.692514876759483e-14,5143,0.07820201081914727,1.9602590395153663e-08
NSCLC_P8,2,5168,5168,0.15327864276239317,1.5358541325776624e-28,5168,0.13587164497948137,1.0114956629981862e-22,5168,0.11609473652835972,5.65451152176876e-17
NSCLC_P8,3,5171,5171,0.16182210008665643,1.1192184450259043e-31,5171,0.15536155290647763,2.6655358514687483e-29,5171,0.11665296465145723,3.922555861743954e-17
NSCLC_P9,1,12220,12220,-0.24312136122582934,6.707269045309565e-164,12220,-0.11567770633806711,1.1242124815409387e-37,12220,-0.10611933020310206,6.062103194334566e-32
NSCLC_P9,2,12236,12236,-0.22979496519830428,2.3655186864397973e-146,12236,-0.09298515013558141,6.553324377892634e-25,12236,-0.10623537038113925,4.745897412877489e-32
NSCLC_P9,3,12239,12239,-0.21150122989329279,8.43533358863089e-124,12239,-0.08510852207858517,4.034523554008346e-21,12239,-0.10429788643002336,5.92645910907257e-31
NSCLC_P10,1,8597,8597,-0.11687033361263335,1.5687138619265055e-27,8597,0.007855644560240769,0.4664417406606373,8597,-0.1106266310376931,8.03166069163386e-25
NSCLC_P10,2,8652,8652,-0.13086805391168121,2.323183839029767e-34,8652,-0.008614379036601595,0.42303018491560535,8652,-0.10983815792133547,1.2301470916880792e-24
NSCLC_P10,3,8648,8648,-0.16200874303157373,6.118714120451748e-52,8648,-0.013780426531813786,0.2000598145288997,8648,-0.1406054844971543,1.96856738951699e-39
NSCLC_P11,1,13195,13195,-0.2762387256468101,1.0015024505144155e-229,13195,-0.14007476181121215,8.403693795921439e-59,13195,-0.12662279085875902,2.706299305365781e-48
NSCLC_P11,2,13201,13201,-0.23366200941472848,3.5801863293888805e-163,13201,-0.10832325397492137,9.428090156892568e-36,13201,-0.11075347960158428,2.6328708044702497e-37
NSCLC_P11,3,13202,13202,-0.21535139943597073,2.4916369775894186e-138,13202,-0.08641257296750146,2.6128910421751286e-23,13202,-0.1123213687424819,2.4919998213137024e-38
NSCLC_P12,1,2007,2007,0.16609282362597627,6.976217052660152e-14,2007,0.15739767622938447,1.3295836952838584e-12,2007,0.059074474885702,0.008116774455389485
NSCLC_P12,2,2036,2036,0.2117001989235151,4.630470718931594e-22,2036,0.19939914131374373,1.0549265195308436e-19,2036,0.07391136103774833,0.0008452046988362176
NSCLC_P12,3,2033,2033,0.22090677641362205,6.837543021246317e-24,2033,0.2096513241316968,1.2541925702516015e-21,2033,0.08240647404216994,0.00019949776387348717
NSCLC_P13,1,5217,5217,-0.4490008859494131,2.680380970883132e-257,5217,-0.3978802627962319,1.901599459346475e-197,5217,-0.14308734892099068,2.870415364500635e-25
NSCLC_P13,2,5233,5233,-0.4384447498642842,8.054772221550414e-245,5233,-0.3515485490646403,4.484876971637658e-152,5233,-0.11028078293667345,1.2425782682396256e-15
NSCLC_P13,3,5240,5240,-0.41833143807928014,4.0895354317210646e-221,5240,-0.31248447411905034,4.767415736264882e-119,5240,-0.07716233589326037,2.2366607594401296e-08
NSCLC_P14,1,1282,1282,-0.05371471253114044,0.05450908477865394,1282,-0.1020229303120313,0.0002532790945377382,1282,-0.011439032980946055,0.6824011513673965
NSCLC_P14,2,1306,1306,-0.09611480276847191,0.000504820013670347,1306,-0.12469196536965826,6.197709406639369e-06,1306,-0.0172455196895153,0.5334955820252253
NSCLC_P14,3,1306,1306,-0.07443927065706676,0.007117602056576864,1306,-0.12337383873534945,7.771524296315678e-06,1306,-0.020330102918612404,0.46290347979165997
NSCLC_P15,1,12722,12722,0.1380991376932299,3.324168158509022e-55,12722,0.16147893522537576,4.58468087115738e-75,12722,0.056189476130417595,2.2665053211618619e-10
NSCLC_P15,2,12751,12751,0.15255326530095403,2.9853489277010846e-67,12751,0.17434890298996722,1.40698876425431e-87,12751,0.06895323740989279,6.4542885552330205e-15
NSCLC_P15,3,12758,12758,0.15918083371546873,3.5924055075568565e-73,12758,0.18359800871106285,4.025809233293383e-97,12758,0.07857754147687183,6.204419802797212e-19
NSCLC_P16,1,5210,5210,0.04070764955179909,0.003294807070334322,5210,0.056788510341696956,4.107651051628117e-05,5210,0.03231674467782344,0.019664798824941977
NSCLC_P16,2,5247,5247,0.038244969958616586,0.005594056904334401,5247,0.03181997926577781,0.021169252148576116,5247,0.0159090965720331,0.24924197535220388
NSCLC_P16,3,5233,5233,0.05615613874778668,4.812673450258588e-05,5233,0.053891203263677315,9.604795961551048e-05,5233,0.022322950414843085,0.10638738292684402
