section,n_spots,CLDN4,TACSTD2,same_CLDN4_TB.n,same_CLDN4_TB.rho,same_CLDN4_TB.p,same_CLDN4_T.n,same_CLDN4_T.rho,same_CLDN4_T.p,same_CLDN4_B.n,same_CLDN4_B.rho,same_CLDN4_B.p,same_TACSTD2_TB.n,same_TACSTD2_TB.rho,same_TACSTD2_TB.p,same_broad_TB.n,same_broad_TB.rho,same_broad_TB.p,partial_same_CLDN4_TB_ctrl_broad.n,partial_same_CLDN4_TB_ctrl_broad.rho,partial_same_CLDN4_TB_ctrl_broad.p
NSCLC_P1,8457,True,True,8457,-0.09489764316145458,2.221802784272572e-18,8457,-0.06907207827552622,2.0352284177535758e-10,8457,-0.019133596841256564,0.07849876213176818,8457,-0.07254247802032364,2.406405353802553e-11,8457,-0.11574341185630453,1.285766338079312e-26,8457,-0.06527255941620824,1.8769627351173033e-09
NSCLC_P2,6904,True,True,6904,0.04911733754184482,4.447712365245527e-05,6904,0.10728910258898261,3.9312794675135085e-19,6904,0.06747053231903438,2.0054855129602486e-08,6904,0.018746303289332012,0.1193539545240111,6904,0.06863478305133981,1.1391915635021265e-08,6904,0.04079034601994399,0.0006987229528458485
NSCLC_P3,9155,True,True,9155,-0.13127158612432951,1.7859966911098336e-36,9155,-0.10950934766136852,7.916326166658867e-26,9155,-0.06771264249812715,8.848236841966707e-11,9155,-0.16306937536671748,1.3787614525671444e-55,9155,-0.14550376915088112,1.6795744070024607e-44,9155,-0.04181478795965293,6.277832326458402e-05
NSCLC_P4,9491,True,True,9491,-0.035773994591673644,0.0004906268020937246,9491,-0.005059493419954675,0.6221235221766271,9491,0.029555024428054143,0.003982401771013482,9491,-0.03410920143579469,0.0008889290813860571,9491,-0.05045825715130797,8.733571758642841e-07,9491,-0.01848254066163702,0.07177883232769541
NSCLC_P5,5369,True,True,5369,-0.025779930699208295,0.058910751814363636,5369,-0.022302213704536066,0.10226240258446012,5369,0.0010420082787743208,0.9391535396219409,5369,-0.014450777728638781,0.2897513637616049,5369,-0.05160608044637487,0.0001549516964831181,5369,-0.03730213623995503,0.006265152083837274
NSCLC_P6,10078,True,True,10078,-0.10100338074199396,2.8588719216197255e-24,10078,-0.08758576535729301,1.268211667366309e-18,10078,0.04113192584835714,3.620718311702322e-05,10078,-0.08703698040974718,2.075581196088496e-18,10078,-0.06962524443182651,2.610338820189091e-12,10078,-0.07258735947788288,2.9708558577116705e-13
NSCLC_P7,5701,True,True,5701,0.12108177134861184,4.5561386617718024e-20,5701,0.15716195323237556,7.485820082969366e-33,5701,0.14488390848975066,4.0340085821399515e-28,5701,0.14124837150622985,8.527492920000314e-27,5701,0.15558344495897092,3.197460544560628e-32,5701,0.010556238245298962,0.4255115267911728
NSCLC_P8,5171,True,True,5171,0.06972710197848099,5.195479660539674e-07,5171,0.08591492550979611,6.090763557164505e-10,5171,0.028325507756269585,0.04167068940525836,5171,0.07983201021006692,9.004849551358197e-09,5171,0.09435844742851089,1.054816523223646e-11,5171,0.07714413481287283,2.7865289483918232e-08
NSCLC_P9,12242,True,True,12242,-0.18106500776382303,1.0030887988280045e-90,12242,-0.15098212958079052,2.4452888676812965e-63,12242,-0.08705598631176517,4.938382423237596e-22,12242,-0.0696795887553952,1.1799032169904136e-14,12242,-0.19522965250522506,1.9114078183898267e-105,12242,-0.08472588344217699,5.982693768893191e-21
NSCLC_P10,8681,True,True,8681,0.02856648737673127,0.0077734819331550615,8681,0.0402129507582098,0.00017846874078722425,8681,0.03196755595485447,0.0028937036104022054,8681,0.030083367876824953,0.005060536816393089,8681,0.08166002544770808,2.535754460702367e-14,8681,-0.006187224181690103,0.5643463056995207
NSCLC_P11,13202,True,True,13202,-0.2597336178343241,1.687289772860813e-202,13202,-0.17064508490492256,7.977658790853992e-87,13202,-0.17140247243581114,1.3646644367124756e-87,13202,-0.13192770023849282,2.4645591264834875e-52,13202,-0.35111966366440356,0.0,13202,-0.11096333214006744,1.9138010746334194e-37
NSCLC_P12,2042,True,True,2042,0.15946490834436428,4.2299401205892395e-13,2042,0.15018010927585526,9.04244203258186e-12,2042,0.16298965343796903,1.2596542551891657e-13,2042,0.15593784391743484,1.383754258482183e-12,2042,0.1853028414141577,3.129241552948444e-17,2042,0.08754142484425499,7.46211740800619e-05
NSCLC_P13,5242,True,True,5242,-0.3083015157943998,8.111932763576367e-116,5242,-0.28040786466436285,2.5853538556187812e-95,5242,-0.025765851251676696,0.06213164621183006,5242,-0.3132287697307868,1.1095253985065872e-119,5242,-0.34474852347977136,3.409888640990987e-146,5242,-0.07153763457727688,2.1618685322444584e-07
NSCLC_P14,1324,True,True,1324,-0.027293805063982074,0.321011529654398,1324,-0.024908479114809142,0.3651346019824417,1324,-0.014276486356883573,0.6037526504286006,1324,-0.05489910008446912,0.045800998758389715,1324,-0.10877779467934137,7.305441878568302e-05,1324,-0.3266974732958429,2.6521119391976708e-34
NSCLC_P15,12766,True,True,12766,0.09752001335764898,2.3509884667291194e-28,12766,0.060092277590796654,1.0823312671996856e-11,12766,0.09462760238588397,8.687132550825983e-27,12766,0.13457354686646736,1.1562916217405892e-52,12766,0.1661494971103636,1.0904384043005303e-79,12766,0.035273332022401405,6.712058144527854e-05
NSCLC_P16,5262,True,True,5262,0.05552043819366922,5.587560589516913e-05,5262,0.014065022761203434,0.30769061257168684,5262,0.11849267097206401,6.478514624107561e-18,5262,0.0740744361306275,7.471460710659797e-08,5262,0.11656880669291673,2.1987053630932193e-17,5262,0.08506961903050579,6.383423750361381e-10
