cohort	gene	endpoint	cutoff	n	n_R	n_NR	n_high_R	n_high_NR	n_low_R	n_low_NR	effect	effect_value	ci_low	ci_high	p	note
GSE274975_NSCLC	CLDN4	ORR_CRPR_vs_SDPD	continuous	56	14	42					rank_biserial_R_minus_NR	-0.03401360544217691			0.857342586821267	PMID 39723204 Table S1; DCB=PFS>=6mo, early-censored <6mo excluded; not pooled into the 11-cohort meta
GSE274975_NSCLC	CLDN4	ORR_CRPR_vs_SDPD	median	56	14	42	7.0	21.0	7.0	21.0	OR_high_vs_low	1.0	0.29827533869666645	3.3526070387500533	1.0	PMID 39723204 Table S1; DCB=PFS>=6mo, early-censored <6mo excluded; not pooled into the 11-cohort meta
GSE274975_NSCLC	CLDN4	DCB_PFS_ge_6mo	continuous	54	34	20					rank_biserial_R_minus_NR	0.04117647058823537			0.8089212056851205	PMID 39723204 Table S1; DCB=PFS>=6mo, early-censored <6mo excluded; not pooled into the 11-cohort meta
GSE274975_NSCLC	CLDN4	DCB_PFS_ge_6mo	median	54	34	20	17.0	10.0	17.0	10.0	OR_high_vs_low	1.0	0.33132362922556075	3.0181970490224628	1.0	PMID 39723204 Table S1; DCB=PFS>=6mo, early-censored <6mo excluded; not pooled into the 11-cohort meta
GSE274975_NSCLC	CLDN4	PFS_cox_per_SD	continuous	60	41	19					HR_per_SD	1.0231348999321948			0.8879558622061114	univariable Cox; event=Table S1 Response status available
GSE274975_NSCLC	TACSTD2	ORR_CRPR_vs_SDPD	continuous	56	14	42					rank_biserial_R_minus_NR	0.14965986394557818			0.41044984915308635	PMID 39723204 Table S1; DCB=PFS>=6mo, early-censored <6mo excluded; not pooled into the 11-cohort meta
GSE274975_NSCLC	TACSTD2	ORR_CRPR_vs_SDPD	median	56	14	42	7.0	21.0	7.0	21.0	OR_high_vs_low	1.0	0.29827533869666645	3.3526070387500533	1.0	PMID 39723204 Table S1; DCB=PFS>=6mo, early-censored <6mo excluded; not pooled into the 11-cohort meta
GSE274975_NSCLC	TACSTD2	DCB_PFS_ge_6mo	continuous	54	34	20					rank_biserial_R_minus_NR	-0.061764705882352944			0.7134660488878422	PMID 39723204 Table S1; DCB=PFS>=6mo, early-censored <6mo excluded; not pooled into the 11-cohort meta
GSE274975_NSCLC	TACSTD2	DCB_PFS_ge_6mo	median	54	34	20	16.0	11.0	18.0	9.0	OR_high_vs_low	0.7272727272727273	0.23994911485524914	2.2043241132762192	0.7785510195630274	PMID 39723204 Table S1; DCB=PFS>=6mo, early-censored <6mo excluded; not pooled into the 11-cohort meta
GSE274975_NSCLC	TACSTD2	PFS_cox_per_SD	continuous	60	41	19					HR_per_SD	0.9804422093138327			0.8995630254501003	univariable Cox; event=Table S1 Response status available
GSE283829_NSCLC	CLDN4	ORR_CR_vs_SDPD	continuous	27	7	20					rank_biserial_R_minus_NR	-0.014285714285714235			0.9784489262750131	GEO disease stage is best response CR/SD/PD (no PR, no PFS); not pooled into the 11-cohort meta
GSE283829_NSCLC	CLDN4	ORR_CR_vs_SDPD	median	27	7	20	3.0	10.0	4.0	10.0	OR_high_vs_low	0.75	0.1323372049768414	4.250505366940732	1.0	GEO disease stage is best response CR/SD/PD (no PR, no PFS); not pooled into the 11-cohort meta
GSE283829_NSCLC	CLDN4	CR_vs_PD	continuous	17	7	10					rank_biserial_R_minus_NR	-0.02857142857142858			0.9622583299053886	GEO disease stage is best response CR/SD/PD (no PR, no PFS); not pooled into the 11-cohort meta
GSE283829_NSCLC	CLDN4	CR_vs_PD	median	17	7	10	3.0	5.0	4.0	5.0	OR_high_vs_low	0.75	0.10739086993298691	5.23787543904809	1.0	GEO disease stage is best response CR/SD/PD (no PR, no PFS); not pooled into the 11-cohort meta
GSE283829_NSCLC	TACSTD2	ORR_CR_vs_SDPD	continuous	27	7	20					rank_biserial_R_minus_NR	-0.12857142857142856			0.6455862977602108	GEO disease stage is best response CR/SD/PD (no PR, no PFS); not pooled into the 11-cohort meta
GSE283829_NSCLC	TACSTD2	ORR_CR_vs_SDPD	median	27	7	20	3.0	10.0	4.0	10.0	OR_high_vs_low	0.75	0.1323372049768414	4.250505366940732	1.0	GEO disease stage is best response CR/SD/PD (no PR, no PFS); not pooled into the 11-cohort meta
GSE283829_NSCLC	TACSTD2	CR_vs_PD	continuous	17	7	10					rank_biserial_R_minus_NR	-0.08571428571428574			0.8125257095845331	GEO disease stage is best response CR/SD/PD (no PR, no PFS); not pooled into the 11-cohort meta
GSE283829_NSCLC	TACSTD2	CR_vs_PD	median	17	7	10	3.0	5.0	4.0	5.0	OR_high_vs_low	0.75	0.10739086993298691	5.23787543904809	1.0	GEO disease stage is best response CR/SD/PD (no PR, no PFS); not pooled into the 11-cohort meta
