gene,present,log2FC_KO_minus_WT,mean_norm_KO,mean_norm_WT,welch_t,welch_p,welch_fdr_genomewide,mwu_p,cohens_d,values_KO,values_WT
Tacstd2,True,-3.8211685643857187,11.018102648690116,159.15045512234832,-5.297353427363515,0.001079236576173238,0.5971073425136426,0.007936507936507936,-3.3503404802736085,"3.7638,0.9545,4.0415,4.1995,3.2825","6.5889,6.9639,6.0568,8.5007,7.2372"
Cldn4,True,-0.8172280353675259,1673.7895169202948,2604.829025055698,-1.2458679029478745,0.25291925759343825,0.8956280324339052,0.42063492063492064,-0.7879560474025781,"11.0019,8.8618,11.7353,10.8346,9.2822","10.6363,11.2210,10.1667,11.4737,12.3040"
Cldn7,True,-0.8228841611013129,139.42333075021799,285.616921305738,-2.1219770364077735,0.09063371097479317,0.8326458464764014,0.015873015873015872,-1.3420561155245212,"6.9868,6.7411,7.2292,7.3072,7.3209","7.3165,7.7566,7.9636,7.3241,9.3389"
Cldn1,True,-2.1807070102827377,17.50530954904041,97.64550013111764,-2.549853554757158,0.034988150464178316,0.7628126532705235,0.031746031746031744,-1.612668986581898,"4.0338,1.9311,4.2690,5.3159,3.7249","7.0167,4.4988,5.7501,8.0075,4.9050"
Ocln,True,-0.6612764303503198,112.60272069067275,190.0845905429492,-2.208329366044782,0.07777295420828834,0.8207955883911766,0.09523809523809523,-1.3966701241074426,"7.0642,6.4476,6.9298,6.7991,6.8281","7.6625,7.8374,6.5943,8.1817,7.0993"
Tjp1,True,-0.07367406059102066,2019.7341799623598,2282.009365481153,-0.16395364372007165,0.8746575474759269,0.9838045520347934,0.8412698412698413,-0.10369338896783767,"11.4118,11.2107,11.1389,10.6948,10.0989","11.5853,10.8632,9.5983,11.0990,11.7777"
F11r,True,-0.09721905759822569,887.3714342589379,968.2126243023322,-0.590528244748857,0.5797194329036832,0.9617056480091948,1.0,-0.3734828552135511,"9.7068,9.7671,9.9340,9.6274,9.9154","9.5159,9.8882,9.6168,10.0424,10.3736"
Epcam,True,-1.2618615808354399,1317.2327049343908,2955.574774839264,-2.9953732326889413,0.021457068522227,0.7503999856972797,0.015873015873015872,-1.8944403715197158,"10.7813,9.1097,10.8848,10.6615,9.5857","11.0271,11.8883,10.8488,11.7149,11.8531"
Cxcl9,True,1.081512927445882,2331.2135284972,1087.25783066423,3.7028996601494897,0.006213113464401835,0.6605723369640147,0.015873015873015872,2.341919374627163,"10.4732,11.1684,10.9082,11.2278,11.8210","10.0588,9.4460,10.3500,10.5255,9.8107"
Ifi27,True,0.22237536237315503,997.8554476748219,828.9448344558696,0.8690705003081824,0.41572363781992633,0.9425637702261487,0.5476190476190477,0.5496484456471844,"9.3092,9.8486,9.5650,10.2358,10.5262","9.1944,9.6567,9.9750,9.7665,9.7801"
Ifi27l2a,True,0.21416082385937152,544.3696448792364,516.1828153240194,0.41393608292432116,0.6904488454371146,0.9683636774628493,0.5476190476190477,0.2617961655538373,"7.9158,9.0265,9.0141,9.9154,8.9104","8.1186,8.6995,10.2799,7.9856,8.6279"
Ifi27l2b,False,,,,,,,,,,
Oas2,True,-0.10428065880728354,211.16812081401423,230.8899689743298,-0.25507005054602055,0.8051076565834935,0.9794123825407275,1.0,-0.16132046452394003,"7.8561,7.4471,8.5180,7.4823,6.7716","7.6937,7.2969,7.2922,8.8524,7.4612"
