,group,Tacstd2,Cldn4,Cldn7,Cxcl9,Cxcl10,Isg15,Stat1,B2m,H2-K1,Cd8a,Ifng,Gzmb
KO162,KO,3.7637691552640273,11.001894093616077,6.986793893018067,10.47322095557062,7.932382580334843,7.261141011626445,11.546724106092602,14.635070001192725,12.45962513392874,7.064197612278362,3.7637691552640273,6.905000677795512
KO164,KO,0.9544521232321895,8.861808297003895,6.7411477319258495,11.168377721923154,8.136556600466305,7.873585923079638,11.636643248099853,15.269810561157453,13.06493453008288,7.6627493259741275,5.119454492952122,6.351461336288037
KO165,KO,4.041490343934182,11.735270582110342,7.229241164742874,10.908166078462626,8.081969983368912,7.543819691997338,11.718513736543041,14.958305032110292,12.748976115071885,7.855468220785934,3.2382440624879667,4.932040917586326
KO172,KO,4.199453005466139,10.834552888848142,7.307171237265087,11.227835223558854,7.90763167450163,8.14487683934463,11.209897783271808,15.284465115951356,12.956054795746192,6.352787931290663,4.888160995091285,6.180557964324789
RESUB-KO163R,KO,3.282480379812361,9.28215130230693,7.32094474793974,11.82095770163977,8.747039696927791,8.994282584630543,11.083793762601754,15.396180421537686,12.823888498949408,7.827273387293982,5.562866704738511,8.359245569897057
control170,WT,6.588904440373598,10.636320955071614,7.316524753929428,10.058820543555568,7.589711308692766,6.927658130609523,11.104605707914187,14.745097418193742,12.544955472920257,6.315549617603073,3.455405941566662,5.699175364701532
RESUB-171R,WT,6.963866957997982,11.221037106441768,7.756590016866432,9.44597140040191,6.812080732166997,7.873685649281549,10.51953062791829,14.576388122141992,12.461058662363492,6.593601274026503,3.2189370223368705,5.132376292531825
RESUB-170R,WT,6.05682980920365,10.166677253460374,7.963617188244342,10.349990579456648,7.653611412691155,8.427685546558434,9.882013793476476,14.708455109730197,12.401340012286742,6.05682980920365,3.5763480557634986,6.18876402569866
RESUB-169R,WT,8.500681744233848,11.473741579274408,7.324117770836671,10.525518853285115,8.071432129339806,8.715857129604775,12.019253173393636,14.750580316432664,12.85878405367293,7.167278918327758,4.714017184353943,6.465802541077409
RESUB-168R,WT,7.237204877828413,12.304040446474845,9.338869850521302,9.810691667226374,7.857769352818152,8.32652751437544,11.369930001225612,14.712375595960902,13.123234390008653,7.257826828367569,3.1641979693319873,5.426057139703136
