pair	n	rho	p	ci_lo	ci_hi
CLDN4 vs ImmuneScore	515	-0.06462425880926838	0.14305044325865524	-0.15019020909338554	0.02190262904164168
CLDN4 vs ESTIMATE_score	515	-0.0816227659072956	0.06418340624243725	-0.16685062553052882	0.004815785049805086
CLDN4 vs StromalScore	515	-0.07565981162885711	0.08629362958263158	-0.16101180755778696	0.010815480243813031
CXCL9 vs ESTIMATE_score	515	0.5588078642800799	1.247065537418473e-43	0.49636977843814295	0.6154941986886692
CXCL9 vs ImmuneScore	515	0.6535054005350925	4.824829643398122e-64	0.601038999960754	0.7003633649831529
CXCL10 vs ESTIMATE_score	515	0.5676236486554043	2.9441634954950966e-45	0.5060378321611497	0.6234509071795707
CXCL10 vs ImmuneScore	515	0.642595477740396	2.550921811545235e-61	0.5888878252412034	0.6906528127866577
CXCL13 vs ESTIMATE_score	515	0.5097185016993728	2.1040653089016448e-35	0.4428164436877163	0.570976147872831
CXCL13 vs ImmuneScore	515	0.5991970369501628	1.6605280680772333e-51	0.5407910249728334	0.6518529961082403
CXCR3 vs ESTIMATE_score	515	0.6195644961773338	6.397014646407541e-56	0.5633160266572105	0.6700966553885788
CXCR3 vs ImmuneScore	515	0.7191689843450232	3.7534296166345626e-83	0.6746892491977384	0.7584442271055166
