n	rho	p	ci_lo	ci_hi	endpoint	test	bh_q	label
515	-0.11146692933823986	0.011362978894630806	-0.19598394541703232	-0.025306071298129826	CXCL9	unadjusted_spearman	0.022725957789261612	WEAK_NEGATIVE
515	-0.05901812978228848	0.18114238886664474	-0.1446849054424037	0.027526828791941165	CXCL10	unadjusted_spearman	0.22833206295107614	NULL
515	-0.1290106672483184	0.00335845406715539	-0.21304046821997308	-0.04308636864687188	CXCL13	unadjusted_spearman	0.01343381626862156	WEAK_NEGATIVE
515	0.05317559831226424	0.22833206295107614	-0.03338236807870162	0.13894180138192538	CXCR3	unadjusted_spearman	0.22833206295107614	NULL
