contrast	target	status	log2FoldChange	pvalue	padj	simple_log2FC	mean_norm_depleted	mean_norm_control	n_genes_tested	n_padj_lt_0.05	replicate_pearson_depleted	replicate_pearson_control	fit_type
GSE180581_Ku70	XRCC6	tested	-2.0105632178091404	2.655764025816189e-56	3.149204981812837e-52	-1.9925985768738466	134.80830058554787	539.4534029796456	14365	785	0.9789435827882998	0.9769729243376696	parametric
GSE180581_Ku80	XRCC5	tested	-1.9786766452605902	1.7567121742458588e-53	8.419921451160401e-50	-2.005465407641596	133.87502086182175	540.5477650218294	13897	574	0.9803746708533766	0.9772243667916648	parametric
GSE180581_DNAPKcs	PRKDC	tested	-1.6964197013197846	3.2608215836559936e-65	3.117997598291861e-61	-1.6871710458206213	1125.9352491411037	3628.009088953769	13862	46	0.9736704557122225	0.9761675701998896	parametric
GSE135274_XRCC4	XRCC4	tested	-0.5381584574899656	0.19186853604248422	0.5480559713924895	-0.49645858339653604	46.47887493360093	65.9806479579599	13604	1005	0.986778403087126	0.9906688203417843	parametric
GSE135274_XRCC4_within_mirin	XRCC4	tested	-0.3441273628788333	0.2849598893838531	0.5795699165733948	-0.3353322672070771	56.01187283867425	70.93005274236852	13751	1481	0.9909238856249517	0.9920719720530001	parametric
GSE135274_double_block_vs_WT	XRCC4	tested	-0.24028932319379007	0.4808787692729676	0.7175215988186333	-0.2511167455493739	53.937492883335565	64.38264851749419	13665	2623	0.9909238856249517	0.9906688203417843	parametric
