contrast	panel	n_panel	n_tested	n_missing	n_up	n_down	median_log2FC	mean_log2FC	sign_test_p_up	wilcoxon_p_up	wilcoxon_p_down	mwu_p_panel_gt_bg	missing_symbols
GSE180581_Ku70	STING	13	6	7	6	0	0.0952	0.1544	0.015625	0.015625	1.0	0.044541198844812266	CGAS,IFI16,ZBP1,DDX58,IFIH1,IFNB1,CXCL10
GSE180581_Ku70	IFN_CORE	29	13	16	6	7	-0.0051	-0.0012	0.70947265625	0.5269775390625	0.5	0.5466467929753511	MX1,MX2,OAS1,OAS2,OAS3,OASL,RSAD2,IFIT2,IFIT3,IFI44,IFI44L,DDX58,IFIH1,XAF1,GBP1,GBP2
GSE180581_Ku70	CORE8	8	6	2	2	4	-0.1806	-0.1817	0.890625	0.921875	0.109375	0.9397828756886933	OAS2,MX1
GSE180581_Ku70	APM	16	14	2	4	10	-0.1806	-0.1359	0.9713134765625	0.97528076171875	0.02899169921875	0.982916678604427	PSMB8,PSMB9
GSE180581_Ku70	INTERFERON_ALPHA_RESPONSE	97	64	33	33	31	0.012	0.004	0.4503266231260167	0.4706792348824785	0.5293207651175216	0.5588577755644318	MX1,OAS1,IFIT3,IFI44,RSAD2,IFI44L,OASL,IFIT2,CXCL10,SP110,DDX60,PSMB8,IFIH1,GBP2,PSMB9,CMPK2,RTP4,SAMD9L,CXCL11,PARP14,PARP12,NMI,CASP1,DHX58,PARP9,EPSTI1,GBP4,IL7,IFI30,IL15,SELL,BATF2,CCRL2
GSE180581_Ku70	INTERFERON_GAMMA_RESPONSE	200	120	80	55	65	-0.0268	-0.0186	0.8423483495838711	0.7793344866523033	0.22066551334769674	0.8664519478495605	MX1,IFIT3,IFIT2,OAS2,RSAD2,MX2,OAS3,TNFSF10,CXCL10,IFI44,XAF1,SP110,OASL,PSMB8,IFI44L,DDX60,GBP4,PSMB9,IFIH1,CXCL9,IL10RA,PTGS2,EPSTI1,DDX58,IL15,NMI,IDO1,CXCL11,ITGB7,CMPK2,SAMD9L,RTP4,PARP14,TNFAIP2,SOCS1,CASP1,FCGR1A,SOCS3,PARP12,TNFAIP6,VCAM1,CD274,SELP,FPR1,SERPING1,CCL5,SOD2,CD86,CCL7,DHX58,IFI30,CCL2,FGL2,SECTM1,GBP6,LCP2,HLA-G,KLRK1,CD38,ZBP1,BANK1,PDE4B,IL7,CD69,MYD88,CFH,SSPN,IRF4,BATF2,SLAMF7,IL6,GZMA,CASP4,CSF2RB,CMKLR1,METTL7B,XCL1,IL2RB,VAMP5,APOL6
GSE180581_Ku80	STING	13	6	7	6	0	0.1408	0.1292	0.015625	0.015625	1.0	0.04327365363283736	CGAS,IFI16,ZBP1,DDX58,IFIH1,IFNB1,CXCL10
GSE180581_Ku80	IFN_CORE	29	13	16	9	4	0.1407	0.048	0.1334228515625	0.1697998046875	0.8472900390625	0.10844599734158311	MX1,MX2,OAS1,OAS2,OAS3,OASL,RSAD2,IFIT2,IFIT3,IFI44,IFI44L,DDX58,IFIH1,XAF1,GBP1,GBP2
GSE180581_Ku80	CORE8	8	6	2	1	5	-0.191	-0.2235	0.984375	0.984375	0.03125	0.9887074372195851	OAS2,MX1
GSE180581_Ku80	APM	16	14	2	8	6	0.1039	0.0038	0.395263671875	0.3128662109375	0.70849609375	0.32806442568389527	PSMB8,PSMB9
