contrast	geneset	n_genes	n_universe	ES	NES	nominal_p	leading_edge_n	leading_edge	bh_q
GSE180581_Ku70	INTERFERON_ALPHA_RESPONSE	64	14365	-0.2356	-0.8983	0.35782108945527236	12	C1S,IRF2,UBE2L6,B2M,CMTR1,OGFR,MOV10,PROCR,PSME2,NUB1,ISG15,HELZ2	0.4293853073463268
GSE180581_Ku70	INTERFERON_GAMMA_RESPONSE	120	14365	-0.2436	-1.0304	0.20339830084957522	34	HLA-DQA1,IL4R,BTG1,TRIM21,TNFAIP3,CDKN1A,CIITA,EIF4E3,HIF1A,CD74,PML,SPPL2A,C1R,C1S,IRF2,PSMB10,UBE2L6,B2M,NLRC5,RBCK1,CMTR1,IRF8,TAPBP,OGFR,PSME2	0.2711977344661003
GSE180581_Ku80	INTERFERON_ALPHA_RESPONSE	61	13897	0.1608	0.6238	0.45577211394302847	22	TXNIP,ADAR,HLA-C,CSF1,ISG20,UBA7,HELZ2,PSME1,USP18,PLSCR1,IRF1,ELF1,LY6E,CD74,TRIM26,OGFR,IRF7,IRF9,NCOA7,MVB12A,TRIM25,IFITM1	0.45577211394302847
GSE180581_Ku80	INTERFERON_GAMMA_RESPONSE	116	13897	-0.207	-0.8761	0.4047976011994003	37	C1S,ZNFX1,PELI1,IRF2,IRF8,IFIT1,RNF213,TNFAIP3,SRI,HIF1A,ICAM1,CIITA,PTPN2,RIPK2,IFITM3,RAPGEF6,RBCK1,SLC25A28,MARCHF1,UBE2L6,MVP,EIF4E3,TRIM14,PFKP,TAP1	0.44159738312661845
GSE180581_DNAPKcs	INTERFERON_ALPHA_RESPONSE	62	13862	-0.3565	-1.4435	0.014992503748125937	22	IFI35,NUB1,IFITM2,C1S,WARS1,TDRD7,ADAR,PSMA3,ISG15,PROCR,IL4R,TRIM25,TRIM26,CMTR1,TAP1,TRIM14,UBE2L6,RIPK2,IFIH1,B2M,LGALS3BP,HELZ2	0.022488755622188904
GSE180581_DNAPKcs	INTERFERON_GAMMA_RESPONSE	119	13862	-0.3221	-1.4788	0.005497251374312844	40	IFITM2,C1S,WARS1,TDRD7,ADAR,RIPK1,NUP93,ICAM1,MT2A,PSMA3,GCH1,ISG15,NFKBIA,PTPN2,PSMB10,MTHFD2,IRF8,IL4R,NLRC5,BTG1,TRIM25,TRIM26,PELI1,CMTR1,TAP1	0.009423859498822018
GSE135274_XRCC4	INTERFERON_ALPHA_RESPONSE	83	13604	-0.7434	-2.8608	0.0004997501249375312	47	STAT2,CSF1,SLC25A28,NMI,GBP2,TRIM25,PLSCR1,LGALS3BP,NCOA7,CASP1,MOV10,HELZ2,PROCR,SAMD9,USP18,TRAFD1,PSMB9,UBE2L6,PARP12,SAMD9L,RSAD2,PARP14,IFI35,TAP1,UBA7	0.0009995002498750624
GSE135274_XRCC4	INTERFERON_GAMMA_RESPONSE	146	13604	-0.6832	-2.8498	0.0004997501249375312	69	CCL5,SOCS3,GBP4,IDO1,MX2,STAT2,SLC25A28,NMI,HIF1A,TRIM25,CDKN1A,ISOC1,TNFAIP2,PLSCR1,LGALS3BP,TNFAIP3,BPGM,C1R,CASP1,OAS3,HELZ2,PDE4B,USP18,PSMB10,TRAFD1	0.0009995002498750624
GSE135274_XRCC4_within_mirin	INTERFERON_ALPHA_RESPONSE	85	13751	-0.8266	-3.1178	0.0004997501249375312	55	LAP3,PSMB8,GBP4,PSMA3,CASP1,TRAFD1,PSME2,NCOA7,IFITM3,UBA7,OGFR,EIF2AK2,ADAR,CNP,HLA-C,TRIM25,RTP4,IRF1,MOV10,NMI,TRIM21,LGALS3BP,PARP14,USP18,HERC6	0.0009995002498750624
GSE135274_XRCC4_within_mirin	INTERFERON_GAMMA_RESPONSE	148	13751	-0.7622	-3.1296	0.0004997501249375312	72	PSMB8,GBP4,RAPGEF6,TNFAIP3,PSMA3,CASP1,PIM1,IDO1,TRAFD1,PSME2,IFITM3,CCL5,OGFR,EIF2AK2,ADAR,SOCS3,MX2,SOD2,TRIM25,ARID5B,RTP4,IRF1,NMI,TRIM21,RNF213	0.0009995002498750624
GSE135274_double_block_vs_WT	INTERFERON_ALPHA_RESPONSE	84	13665	-0.5856	-2.0759	0.0004997501249375312	38	CASP1,SLC25A28,LGALS3BP,IRF9,HLA-C,IL4R,PSME2,IRF1,SAMD9L,UBE2L6,TRAFD1,IFIT3,DHX58,TDRD7,LAP3,PSME1,PSMB9,ISG20,GBP2,OAS1,PSMB8,LAMP3,MOV10,PSMA3,ISG15	0.0009995002498750624
GSE135274_double_block_vs_WT	INTERFERON_GAMMA_RESPONSE	147	13665	-0.5516	-2.1053	0.0004997501249375312	49	PSME2,PSMA2,IRF1,SAMD9L,UBE2L6,CASP4,TRAFD1,PIM1,IFIT3,DHX58,PNP,SECTM1,TDRD7,LAP3,PSME1,PSMB9,ISG20,PSMB8,HIF1A,PDE4B,RNF213,C1R,TNFAIP3,ISOC1,PSMA3	0.0009995002498750624
