symbol	status	exp1_log2FC	exp2_log2FC	same_sign	exp1_ko	exp1_wt	exp2_ko	exp2_wt
XRCC6	present	0.3963	0.0878	1	2998	2120	3187	2935
XRCC5	present	0.4905	0.3185	1	2882	1909	3039	2385
PRKDC	present	0.3028	0.6079	1	5980	4512	8806	5655
XRCC4	present	-0.1019	-1.1109	1	59	59	33	71
LIG4	present	0.3916	-0.126	0	75	53	72	77
CGAS	present	-0.1224	-0.3628	1	146	148	169	213
STING1	present	-0.7802	-0.5874	1	156	250	222	327
TBK1	present	-0.2325	-0.1358	1	255	279	304	327
IRF3	present	-0.3807	-0.1482	1	79	96	105	114
IRF7	present	-0.5019	-0.6764	1	24	32	29	46
IFNB1	present	0.0	0.9374	0	0	0	1	0
ISG15	present	-1.5209	-2.2247	1	1525	4075	1535	7026
MX1	present	0.7908	0.5158	1	23	12	18	12
IFI27	present	-1.2544	-2.1229	1	67	150	51	221
IFIT1	present	-0.5754	-1.7846	1	278	386	208	704
OAS1	present	-0.6595	-1.8023	1	101	149	83	286
OAS2	present	-0.6165	-2.5825	1	27	39	17	105
RSAD2	present	-0.3918	-1.7689	1	53	65	40	136
STAT1	present	0.1924	-0.4244	0	598	487	624	820
CXCL10	present	-0.9047	-1.9278	1	3	6	0	3
HLA-A	present	-0.7599	-0.5244	1	2332	3676	2969	4180
HLA-B	present	-0.9453	-0.77	1	1746	3130	2132	3559
B2M	present	-0.4469	-0.4433	1	15549	19728	16838	22409
TAP1	present	-0.2207	-0.5879	1	1322	1434	1402	2063
TAP2	present	0.2982	-0.0425	0	884	669	995	1003
PSMB8	present	-0.0903	-0.1164	1	444	440	556	590
PSMB9	present	-0.171	-0.7067	1	332	348	332	531
NLRC5	present	-0.3131	0.3338	0	69	80	93	72
