contrast	symbol	status	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	simple_log2FC_pseudocount	mean_norm_depleted	mean_norm_control
GSE180581_Ku70	XRCC6	tested	336.67810266442785	-2.0105632178091404	0.1271705581144398	-15.809974003572826	2.655764025816189e-56	3.149204981812837e-52	-1.9925985768738466	134.80830058554787	539.4534029796456
GSE180581_Ku70	XRCC5	tested	1416.8041628321153	-0.1508837824540451	0.07187661540309638	-2.0992054454409548	0.0357987941960725	0.23184640198986323	-0.14891368119348414	1347.6988747245293	1494.348708483037
GSE180581_Ku70	PRKDC	tested	7521.629681288468	-0.053178470210966805	0.05828811117541668	-0.9123381962219959	0.36159071308660085	0.7048249913234543	-0.0506709424772076	7411.518392585943	7676.4899670152345
GSE180581_Ku70	XRCC4	tested	25.435756052210824	0.24782283468788732	0.3491457849077751	0.7097975842765747	0.4778296673529867		0.24105450911270498	27.68162326869938	23.26828515125744
GSE180581_Ku70	LIG4	tested	39.53375641111595	-0.17643916289909164	0.27833793542044927	-0.63390267888769	0.5261443371985783	0.813926117890334	-0.17421939931093	37.23015662875083	42.13713944614104
GSE180581_Ku70	NHEJ1	below_count_filter							-0.5236556828305687	3.2216044938609962	5.0689507252947985
GSE180581_Ku70	DCLRE1C	tested	113.17872439276908	0.017096705831661257	0.1753189203724018	0.0975177453485652	0.9223152426426171	0.9786336563667924	0.02451020591560482	114.50725360417465	112.56145562453541
GSE180581_Ku70	PAXX	tested	227.34893204996683	-0.04711553005927572	0.1338054762247015	-0.3521195947178868	0.7247485738211988	0.9127090684337059	-0.03849959024470451	225.06387348970262	231.17780240873768
GSE180581_Ku70	APLF	tested	29.568782794889415	0.8559483958409904	0.3326192999509017	2.573357577168065	0.010071709017993879	0.10798401947140272	0.8475116360332828	38.460462241890085	20.929854193981573
GSE180581_Ku80	XRCC6	tested	1205.6508862284034	-0.1121026874520004	0.09580592930525457	-1.1701017699522698	0.24196001629500208	0.6166898591893561	-0.14547713262843054	1149.1562723437228	1271.183717461173
GSE180581_Ku80	XRCC5	tested	333.85483535810596	-1.9786766452605902	0.12852369242279685	-15.39542327146542	1.7567121742458588e-53	8.419921451160401e-50	-2.005465407641596	133.87502086182175	540.5477650218294
GSE180581_Ku80	PRKDC	tested	4248.9849942263545	-0.14336847400053776	0.07303776176750715	-1.962936302140616	0.049653575941420745	0.27622486059820417	-0.17707812910171405	4004.814099218284	4527.940543367645
GSE180581_Ku80	XRCC4	tested	20.27862819999045	0.45176011726739973	0.3984247753127781	1.1338655255882404	0.25685095994693674		0.40426474468095197	23.27957805113472	17.346166078345085
GSE180581_Ku80	LIG4	tested	24.891381632732664	-0.7296228911948034	0.3661328169595086	-1.9927820107846106	0.046285322442683664		-0.7287262947503237	18.60596571492017	31.49052374495875
GSE180581_Ku80	NHEJ1	below_count_filter							-0.04447310954321515	2.786090590732661	2.9046197008907044
