gene_id	gene_name	description	locus	A549_FPKM	H1299_FPKM	H1581_FPKM	H23_FPKM	H441_FPKM	H460_FPKM	H520_FPKM	A549_count	H1299_count	H1581_count	H23_count	H441_count	H460_count	H520_count
ENSG00000189143	CLDN4	claudin 4 [Source:HGNC Symbol;Acc:HGNC:2046]	7:73799542-73832693	0.477593636	0.112019008	0.016392842	0.039100068	0.408851795	14.22935554	0.421209966	61	20	3	6	65	2604	73
ENSG00000184292	TACSTD2	tumor associated calcium signal transducer 2 [Source:HGNC Symbol;Acc:HGNC:11530]	1:58575423-58577773	0.037532964	0	0.026205769	0.125022473	913.9731465	0.052418093	2.213760362	1	0	1	4	30298	2	80
