accession	bioproject	access	neoadjuvant_keyword	title	url	note
HRA006603	PRJCA022534	Controlled	False	Preclinical study and phase II trial of adapting low-dose radiotherapy to immunotherapy in small cell lung cancer	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA006603	HRA Controlled — not downloaded (DAC). Listed only as a near-miss.
HRA006932	PRJCA024185	Controlled	False	Sintilimab in Combination with Stereotactic Body Radiotherapy and Granulocyte-Macrophage Colony-Stimulating Factor in Metastatic Non-Small Cell Lung Cancer: A Multicenter Phase 2 Trial	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA006932	HRA Controlled — not downloaded (DAC). Listed only as a near-miss.
HRA006484	PRJCA022764	Controlled	False	Sintilimab with two cycles of chemotherapy for treatment of naive advanced squamous NSCLC: A phase 2 clinical trial	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA006484	HRA Controlled — not downloaded (DAC). Listed only as a near-miss.
HRA003259	PRJCA012386	Controlled	False	Safety and tolerability of low-dose radiation and stereotactic body radiotherapy plus sintilimab for treatment-naive stage IV PD-L1+ non-small-cell lung cancer: a phase 1 trial	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA003259	HRA Controlled — not downloaded (DAC). Listed only as a near-miss.
HRA003549	PRJCA013411	Controlled	True	Afatinib as Neoadjuvant Treatment for Stage III EGFR-Mutant Non-Small Cell Lung Cancer	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA003549	HRA Controlled — not downloaded (DAC). Listed only as a near-miss.
HRA004954	PRJCA017962	Controlled	False	Low-dose radiotherapy recruits TCF1+PD-1+CD8+ T cells to enhance efficacy of immunotherapy in small cell lung cancer	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA004954	HRA Controlled — not downloaded (DAC). Listed only as a near-miss.
HRA004337	PRJCA016046	Controlled	False	HLA-I evolutionary divergence confers response to PD-1 blockade plus chemotherapy in untreated advanced non-small-cell lung cancer	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA004337	HRA Controlled — not downloaded (DAC). Listed only as a near-miss.
HRA003975	PRJCA014884	Controlled	True	Blood-based Genomic and Cellular Determinants of Response to Neoadjuvant PD-1 Blockade in Patients with Non-Small-Cell Lung Cancer	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA003975	HRA Controlled — not downloaded (DAC). Listed only as a near-miss.
HRA001033	PRJCA005740	Controlled	True	Single-cell RNA-seq and bulk RNA data of non-small cell lung cancer during neoadjuvant immunotherapy	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA001033	HRA Controlled — not downloaded (DAC). Listed only as a near-miss.
HRA002462	PRJCA009390	Controlled	False	Clinical genomic factors associated with immunotherapy efficacy in real-world patients with advanced non-small cell lung cancer	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA002462	HRA Controlled — not downloaded (DAC). Listed only as a near-miss.
HRA001966	PRJCA008327	Controlled	False	Predicting durable responses to immune checkpoint inhibitors in non-small-cell lung cancer using a multi-feature model	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA001966	HRA Controlled — not downloaded (DAC). Listed only as a near-miss.
HRA001277	PRJCA006452	Controlled	False	Tumor Microenviroment Characteristics in a Patient with HER2 Mutant Lung Squamous Cell Carcinoma harboring High PD-L1 Expression Who Presented Hyperprogressive Disease	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA001277	HRA Controlled — not downloaded (DAC). Listed only as a near-miss.
HRA000607	PRJCA004322	Controlled	False	Single-cell transcriptomic analysis of small cell lung cancer reveals its immunosuppressive microenvironment and implies the benefit of immunotherapy	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA000607	HRA Controlled — not downloaded (DAC). Listed only as a near-miss.
HRA000239	PRJCA003091	Controlled	False	ctDNA concentration, MIKI67mutations and hyper-progressive disease related gene mutations are prognostic markers for Camrelizumab and Apatinib combined multiline treatment in advanced NSCLC	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA000239	HRA Controlled — not downloaded (DAC). Listed only as a near-miss.
HRA000104	PRJCA002127	Controlled	False	Dynamics of peripheral blood T cell clones during PD-1 blockade in lung cancer	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA000104	HRA Controlled — not downloaded (DAC). Listed only as a near-miss.
