gene	Control_sample1	Control_sample2	Control_sample3	CFRT_sample1	CFRT_sample2	CFRT_sample3	HFRT_sample1	HFRT_sample2	HFRT_sample3	SF-HDRT_sample1	SF-HDRT_sample2	SF-HDRT_sample3
Cldn4	0	0	0.03	0.03	0.07	0	0.11	0.17	0	0	0	0.04
Tacstd2	0	0.16	0.04	0.1	0.14	0.07	0.06	0.15	0	0	0.08	0.16
