accession	bioproject	title	organism	access	release_date	url	lung	ici	neoadjuvant	mpr_keyword	gene_keyword	why	page_ok	description	data_type	accessibility_page	organization	n_files	file_names	related_accessions	publications	desc_lung	desc_ici	desc_neoadjuvant	desc_mpr_keyword	desc_gene_keyword	priority
OMIX490	PRJCA005726	1.3Eccentric microfluidic chip real-time PCR screening technology	unidentified	Open	2021-07-21	https://ngdc.cncb.ac.cn/omix/release/OMIX490	False	False	False	True	False	mpr_keyword	True	New technology (technical report with expert review opinion),Invention Patent (Application No.),products,Third Party Verification Report	Mixed	Open-access	Chinese Academy of Inspection Quarantine	1	OMIX490-99-01.zip	OMIX490;PRJCA005726	OMIX490-99-01	False	False	False	True	False	0
OMIX491	PRJCA005726	1.4Development of digital PCR instrument	unidentified	Open	2021-07-21	https://ngdc.cncb.ac.cn/omix/release/OMIX491	False	False	False	True	False	mpr_keyword	True	New technology items (technical report attached with expert review opinions),Patent for invention (application number),Principle of digital PCR instrument,Third Party Verification Report	Mixed	Open-access	Chinese Academy of Inspection Quarantine	1	OMIX491-99-01.zip	OMIX491;PRJCA005726	OMIX491-99-01	False	False	False	True	False	0
OMIX548	PRJCA006340	Lung cancer	Cancer	Open	2021-09-12	https://ngdc.cncb.ac.cn/omix/release/OMIX548	True	False	False	False	False	lung	True	Lung cancer	Mixed	Open-access	Peking University Cancer Hospital & Institute	3	OMIX548-06-02.xlsx;OMIX548-01-01.xlsx;OMIX548-01-03.txt	OMIX548;PRJCA006340	OMIX548-01-01 | OMIX548-06-02 | OMIX548-01-03	True	False	False	False	False	0
OMIX575	PRJCA006267	Comparison of the immune microenvironment between lung tumors andbrain metastatic tumors	Cancer	Open	2022-05-01	https://ngdc.cncb.ac.cn/omix/release/OMIX575	True	False	False	False	False	lung	True	RNA sequencing (RNA-seq) of eighty-six samples from primary lung tumors and paired brain metastases of 43 patients was conducted to analyze the tumor immune microenvironment.	Mixed	Open-access	Sun Yat-sen University Cancer Center	1	OMIX575-20-01.txt	OMIX575;PRJCA006267	OMIX575-20-01 | Targeting the HSP47-collagen axis inhibits brain metastasis by reversing M2 microglial polarization and restoring anti-tumor immunity | Immune suppressive microenvironment in brain metastatic non-small cell lung cancer: comprehensive immune microenvironment profiling of brain metastases versus paired primary lung tumors (GASTO 1060) | An immune scoring system predicts prognosis and immune characteristics in lung adenocarcinoma brain metastases by RNA sequencing | Single-cell and 	True	False	False	False	False	0
OMIX001034	PRJCA008662	Metagenomic next-generation sequencing of cell-free DNA and whole-cell DNA for the diagnoses of pulmonary infections	Pseudomonas aeruginosa	Open	2023-01-01	https://ngdc.cncb.ac.cn/omix/release/OMIX001034	True	False	False	False	False	lung	True	Pulmonary infections have high prevalence and incidence, posing serious threat to human health. Accurate pathogen detection is of great importance for clinical diagnosis.	"Data Accessibility 
 Open-access"	Open-access	Hugobiotech Beijing Co.,Ltd.	1	OMIX001034-99-02.zip	OMIX001034;PRJCA008662	OMIX001034-99-02 | Comparison of metagenomic next-generation sequencing using cell-free DNA and whole-cell DNA for the diagnoses of pulmonary infections	True	False	False	False	False	0
OMIX001105	PRJCA008186	A case report of mixed pulmonary infection of Nocardia nova, Mycobacterium tuberculosis, and Aspergillus fumigatus based on metagenomics next generation sequencing	Nocardia nova	Open	2022-04-25	https://ngdc.cncb.ac.cn/omix/release/OMIX001105	True	False	False	False	False	lung	True	Herein, we reported a case of mixed pulmonary infection secondary to glucocorticoid use. Rare pathogens such as Nocardia nova, Mycobacterium tuberculosis, Aspergillus fumigatus, cytomegalovirus were detected by metagenomic next-generation sequencing (mNGS) of bronchoalveolar lavage fluid and lung puncture tissue.	Mixed	Open-access	Hugobiotech Beijing Co.,Ltd.	1	OMIX001105-04-01.zip	OMIX001024;OMIX001105;OMIX939;PRJCA008186	OMIX001105-04-01 | A case report on mixed pulmonary infection of Nocardia nova, Mycobacterium tuberculosis, and Aspergillus fumigatus based on metagenomic next-generation sequencing	True	False	False	False	False	0
OMIX001134	PRJCA009558	Pulmonary cryptococcosis in a young patient with normal immune function: A case report	Cryptococcus neoformans	Open	2022-05-14	https://ngdc.cncb.ac.cn/omix/release/OMIX001134	True	False	False	False	False	lung	True	Pulmonary cryptococcosis in a 16 year-old patient with normal immune function diagnosed by mNGS.	Mixed	Open-access	Hugobiotech Beijing Co.,Ltd.	1	OMIX001134-04-01.fasta	OMIX001134;PRJCA009558	OMIX001134-04-01 | Pulmonary Cryptococcosis Diagnosed by Metagenomic Next-Generation Sequencing in a Young Patient With Normal Immune Function: A Case Report	True	False	False	False	False	0
OMIX001230	PRJCA009963	Characterization of the Lung Microbiome and Metabolome in Children with Pulmonary Arterial Hypertension Associated with Congenital Heart Disease	Homo sapiens	Open	2022-06-17	https://ngdc.cncb.ac.cn/omix/release/OMIX001230	True	False	False	False	False	lung	True	n this experiment, alveolar lavage fluid was collected from children with congenital heart disease accompanied by pulmonary hypertension and congenital heart disease, as well as from children without cardiovascular disease and pulmonary infection. The samples were treated first, then analyzed by LC-MS, and the quality control samples were processed and analyzed	Mixed	Open-access	Fuwai Yunnan Cardiovascular Hospital	3	OMIX001230-30-01.gz;OMIX001230-99-04.zip;OMIX001230-30-03.zip	OMIX001230;PRJCA009963	OMIX001230-30-01 | OMIX001230-30-03 | OMIX001230-99-04 | Altered Lung Microbiome and Metabolome Profile in Children With Pulmonary Arterial Hypertension Associated With Congenital Heart Disease | Microbiome–Metabolome Axis in BALF Reveals Novel Diagnostic Biomarkers for Congenital Heart Disease-Associated Pulmonary Arterial Hypertension	True	False	False	False	False	0
OMIX001489	PRJCA010959	Dissecting Intra-Tumoral Changes Following Immune Checkpoint Blockades in primary liver cancer via Single-Cell Analysis	Homo sapiens	Open	2025-08-14	https://ngdc.cncb.ac.cn/omix/release/OMIX001489	False	True	False	False	False	ici	True	clinical information of 264 ICC patients	Clinical Research data	Open-access	Zhongshan Hospital, Fudan University	1	OMIX001489-01.xlsx	OMIX001489;PRJCA010959	OMIX001489-01 | Differential expression pattern of CC chemokine receptor 7 guides precision treatment of hepatocellular carcinoma | Peripheral Lymphocytes in Primary Liver Cancers: Elevated NK and CD8+ T Cells and Dysregulated Selenium Metabolism	False	True	False	False	False	0
OMIX001548	PRJCA011037	Tumor immune microenvironment and immunotherapy efficacy in BRAF mutation non-small-cell lung cancer-cohort A	Homo sapiens	Open	2022-08-09	https://ngdc.cncb.ac.cn/omix/release/OMIX001548	True	True	False	False	False	lung+ici	True	Previous small size studies reported BRAF mutated NSCLC patients have comparable sensitivity to immune checkpoint inhibitors (ICIs). However, how BRAF mutation affects the tumor immune microenvironment (TIME) of NSCLC is unknown. We performed Nanostring-panel RNA sequencing to evaluate TIME in 57 BRAF mutated and wild-type (WT) NSCLC specimens (cohort A). The efficacy of ICI monotherapy or combined therapies was determined in 417 patients with WT and BRAF mutated NSCLC (cohort B).	Biomarker Data	Open-access	Zhejiang Cancer Hospital	1	OMIX001548-01.zip	OMIX001548;OMIX001549;PRJCA011037	OMIX001548-01 | Tumor immune microenvironment and immunotherapy efficacy in BRAF mutation non-small-cell lung cancer	True	True	False	False	False	1
OMIX001549	PRJCA011037	Tumor immune microenvironment and immunotherapy efficacy in BRAF mutation non-small-cell lung cancer-cohort B	Homo sapiens	Open	2022-08-09	https://ngdc.cncb.ac.cn/omix/release/OMIX001549	True	True	False	False	False	lung+ici	True	Previous small size studies reported BRAF mutated NSCLC patients have comparable sensitivity to immune checkpoint inhibitors (ICIs). However, how BRAF mutation affects the tumor immune microenvironment (TIME) of NSCLC is unknown. We performed Nanostring-panel RNA sequencing to evaluate TIME in 57 BRAF mutated and wild-type (WT) NSCLC specimens (cohort A). The efficacy of ICI monotherapy or combined therapies was determined in 417 patients with WT and BRAF mutated NSCLC (cohort B).	Clinical Research data	Open-access	Zhejiang Cancer Hospital	1	OMIX001549-01.zip	OMIX001548;OMIX001549;PRJCA011037	OMIX001549-01 | Tumor immune microenvironment and immunotherapy efficacy in BRAF mutation non-small-cell lung cancer	True	True	False	False	False	1
OMIX001614	PRJCA011176	RNA RAT LUNG	Rattus norvegicus	Open	2022-08-17	https://ngdc.cncb.ac.cn/omix/release/OMIX001614	True	False	False	False	False	lung	True	RNA seq of rat lungs at E17 and P3.	Non-coding RNA Profiling	Open-access	Children’s Hospital, Zhejiang University School of Medicine	12	OMIX001614-06.gz;OMIX001614-03.gz;OMIX001614-09.gz;OMIX001614-11.gz;OMIX001614-08.gz;OMIX001614-04.gz;OMIX001614-01.gz;OMIX001614-05.gz;OMIX001614-07.gz;OMIX001614-02.gz;OMIX001614-12.gz;OMIX001614-10.gz	OMIX001614;PRJCA011176	OMIX001614-01 | OMIX001614-02 | OMIX001614-03 | OMIX001614-04 | OMIX001614-05 | OMIX001614-06 | OMIX001614-07 | OMIX001614-08	True	False	False	False	False	0
OMIX001637	PRJCA010428	RNA-seq and CyTOF for PD1 blockade induced alterations in oral carcinogenesis animal model	Mus musculus	Open	2023-12-07	https://ngdc.cncb.ac.cn/omix/release/OMIX001637	False	True	False	False	False	ici	True	PD1 blockade induced alterations of transcriptome and immune cells in oral carcinogenesis mice model	Expression Profiling	Open-access	West China Hospital of Stomatology, Sichuan University	2	OMIX001637-02.xls;OMIX001637-01.xls	OMIX001637;PRJCA010428	OMIX001637-01 | OMIX001637-02 | Mass cytometry and transcriptomic profiling reveal PD1 blockade induced alterations in oral carcinogenesis	False	True	False	False	False	0
