accession	bioproject	title	organism	access	release_date	url	lung	ici	neoadjuvant	mpr_keyword	gene_keyword	why
OMIX011116	PRJCA020258	clinical info for ICI pancancer analysis	Homo sapiens	Open	2025-07-23	https://ngdc.cncb.ac.cn/omix/release/OMIX011116	False	True	False	False	False	ici
OMIX011185	PRJCA043817	Multiomics Mendelian randomization identifies serpin family G member 1 as a chronic obstructive pulmonary disease modulator	Homo sapiens	Open	2026-01-11	https://ngdc.cncb.ac.cn/omix/release/OMIX011185	True	False	False	False	False	lung
OMIX011186	PRJCA043817	Multiomics Mendelian randomization identifies serpin family G member 1 as a chronic obstructive pulmonary disease modulator (mouse)	Homo sapiens	Open	2026-01-11	https://ngdc.cncb.ac.cn/omix/release/OMIX011186	True	False	False	False	False	lung
OMIX011501	PRJCA044884	Integrative plasma metabolomics predicts the onset and progression of chronic obstructive pulmonary disease	Homo sapiens	Open	2026-06-30	https://ngdc.cncb.ac.cn/omix/release/OMIX011501	True	False	False	False	False	lung
OMIX011514	PRJCA044933	Metabolomic data of liver cancer patients receiving immunotherapy	Homo sapiens	Open	2025-08-20	https://ngdc.cncb.ac.cn/omix/release/OMIX011514	False	True	False	False	False	ici
OMIX011532	PRJCA045014	Influenza pneumonia mice under different immune conditions Changes in Pulmonary Microbiota and Metabolites	Mus	Open	2025-12-31	https://ngdc.cncb.ac.cn/omix/release/OMIX011532	True	False	False	False	False	lung
OMIX011717	PRJCA042322	Pediococcus acidilactici PA-1 alleviates diet-induced obesity: Untargeted metabolomics analysis of liver	Mus	Open	2025-09-17	https://ngdc.cncb.ac.cn/omix/release/OMIX011717	False	True	False	False	False	ici
OMIX011718	PRJCA042322	Pediococcus acidilactici PA-1 alleviates diet-induced obesity: Targeted amino acid metabolomics of liver	Mus	Open	2025-09-17	https://ngdc.cncb.ac.cn/omix/release/OMIX011718	False	True	False	False	False	ici
OMIX011746	PRJCA045688	Single-cell dissection of pleural and systemic immunity uncovers pathogen-specific immune reprogramming in tuberculosis versus lung adenocarcinoma	Homo sapiens	Open	2026-03-23	https://ngdc.cncb.ac.cn/omix/release/OMIX011746	True	False	False	False	False	lung
OMIX011761	PRJCA033914	Plasma Proteome-Driven Liquid Biopsy for Individualized Monitoring and Risk Stratification of Immune-Related Adverse Events in Checkpoint Immunotherapy	Homo sapiens	Open	2025-10-29	https://ngdc.cncb.ac.cn/omix/release/OMIX011761	False	True	False	False	False	ici
OMIX011889	PRJCA046286	Effects of Xuanbai Chengqi Decoction on Pulmonary Lipids in Mice Infected with Influenza Virus	Mus	Open	2025-09-16	https://ngdc.cncb.ac.cn/omix/release/OMIX011889	True	False	False	False	False	lung
OMIX012013	PRJCA044540	Obesity fuels immune-related adverse events of anti-PD-1 therapy	Musculus	Open	2025-10-24	https://ngdc.cncb.ac.cn/omix/release/OMIX012013	False	True	False	False	False	ici
OMIX012014	PRJCA044540	Obesity fuels immune-related adverse events of anti-PD-1 therapy (BMDM RNA seq)	Musculus	Open	2025-10-24	https://ngdc.cncb.ac.cn/omix/release/OMIX012014	False	True	False	False	False	ici
OMIX012022	PRJCA046766	Gut Microbiota and Metabolome Profiling in Patients with Acute Lung Injury after Cardiopulmonary Bypass Surgery	Homo sapiens environmental sample	Open	2026-02-01	https://ngdc.cncb.ac.cn/omix/release/OMIX012022	True	False	False	False	False	lung
OMIX012227	PRJCA047638	Comparative Proteomic and Metabolomic Analyses Reveal Resistance Mechanisms in Chilli Pepper Roots of Resistant and Susceptible Varieties to Phytophthora capsici Infection	Capsicum annuum	Open	2025-10-11	https://ngdc.cncb.ac.cn/omix/release/OMIX012227	False	True	False	False	False	ici
OMIX012236	PRJCA047638	Proteomic and Metabolomic Analyses Reveal Resistance Mechanisms in Chilli Pepper Roots of Resistant and Susceptible Varieties to Phytophthora capsici Infection	Capsicum annuum	Open	2025-10-11	https://ngdc.cncb.ac.cn/omix/release/OMIX012236	False	True	False	False	False	ici
OMIX012323	PRJCA048256	Clinical trial of human HER2 gene mutation detection kit (fluorescence PCR method)	Homo sapiens	Open	2025-10-16	https://ngdc.cncb.ac.cn/omix/release/OMIX012323	False	False	False	True	False	mpr_keyword
OMIX012329	PRJCA048275	Integrating High- and Low-dose Radiotherapy Potentiates PD-1 Blockade via APC-like Neutrophil Activation	Mus musculus	Open	2026-03-13	https://ngdc.cncb.ac.cn/omix/release/OMIX012329	False	True	False	False	False	ici
OMIX012333	PRJCA048289	Real-world Prevalence of PD-L1 Expression And First-line Treatment Pattern  by PD-L1 Status In Advanced Gastric Cancer/Gastroesophageal Junctional  Cancer In China: REPRESENT Study	Homo sapiens	Open	2026-02-28	https://ngdc.cncb.ac.cn/omix/release/OMIX012333	False	True	False	False	False	ici
OMIX012563	PRJCA048738	Proteomic Profiling of Extracellular Vesicles Derived from P63+ Lung Progenitor Cells	Mus musculus	Open	2026-03-07	https://ngdc.cncb.ac.cn/omix/release/OMIX012563	True	False	False	False	False	lung
OMIX012657	PRJCA049806	RNAseq for KRAS mutated LUAD Cell Lines	Homo sapiens	Open	2025-10-31	https://ngdc.cncb.ac.cn/omix/release/OMIX012657	True	False	False	False	False	lung
OMIX012669	PRJCA049840	Epigenome-wide association study of leukocyte telomere length and their effects on smoking-induced lung tumorigenesis: insights from the Dongfeng-Tongji cohort study	Homo sapiens	Open	2025-12-30	https://ngdc.cncb.ac.cn/omix/release/OMIX012669	True	False	False	False	False	lung
OMIX012737	PRJCA049869	Exploring the Role of KDM4A in BCAA-Mediated Pulmonary Fibrosis	Mus musculus	Open	2026-01-31	https://ngdc.cncb.ac.cn/omix/release/OMIX012737	True	False	False	False	False	lung
OMIX012886	PRJCA032543	T-cell gene regulatory network responding to anti-PD1 immunotherapy in breast cancer	Homo sapiens	Open	2025-11-11	https://ngdc.cncb.ac.cn/omix/release/OMIX012886	False	True	False	False	False	ici
OMIX013162	PRJCA051573	Distinct metabolic profiles in lung adenocarcinomas presenting as solid or ground-glass opacities (16S rRNA sequencing)	Bacteria	Open	2025-11-21	https://ngdc.cncb.ac.cn/omix/release/OMIX013162	True	False	False	False	False	lung
OMIX013294	PRJCA052132	Multi-omics reveals cholesterol-driven macrophage metabolic reprogramming and inflammation in chronic obstructive pulmonary disease	Homo sapiens	Open	2025-11-26	https://ngdc.cncb.ac.cn/omix/release/OMIX013294	True	False	False	False	False	lung
OMIX013473	PRJCA052774	Processed single-cell transcriptomic profiles of pulmonary immune cells	Mus musculus	Open	2026-02-23	https://ngdc.cncb.ac.cn/omix/release/OMIX013473	True	False	False	False	False	lung
OMIX013717	PRJCA053654	After knocking down LINC00467 in lung adenocarcinoma cell lines, transcriptome sequencing was performed to obtain the processed counts table.	Homo sapiens	Open	2025-12-16	https://ngdc.cncb.ac.cn/omix/release/OMIX013717	True	False	False	False	False	lung
OMIX013795	PRJCA053856	Pulmonary-microbiota-dysbiosis	Mus	Open	2025-12-19	https://ngdc.cncb.ac.cn/omix/release/OMIX013795	True	False	False	False	False	lung
OMIX013900	PRJCA054228	Unleashing the potential of bimetallic nanobomb-mediated STING pathway to enhance BiTE against colorectal cancer photo-immunotherapy	Mus musculus	Open	2026-04-07	https://ngdc.cncb.ac.cn/omix/release/OMIX013900	False	True	False	False	False	ici
OMIX013953	PRJCA054576	13C-labeled glucose metabolic flux analysis in GPRASP1-knockout and control human pulmonary artery endothelial cells	Homo sapiens	Open	2026-04-20	https://ngdc.cncb.ac.cn/omix/release/OMIX013953	True	False	False	False	False	lung
OMIX013955	PRJCA054576	Untargeted metabolomics of GPRASP1-knockout and control human pulmonary artery endothelial cells	Homo sapiens	Open	2026-04-20	https://ngdc.cncb.ac.cn/omix/release/OMIX013955	True	False	False	False	False	lung
OMIX013968	PRJCA054576	Proteomics of cell lysates and culture supernatants from GPRASP1-knockout and control human pulmonary artery endothelial cells.	Homo sapiens	Open	2026-04-20	https://ngdc.cncb.ac.cn/omix/release/OMIX013968	True	False	False	False	False	lung
OMIX014028	PRJCA054576	Effect of olopatadine on 13C-labeled aspartate conversion in mouse pulmonary vascular endothelial cells	Mus	Open	2026-04-20	https://ngdc.cncb.ac.cn/omix/release/OMIX014028	True	False	False	False	False	lung
OMIX014319	PRJCA055741	Hypofractionated radiotherapy-induced tertiary lymphoid structures potentiate the efficacy of PD-1 inhibitor in lung cancer brain metastases	Mus musculus	Open	2026-05-04	https://ngdc.cncb.ac.cn/omix/release/OMIX014319	True	True	False	False	False	lung+ici
OMIX014329	PRJCA043408	LC-MS/MS-based untargeted metabolomics analysis of lung tissue	Mus musculus	Open	2026-01-15	https://ngdc.cncb.ac.cn/omix/release/OMIX014329	True	False	False	False	False	lung
OMIX014347	PRJCA055878	Cross-species single-cell transcriptomic analysis of liver cancer niche uncovers the prognostic and immunotherapy response of tumor-associated macrophage	Mus	Open	2026-01-15	https://ngdc.cncb.ac.cn/omix/release/OMIX014347	False	True	False	False	False	ici
OMIX014445	PRJCA040575	Investigating the Determinants of PD-L1 Therapeutic Benefits for Head and Neck Tumors by Single-cell RNA Sequencing Assay	Homo sapiens	Open	2026-01-20	https://ngdc.cncb.ac.cn/omix/release/OMIX014445	False	True	False	False	False	ici
OMIX014557	PRJCA055284	Low-dose gut irradiation enhances PD-1 blockade in mNSCLC	Homo sapiens	Open	2026-01-23	https://ngdc.cncb.ac.cn/omix/release/OMIX014557	False	True	False	False	False	ici
OMIX014731	PRJCA056780	Tescalcin is a phagocytic checkpoint driving immune escape and limiting immunotherapeutic efficacy in hepatocellular carcinoma	Mus musculus	Open	2026-03-23	https://ngdc.cncb.ac.cn/omix/release/OMIX014731	False	True	False	False	False	ici
OMIX014866	PRJCA057133	Transcriptomic Profiling of Hjurp-Induced Molecular Alterations in Lewis Lung Carcinoma Cell Lines	Mus musculus	Open	2026-08-08	https://ngdc.cncb.ac.cn/omix/release/OMIX014866	True	False	False	False	False	lung
OMIX015033	PRJCA058072	Mechanism underlying pulmonary dysfunction in the mouse model of hyperoxia-induced bronchopulmonary dysplasia	Mus musculus	Open	2026-02-11	https://ngdc.cncb.ac.cn/omix/release/OMIX015033	True	False	False	False	False	lung
OMIX015107	PRJCA058226	SLC25A28 ameliorates hyperoxic lung injury by improving mitochondrial oxidative phosphorylation in alveolar epithelial cells	Mus musculus	Open	2026-03-02	https://ngdc.cncb.ac.cn/omix/release/OMIX015107	True	False	False	False	False	lung
OMIX015171	PRJCA058408	Ubiquitin-dependent degradation of MBD3 by TRIM59  promotes lung adenocarcinoma	Homo sapiens	Open	2026-02-14	https://ngdc.cncb.ac.cn/omix/release/OMIX015171	True	False	False	False	False	lung
OMIX015184	PRJCA058449	Salvage resection under extracorporeal membrane oxygenation for lethally deteriorated pulmonary metastatic chondrosarcoma with concurrent aspergillosis	Aspergillus	Open	2026-03-09	https://ngdc.cncb.ac.cn/omix/release/OMIX015184	True	False	False	False	False	lung
OMIX015248	PRJCA058637	Single-cell, spatial and bulk transcriptomes of lung tissues in mice infected with HAdV-55, MPXV clade IIb, hPIV3, and SARS-CoV-2	Mus musculus	Open	2026-06-22	https://ngdc.cncb.ac.cn/omix/release/OMIX015248	True	False	False	False	False	lung
OMIX015270	PRJCA049858	Targeting Hypoxia-Inducible ZHX2 in Primary Tumors Alleviates CD8+ T Cell Exhaustion and Enhances Anti-PD-1 Immunotherapy Efficacy	Homo sapiens	Open	2026-05-28	https://ngdc.cncb.ac.cn/omix/release/OMIX015270	False	True	False	False	False	ici
OMIX015328	PRJCA058866	CuET promotes cuproptosis and ferroptosis of lung cancer cells by interacting directly with polyunsaturated phospholipids	Homo	Open	2026-03-02	https://ngdc.cncb.ac.cn/omix/release/OMIX015328	True	False	False	False	False	lung
OMIX015460	PRJCA059387	A natural derivative from exosome of Inula japonica Thunb.: preventing acute lung injury through the gut microbiota-metabolites axis	Mus musculus	Open	2026-06-30	https://ngdc.cncb.ac.cn/omix/release/OMIX015460	True	False	False	False	False	lung
OMIX015532	PRJCA059387	A natural derivative from exosome of Inula japonica Thunb.: preventing acute lung injury through the gut microbiota-metabolites axis	Mus musculus	Open	2026-06-30	https://ngdc.cncb.ac.cn/omix/release/OMIX015532	True	False	False	False	False	lung
OMIX015793	PRJCA035052	lung adenocarcinoma metabolome	Homo sapiens	Open	2026-03-25	https://ngdc.cncb.ac.cn/omix/release/OMIX015793	True	False	False	False	False	lung
OMIX016076	PRJCA061579	Therapeutic effects of PolyPHb on bleomycin-induced pulmonary fibrosis: implications for improved oxygenation	Mus	Open	2026-04-09	https://ngdc.cncb.ac.cn/omix/release/OMIX016076	True	False	False	False	False	lung
OMIX016097	PRJCA061681	A blood-brain barrier-like vascular gate limits immunotherapy efficacy in neuroendocrine cancers	Mus musculus	Open	2026-04-09	https://ngdc.cncb.ac.cn/omix/release/OMIX016097	False	True	False	False	False	ici
OMIX016104	PRJCA040832	Transcriptomic sequencing of lung tissues from mice exposed to natural high-altitude environment and hypobaric chamber-simulated high-altitude environment	Mus	Open	2026-04-09	https://ngdc.cncb.ac.cn/omix/release/OMIX016104	True	False	False	False	False	lung
OMIX016164	PRJCA061940	Impact of Cyclosporine A-Induced Immunosuppression on Lung Injury and the Lung Microbiota in Mice	Mus	Open	2026-04-11	https://ngdc.cncb.ac.cn/omix/release/OMIX016164	True	False	False	False	False	lung
OMIX016192	PRJCA027809	Fungal Metabolite-Based Immunotherapy Overcomes Tumor-Associated Macrophage Immunosuppression	Musculus	Open	2026-04-13	https://ngdc.cncb.ac.cn/omix/release/OMIX016192	False	True	False	False	False	ici
OMIX016345	PRJCA062482	Bulk RNA-seq of Renca wild-type and anti-PD-1 resistant murine renal cell carcinoma cells	Mus	Open	2026-04-24	https://ngdc.cncb.ac.cn/omix/release/OMIX016345	False	True	False	False	False	ici
OMIX016449	PRJCA062559	Targeting the Microglial Lipid-Lysosome Axis Overcomes Immunotherapy Resistance in Brain Metastases_metabolism	Mus	Open	2026-04-23	https://ngdc.cncb.ac.cn/omix/release/OMIX016449	False	True	False	False	False	ici
OMIX016674	PRJCA035557	Single cell RNA and TCR sequencing of mice with irAEs after PD1 antibody treatment	Mus	Open	2026-05-04	https://ngdc.cncb.ac.cn/omix/release/OMIX016674	False	True	False	False	False	ici
OMIX016691	PRJCA063646	16s and ITS sequencing data for studing the characteristics of pulmonary microbiota in HIV patients with pulmonary infection	Bacteria	Open	2026-05-25	https://ngdc.cncb.ac.cn/omix/release/OMIX016691	True	False	False	False	False	lung
OMIX016869	PRJCA064275	PAMP orchestrates proline metabolic rewiring to suppress LUAD via PYCR1 inhibition	Homo sapiens	Open	2026-05-27	https://ngdc.cncb.ac.cn/omix/release/OMIX016869	True	False	False	False	False	lung
OMIX016876	PRJCA063619	Interferon-elicited lipoprotein metabolism in lung fibroblast facilitates pre-metastatic niche formation4	Mus	Open	2026-05-14	https://ngdc.cncb.ac.cn/omix/release/OMIX016876	True	False	False	False	False	lung
OMIX016902	PRJCA064336	Bacillus Calmette-Guerin immunotherapy response in bladder cancer	Homo sapiens	Open	2026-08-01	https://ngdc.cncb.ac.cn/omix/release/OMIX016902	False	True	False	False	False	ici
OMIX017353	PRJCA061310	Effects of Supplementary Feeding on Lung Protein Expression in Muli Yaks	Bos grunniens	Open	2026-06-02	https://ngdc.cncb.ac.cn/omix/release/OMIX017353	True	False	False	False	False	lung
OMIX017700	PRJCA066638	Metagenomic sequencing analysis of fecal samples collected from hepatocellular carcinoma patients prior to initiation of lenvatinib combined with anti-PD-1 therapy	Homo sapiens environmental sample	Open	2026-06-26	https://ngdc.cncb.ac.cn/omix/release/OMIX017700	False	True	False	False	False	ici
OMIX017769	PRJCA062239	CTSG-expressing mast cells confer resistance to immunotherapy in colorectal cancer	Mus musculus	Open	2026-06-17	https://ngdc.cncb.ac.cn/omix/release/OMIX017769	False	True	False	False	False	ici
OMIX017799	PRJCA066638	Single-cell transcriptomic profiling of IPA-mediated tumor microenvironment remodeling in hepatocellular carcinoma after lenvatinib plus anti-PD-1 therapy	Mus	Open	2026-06-18	https://ngdc.cncb.ac.cn/omix/release/OMIX017799	False	True	False	False	False	ici
OMIX017822	PRJCA066924	The effect and mechanism of total alkaloids of Fritillariae Pallidiflorae Bulbus in alleviating pulmonary fibrosis	Rattus	Open	2026-06-19	https://ngdc.cncb.ac.cn/omix/release/OMIX017822	True	False	False	False	False	lung
OMIX017857	PRJCA066638	Untargeted metabolomic profiling was performed on serum samples from orthotopic hepatocellular carcinoma-bearing mice treated with lenvatinib plus anti-PD-1 therapy, with or without Clostridium butyricum supplementation	Mus	Open	2026-06-22	https://ngdc.cncb.ac.cn/omix/release/OMIX017857	False	True	False	False	False	ici
OMIX018116	PRJCA066638	Processed fecal metagenomic matrix data from orthotopic hepatocellular carcinoma-bearing mice treated with lenvatinib plus anti-PD-1 therapy, with or without Clostridium butyricum supplementation.	Mus	Open	2026-08-13	https://ngdc.cncb.ac.cn/omix/release/OMIX018116	False	True	False	False	False	ici
OMIX018501	PRJCA017273	Single-cell and bulk RNA sequencing of hepatocellular carcinoma tumors from patients treated with drug-eluting bead TACE combined with anti-PD-1	Homo sapiens	Open	2026-07-11	https://ngdc.cncb.ac.cn/omix/release/OMIX018501	False	True	False	False	False	ici
OMIX018535	PRJCA068937	Proteomics of Lactobacillus-derived Extracellular Vesicles	Pediococcus acidilactici	Open	2026-07-13	https://ngdc.cncb.ac.cn/omix/release/OMIX018535	False	True	False	False	False	ici
OMIX018934	PRJCA070097	Untargeted LC-MS/MS metabolomic profiling of mouse lung tissues following Mycoplasma pneumoniae infection	Mus musculus	Open	2026-07-28	https://ngdc.cncb.ac.cn/omix/release/OMIX018934	True	False	False	False	False	lung
OMIX019170	PRJCA070593	Proteomic sequencing of lung in asthma mouse models transduced with empty vector AAV and METTL16-overexpressing AAV respectively	Mus musculus	Open	2026-08-09	https://ngdc.cncb.ac.cn/omix/release/OMIX019170	True	False	False	False	False	lung
OMIX019178	PRJCA070643	Macrophage BMPRIB mediates p38-dependent inflammatory reprogramming and chemotaxis during ventilator-induced lung injury	Mus musculus	Open	2026-07-31	https://ngdc.cncb.ac.cn/omix/release/OMIX019178	True	False	False	False	False	lung
OMIX019287	PRJCA070906	BMP2 accelerates the proliferation and invasion of lung squamous carcinoma cells	Homo sapiens	Open	2026-08-05	https://ngdc.cncb.ac.cn/omix/release/OMIX019287	True	False	False	False	False	lung
OMIX019386	PRJCA071105	Single-cell RNA sequencing of lung tumors from transgenic mice	Mus musculus	Open	2026-08-08	https://ngdc.cncb.ac.cn/omix/release/OMIX019386	True	False	False	False	False	lung
OMIX019389	PRJCA070998	The original data for lung adenocarcinoma	Homo sapiens	Open	2026-08-07	https://ngdc.cncb.ac.cn/omix/release/OMIX019389	True	False	False	False	False	lung
OMIX019394	PRJCA071131	RNA sequencing analysis of KPC-derived syngeneic orthotopic PDAC tissues treated with TROP2-targeting aptamer drug conjugate T17-M	Mus musculus	Open	2026-08-08	https://ngdc.cncb.ac.cn/omix/release/OMIX019394	False	False	False	False	True	gene_keyword
OMIX019453	PRJCA071307	Lung megakaryocytes at different developmental stages	Mus musculus	Open	2026-08-10	https://ngdc.cncb.ac.cn/omix/release/OMIX019453	True	False	False	False	False	lung
