accession	bioproject	title	organization	is_controlled	access	openaccess_data_type	release_time_string	url	lung	ici	neoadjuvant	mpr_keyword	gene_keyword	why
HRA008365	PRJCA029170	Dynamic Changes in Tumor Microenvironment and TP53 Mutation in EGFR-Mutated Lung Cancer Post-TKI Treatment: Implications for Immunotherapy Prediction	Nanfang Hospital, Southern Medical University	1	Controlled	0	2026-08-15	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA008365	True	True	False	False	False	lung+ici
HRA020344	PRJCA017273	Raw Visium spatial transcriptomics data from eight HCC samples after combined TACE and ICB treatment	The First Affiliated Hospital, Zhejiang University School of Medicine	1	Controlled	0	2026-08-15	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA020344	False	True	False	False	False	ici
HRA020329	PRJCA071767	CDKN2A-ISG15 Axis Mediates Immune Escape in Lung Adenocarcinoma Brain Metastasis	Hunan Normal University	1	Controlled	0	2026-08-14	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA020329	True	False	False	False	False	lung
HRA020238	PRJCA070560	Fecal metagenomic profiling of hepatocellular carcinoma patients receiving lenvatinib plus anti-PD-1 therapy	Fujian Provincial Hospital, Fuzhou University Affiliated Provincial Hospital	1	Controlled	0	2026-08-13	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA020238	False	True	False	False	False	ici
HRA020206	PRJCA071143	Biomarker of lung cancer	Longhua Hospital Affiliated to Shanghai University of Traditional Chinese Medicine	1	Controlled	0	2026-08-13	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA020206	True	False	False	False	False	lung
HRA020167	PRJCA065961	Camrelizumab plus Apatinib Combined with Stereotactic Body Radiotherapy for Advanced Non-clear-cell Renal Cell Carcinoma: A Phase II Clinical Study	Sun Yat-sen University Cancer Center	1	Controlled	0	2026-08-06	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA020167	False	True	False	False	False	ici
HRA019659	PRJCA068277	Single-Cell Transcriptomic Profiling Reveals the Immune Landscape of Immune Checkpoint Inhibitor-Associated Myocarditis	Zhongshan Hospital, Fudan University	1	Controlled	0	2026-08-05	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA019659	False	True	False	False	False	ici
HRA008199	PRJCA028438	Single-Cell RNA sequencing of Lung Nodules and Lung Cancer	Clinical Oncology Center	1	Controlled	0	2024-08-10	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA008199	True	False	False	False	False	lung
HRA018929	PRJCA038410	Single-cell RNA sequencing data of lung adenocarcinoma	Institute of Zoology, Chinese Academy of Sciences	1	Controlled	0	2026-08-12	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA018929	True	False	False	False	False	lung
HRA018933	PRJCA038410	Spatial transcriptomic data (Stereo-seq) of lung adenocarcinoma, batch 2	Institute of Zoology, Chinese Academy of Sciences	1	Controlled	0	2026-08-12	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA018933	True	False	False	False	False	lung
HRA018807	PRJCA065536	Bulk RNA-seq of Microenvironmental Prostaglandin F2-alpha Antagonizes Tumoral FSP1 to Unleash Ferroptosis and Immunotherapy vulnerability	Xiangya Hospital, Central South University	0	Open	0	2026-08-04	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA018807	False	True	False	False	False	ici
HRA015862	PRJCA046447	Whole-genome sequencing in 10,934 Chinese individuals identifies novel common and rare variants associated with lung cancer	West China Hospital of Sichuan University	1	Controlled	0	2026-08-14	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA015862	True	False	False	False	False	lung
HRA020046	PRJCA067864	An Integrated MYD88-ECOG-NLR Model Defines Genomic-Inflammatory Risk and Immunosuppressive Microenvironment in PD-1-Treated Primary CNS Lymphoma: A Multicenter Retrospective Study	First Affiliated Hospital of Fujian Medical University	1	Controlled	0	2026-08-02	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA020046	False	True	False	False	False	ici
HRA019228	PRJCA066815	Three-year adjuvant treatment of icotinib in stage II-IIIA EGFR-mutated lung adenocarcinoma (ICWIP): a randomized, double-blind, placebo-controlled phase 3 trial	Cancer Hospital Chinese Academy of Medical Sciences Peking Union Medical College	1	Controlled	0	2026-07-20	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA019228	True	False	False	False	False	lung
HRA008174	PRJCA028766	AGO2 mediate immunotherapy failure via suppressing tumor interferon gamma response-dependent CD8+ T cell immunity.	Sun Yat-sen University Cancer Center	1	Controlled	0	2026-07-08	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA008174	False	True	False	False	False	ici
HRA019979	PRJCA070235	Neoadjuvant Sintilimab and Chemotherapy for Resectable Stage IIIA Non-small-cell Lung Cancer	Shanghai Pulmonary Hospital Tongji University	1	Controlled	0	2026-08-13	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA019979	True	True	True	False	False	lung+ici+neoadjuvant
HRA019983	PRJCA070360	Sequestration of PQBP1 by FIGNL1 Restrain cGAS activation to Drive Immune Evasion in Lung Cancer	Shanghai Pulmonary Hospital Tongji University	1	Controlled	0	2026-08-13	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA019983	True	False	False	False	False	lung
HRA019953	PRJCA069453	Single-cell RNA-seq and spatial transcriptomics profiling of tertiary lymphoid structures (TLS) in gastric cancer patients treated with immunotherapy	School of Life Sciences, Fudan University	1	Controlled	0	2026-08-12	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA019953	False	True	False	False	False	ici
HRA016321	PRJCA043166	Combined therapy with ALK inhibitors and a novel EGFR-targeting antibody-drug conjugate as a strategy for ALK-rearranged non-small cell lung cancer	Institute of Medicinal Biotechnology, Chinese Academy of Medical Sciences and Peking Union Medical College	1	Controlled	0	2026-07-29	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA016321	True	False	False	False	False	lung
HRA005439	PRJCA019446	Neoadjuvant Camrelizumab Plus Chemotherapy or Apatinib for Resectable and Initially Unresectable Stage II-III Non-small-cell Lung Cancer: A Multicentre, Multi-cohort, Non-randomised, Phase 2 Study	Shanghai Pulmonary Hospital Tongji University	1	Controlled	0	2026-08-13	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA005439	True	True	True	False	False	lung+ici+neoadjuvant
HRA002071	PRJCA008393	Safety, effectiveness and RNA-seq analysis of neoadjuvant PD-1 inhibitor plus chemotherapy in NSCLC	Shanghai Pulmonary Hospital Tongji University	1	Controlled	0	2026-08-13	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA002071	True	True	True	False	False	lung+ici+neoadjuvant
HRA008468	PRJCA029824	HBO1 determines epithelial-mesenchymal transition and promotes immunotherapy resistance in ovarian cancer cells	Guangzhou Institutes of Biomedicine and Health, Chinese Academy of Sciences	1	Controlled	0	2024-10-16	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA008468	False	True	False	False	False	ici
HRA019698	PRJCA031563	FURMO-002 sequencing raw data from a study of patients with advanced or metastatic non-small cell lung cancer treated with Furmonertinib	Shanghai Allist Pharmaceuticals Co., Ltd.	1	Controlled	0	2026-08-11	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA019698	True	False	False	False	False	lung
HRA018127	PRJCA060792	Chinese Lung tissue Integrated QTL database	Nanjing Medical University	1	Controlled	0	2026-08-14	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA018127	True	False	False	False	False	lung
HRA008114	PRJCA028520	Identification of stem-like persistent cancer cells in patients with pCR	Institute of Zoology, Chinese Academy of Sciences (CAS)	1	Controlled	0	2026-08-02	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA008114	False	False	False	True	False	mpr_keyword
HRA018751	PRJCA065180	Immunoreactive Draining Lymph Nodes as Predictive Biomarkers for Immunotherapy in HER2-negative Advanced Gastric Cancer	3D Medicines Inc.	1	Controlled	0	2026-07-23	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA018751	False	True	False	False	False	ici
HRA008178	PRJCA028294	Molecular characterization of EBV-associated primary pulmonary lymphoepithelioma-like carcinoma by multi-omics analysis	geneplus	1	Controlled	0	2026-07-14	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA008178	True	False	False	False	False	lung
HRA019681	PRJCA069004	Potential Link Between MUC16 Germline Mutations and Familial Multiple Primary Lung Cancer	Qingdao Central Hospital, University of Health and Rehabilitation Sciences	1	Controlled	0	2026-07-17	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA019681	True	False	False	False	False	lung
HRA019558	PRJCA068573	Anlotinib plus sintilimab as first-line treatment for patients with advanced non-clear cell renal cell carcinoma: a single-arm, multicentre phase II trial	SYSUCC	1	Controlled	0	2026-07-15	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA019558	False	True	False	False	False	ici
HRA007997	PRJCA027979	Outcomes in non-small cell lung cancer with uncommon epidermal growth factor receptor L858 substitutions under first-line epidermal growth factor receptor tyrosine kinase inhibitors	The Second Affiliated Hospital, Zhejiang University School of Medicine	1	Controlled	0	2024-08-01	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA007997	True	False	False	False	False	lung
HRA007910	PRJCA025825	Genomic characteristics and clonal evolution of EGFR-mutated lung adenocarcinoma-transformed squamous carcinoma after TKI treatment failure	Guangdong Lung Cancer Institute, Guangdong Provincial People's Hospital, Guangdong Academy of Medical Sciences, Guangzhou, 510080, China	1	Controlled	0	2026-08-10	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA007910	True	False	False	False	False	lung
HRA011368	PRJCA038849	Single nucleus RNA sequencing data from human fetal lung tissue of twin-twin transfusion syndrome	Institute of Pediatrics	0	Open	0	2026-07-06	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA011368	True	False	False	False	False	lung
HRA007900	PRJCA027792	Osimertinib resistance in LUAD	Nanjing Medical University	1	Controlled	0	2025-11-16	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA007900	True	False	False	False	False	lung
HRA008390	PRJCA027790	Exome Data of Colorectal Cancer Patients Undergoing Immunotherapy	Harbin Medical University Cancer Hospital	1	Controlled	0	2026-08-02	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA008390	False	True	False	False	False	ici
HRA007812	PRJCA027490	Circulating tumor DNA has strong prognostic value in extensive-stage small cell lung cancer receiving Toripalimab and Anlotinib maintenance therapy	Taizhou Enze MedicaCenter Group	1	Controlled	0	2024-07-05	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA007812	True	True	False	False	False	lung+ici
HRA019352	PRJCA067772	Longitudinal multi-omic profiling of a pig-to-human lung xenograft reveals phased immune and tissue-remodeling responses	Guangzhou National Laboratory	1	Controlled	0	2026-07-06	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA019352	True	False	False	False	False	lung
