sample,StromalScore,ImmuneScore,ESTIMATEScore,TumorPurity_ESTIMATE_affyproxy,TACSTD2_FPKM
pod04,-163.63678876299088,1768.8275845156847,1605.190795752694,0.6670080295046934,30.77
pod15,31.176036511214335,1870.9762235452602,1902.1522600564745,0.6339075888192159,72.91
POD23R,324.01476804569927,1550.3330933996876,1874.347861445387,0.6370588625924495,28.65
47-M-PO,-369.8551718430176,1411.1785577903445,1041.3233859473269,0.726321429800968,68.27
53-M-PO,585.7745873689724,2574.1504732981,3159.9250606670726,0.4811523764043567,12.85
61-M-PO,1057.9108321458662,2630.1757121619216,3688.086544307788,0.41181126635178633,28.55
57-M-PO,-702.8871674074675,1327.505741657634,624.6185742501665,0.7669806447082618,99.22
POD26R,844.0506793976251,2701.930485671566,3545.9811650691913,0.43072884568990555,7.1
POD27R,33.21248120603247,2037.4889138260978,2070.70139503213,0.6145805852559086,84.3
38-M-PO,1008.5840030252668,2434.9982435350366,3443.5822465603032,0.4442448522899826,18.66
40-M-PO,-1121.0844175309755,811.8660318899686,-309.218385641007,0.8474688290446549,43.78
45-M-PO,-1090.5410898446987,1408.1340661137485,317.5929762690498,0.7951107418956309,24.14
pod01,566.3485180956807,2321.367006360082,2887.7155244557625,0.515786969833192,32.36
pod07,411.66617204995,1192.0595280925936,1603.7257001425437,0.6671682439303134,122.63
POD32R,910.3927234644037,712.899958969328,1623.292682433732,0.6650259683925629,135.35
44-RT-PO,-42.34215580386618,1766.6447928576308,1724.3026370537646,0.6538801044023456,131.14
52-RT-PO,752.0286601017758,2520.493799922225,3272.522460024001,0.4665982692408195,40.18
pod09,687.3198038207519,2129.023351477339,2816.343155298091,0.5247340102705388,30.87
pod13,-128.53012810856606,1024.5389434125882,896.0088153040222,0.7408167154546663,144.76
46-RT-PO,507.2104324236093,856.0351087972646,1363.2455412208737,0.6930421520415231,137.3
POD20R,639.743148467689,2391.2673349710126,3031.0104834387016,0.4976539877174298,33.84
41-M-PO,-1443.9562737747747,-233.92151451829977,-1677.8777882930744,0.9363560232784267,44.94
pod08,307.6524284173474,1935.3257259066058,2242.9781543239533,0.5944374889604327,45.92
pod12,-286.1977456422927,1426.6265688881556,1140.428823245863,0.7162456084173988,44.91
POD30R,-445.6890545627666,1598.4793116140017,1152.7902570512351,0.7149781737627006,145.1
55-M-PO,-121.3669714148867,1363.9351990121181,1242.5682275972315,0.7057027453405117,257.52
36-M-PO,-1800.0631962859297,-1204.0571120575623,-3004.120308343492,0.986579308027991,382.01
pod18,-532.2716216606432,839.323406808275,307.0517851476318,0.7960481867567301,80.01
59-RT-PO,627.9707266227432,1501.8899388220311,2129.8606654447744,0.6077071733095939,129.69
