series	cohort	histology	gene	compartment	n	rho	p	ci_low	ci_high	min_epi_or_mal	min_tnk	primary_meta	note
GSE207422	GSE207422_post_nmal10	LUAD	TACSTD2	malignant_like	4	0.39999999999999997	0.6	-0.9114990786715159	0.9831355366777352	10	0	0	Hu 2023 neoadjuvant PD-1+chemo; post-surgery; marker malignant-like; author Pathology
GSE207422	GSE207422_post_nmal10	LUAD	CLDN4	malignant_like	4	0.39999999999999997	0.6	-0.9114990786715159	0.9831355366777352	10	0	0	Hu 2023 neoadjuvant PD-1+chemo; post-surgery; marker malignant-like; author Pathology
GSE207422	GSE207422_post_nmal10	LUSC	TACSTD2	malignant_like	5	0.0	1.0	-0.8822664257168621	0.8822664257168621	10	0	0	Hu 2023 neoadjuvant PD-1+chemo; post-surgery; marker malignant-like; author Pathology
GSE207422	GSE207422_post_nmal10	LUSC	CLDN4	malignant_like	5	-0.09999999999999999	0.8728885715695384	-0.9026303779841118	0.8579614871871994	10	0	0	Hu 2023 neoadjuvant PD-1+chemo; post-surgery; marker malignant-like; author Pathology
GSE205335	GSE205335_nmal20	LUAD	TACSTD2	malignant	14	-0.22637362637362637	0.4364347945560527	-0.6757851152276279	0.34573140011946896	20	0	1	Park/Ahn lung ICI atlas; author lineage.sub Malignant cells; patient unit; includes NE
GSE205335	GSE205335_nmal20	LUAD	CLDN4	malignant	14	-0.15164835164835166	0.6047905984521367	-0.6314226372323015	0.4120884049328163	20	0	1	Park/Ahn lung ICI atlas; author lineage.sub Malignant cells; patient unit; includes NE
GSE205335	GSE205335_nmal20	LUSC	TACSTD2	malignant	3					20	0	0	Park/Ahn lung ICI atlas; author lineage.sub Malignant cells; patient unit; includes NE
GSE205335	GSE205335_nmal20	LUSC	CLDN4	malignant	3					20	0	0	Park/Ahn lung ICI atlas; author lineage.sub Malignant cells; patient unit; includes NE
GSE205335	GSE205335_nmal20	OTHER	TACSTD2	malignant	5	0.7999999999999999	0.10408803866182788	-0.279640041969355	0.9861961933012714	20	0	0	Park/Ahn lung ICI atlas; author lineage.sub Malignant cells; patient unit; includes NE
GSE205335	GSE205335_nmal20	OTHER	CLDN4	malignant	5	-0.7999999999999999	0.10408803866182788	-0.9861961933012714	0.279640041969355	20	0	0	Park/Ahn lung ICI atlas; author lineage.sub Malignant cells; patient unit; includes NE
GSE131907	GSE131907_tLung	LUAD	TACSTD2	epithelial	11	0.09090909090909091	0.7903727377532903	-0.5383228717754915	0.6550609502778355	20	0	1	Kim 2020 LUAD atlas; no ICI labels; primary tumor tLung; author Epithelial cells
GSE131907	GSE131907_tLung	LUAD	CLDN4	epithelial	11	-0.045454545454545456	0.8944269969053026	-0.6282003900674941	0.5699616383905014	20	0	1	Kim 2020 LUAD atlas; no ICI labels; primary tumor tLung; author Epithelial cells
GSE131907	GSE131907_tumor_sites	LUAD	TACSTD2	epithelial	36	0.16847931047179202	0.325979079499522	-0.16943489899987557	0.47094741458063627	20	0	0	Kim 2020 LUAD atlas; no ICI labels; all tumor-bearing sites; author Epithelial cells
GSE131907	GSE131907_tumor_sites	LUAD	CLDN4	epithelial	36	-0.2102960102960103	0.21829713378991505	-0.5040098324516369	0.12701517497993053	20	0	0	Kim 2020 LUAD atlas; no ICI labels; all tumor-bearing sites; author Epithelial cells
GSE131907	GSE131907_tumor_sites_mal	LUAD	TACSTD2	malignant	21	0.08181818181818182	0.7244098408074375	-0.36267833382977344	0.4959867933680552	20	0	0	Kim 2020 LUAD atlas; no ICI labels; author Malignant cells subtype; mostly mets/PE
GSE131907	GSE131907_tumor_sites_mal	LUAD	CLDN4	malignant	21	-0.39610389610389607	0.07547637795047248	-0.706913539359232	0.04292228588785221	20	0	0	Kim 2020 LUAD atlas; no ICI labels; author Malignant cells subtype; mostly mets/PE
GSE253013	GSE253013_tumor_malig	LUAD	TACSTD2	malignant_like	9	-0.7166666666666667	0.02981803569584528	-0.9355227038674585	-0.10026781576174405	10	20	1	Sze/Xiang 2024 treatment-naive LUAD; patient unit; no ICI labels
GSE253013	GSE253013_tumor_malig	LUAD	CLDN4	malignant_like	9	-0.33333333333333337	0.38071318167686347	-0.8166664107545455	0.4248359716120404	10	20	1	Sze/Xiang 2024 treatment-naive LUAD; patient unit; no ICI labels
