loo	dropped	set	n	median_effect	n_up	n_down	sign_positive
none		C4_panel	4	0.40964987118773144	3	1	True
none		APM	18	0.39702320001067815	14	4	True
none		APM_noHLA	17	0.3971370090505557	14	3	True
none		IFN_custom	37	0.5042510701769221	30	7	True
none		H_IFNA	79	0.40557741760207344	60	19	True
none		H_IFNG	134	0.18842308103467764	80	54	True
drop_shNCDDP1	shNCDDP1	C4_panel	4	0.43291502792378334	3	1	True
drop_shNCDDP1	shNCDDP1	APM	18	0.43010396544698537	14	4	True
drop_shNCDDP1	shNCDDP1	APM_noHLA	17	0.43789227014957	14	3	True
drop_shNCDDP1	shNCDDP1	IFN_custom	37	0.535398765291585	30	7	True
drop_shNCDDP1	shNCDDP1	H_IFNA	79	0.44549344191711543	60	19	True
drop_shNCDDP1	shNCDDP1	H_IFNG	134	0.2057661341226633	82	52	True
drop_shNCDDP2	shNCDDP2	C4_panel	4	0.37478815048828457	3	1	True
drop_shNCDDP2	shNCDDP2	APM	18	0.3489903248914472	14	4	True
drop_shNCDDP2	shNCDDP2	APM_noHLA	17	0.36939905779461846	14	3	True
drop_shNCDDP2	shNCDDP2	IFN_custom	37	0.43208499396987105	30	7	True
drop_shNCDDP2	shNCDDP2	H_IFNA	79	0.3884556051639074	60	19	True
drop_shNCDDP2	shNCDDP2	H_IFNG	134	0.1627850290110504	81	53	True
drop_shNCDDP3	shNCDDP3	C4_panel	4	0.4212464351511256	3	1	True
drop_shNCDDP3	shNCDDP3	APM	18	0.41197530969360274	14	4	True
drop_shNCDDP3	shNCDDP3	APM_noHLA	17	0.42425431077455666	14	3	True
drop_shNCDDP3	shNCDDP3	IFN_custom	37	0.5097704985729816	30	7	True
drop_shNCDDP3	shNCDDP3	H_IFNA	79	0.3606468760044099	61	18	True
drop_shNCDDP3	shNCDDP3	H_IFNG	134	0.20850363938480454	80	54	True
drop_shDDP1	shDDP1	C4_panel	4	0.41590676514743424	3	1	True
drop_shDDP1	shDDP1	APM	18	0.4226388397948502	14	4	True
drop_shDDP1	shDDP1	APM_noHLA	17	0.4252773450111702	14	3	True
drop_shDDP1	shDDP1	IFN_custom	37	0.4721102719619328	30	7	True
drop_shDDP1	shDDP1	H_IFNA	79	0.38171979359149755	60	19	True
drop_shDDP1	shDDP1	H_IFNG	134	0.20922207905080348	80	54	True
drop_shDDP2	shDDP2	C4_panel	4	0.4018443921596375	3	1	True
drop_shDDP2	shDDP2	APM	18	0.37165605713524563	14	4	True
drop_shDDP2	shDDP2	APM_noHLA	17	0.3722220554121831	14	3	True
drop_shDDP2	shDDP2	IFN_custom	37	0.5025162065141293	30	7	True
drop_shDDP2	shDDP2	H_IFNA	79	0.39876448776705464	61	18	True
drop_shDDP2	shDDP2	H_IFNG	134	0.17596123293106536	82	52	True
drop_shDDP3	shDDP3	C4_panel	4	0.41119845625612317	3	1	True
drop_shDDP3	shDDP3	APM	18	0.39677470310193597	14	4	True
drop_shDDP3	shDDP3	APM_noHLA	17	0.3985057829216849	14	3	True
drop_shDDP3	shDDP3	IFN_custom	37	0.5257804876143122	30	7	True
drop_shDDP3	shDDP3	H_IFNA	79	0.42390222785393616	60	19	True
drop_shDDP3	shDDP3	H_IFNG	134	0.18492701075883344	82	52	True
