set	prior_median	this_median	abs_diff
C4_IFN_MHCI	-0.5714133202056344	-0.5714133202056344	0.0
APM	-0.4016755331913764	-0.4016755331913764	0.0
IFN	-0.4445895968539956	-0.4445895968539956	0.0
JUNCTION	-0.22897141224898787	-0.22897141224898787	0.0
