perturbation	cell_line	normalization	estimand	thesis_estimand	family	set	n	median_effect	mean_effect	n_up	n_down	sign_p_up	wilcoxon_stat	wilcoxon_p_up	sample_delta	sample_p_up	mw_p_gt_background	bg_median	thesis_aligned_median	q_wilcoxon_thesis_IFN_APM	q_wilcoxon_untreated_IFN_APM
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_p1_minus_HK	interaction	True	IFN_APM	H_IFNG	146	0.9317056803918737	1.0707994682472768	121	25	1.3154945003096152e-16	9886.0	5.174666676628591e-19	1.070799468247277	3.403873708146556e-08	3.883958097525748e-09	0.5635543792385782	True	1.366112002629948e-16	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_p1_minus_HK	interaction	True	IFN_APM	H_IFNA	84	1.2671249401948619	1.3206513930361754	76	8	2.5106944372670843e-15	3435.0	9.290197308321942e-14	1.3206513930361758	2.7351406387773792e-08	2.881068889033024e-12	0.5641348374495481	True	1.0662496026567888e-11	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_fpkm_p0.01	interaction	True	IFN_APM	H_IFNG	146	1.0154561796919073	1.3088754075504891	113	33	9.510454488183423e-12	9114.0	1.2116472757463509e-13	1.3088754075504903	4.554401053157312e-08	4.06983154744448e-06	0.363294120319801	True	1.0662496026567888e-11	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_fpkm_p0.1	interaction	True	IFN_APM	H_IFNG	146	1.006067215111683	1.1025445016835367	113	33	9.510454488183423e-12	9081.0	1.955316177130848e-13	1.102544501683537	1.719999432135224e-08	2.1951390334147044e-07	0.3341096004182398	True	1.2905086769063597e-11	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_p1_minus_HK	interaction	True	IFN_APM	IFN_custom	44	1.2487928795300323	1.5921721777284554	43	1	2.5579538487363607e-12	986.0	3.979039320256561e-13	1.5921721777284574	4.641119893101149e-08	4.0029450560389554e-10	0.5644480734586041	True	2.100932761095464e-11	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_p1_minus_HK	interaction	True	IFN_APM	H_IFNA_minus_APM	77	1.2400263246797376	1.3141014866681722	69	8	1.5686760563394386e-13	2874.0	1.598012561644293e-12	1.3141014866681724	3.299196712499994e-08	9.004242961817896e-11	0.5642643016893689	True	7.031255271234889e-11	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_fpkm_positive	interaction	True	IFN_APM	H_IFNG	138	0.9583196063223638	1.2023268589976264	105	33	3.046822742568374e-10	7984.0	6.156254812297718e-12	1.2023268589976266	3.880600126046212e-08	5.534945720032627e-07	0.2815591223155862	True	2.321787529209425e-10	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_fpkm_p0.01	interaction	True	IFN_APM	IFN_custom	44	2.107983155166367	2.3599475981164626	41	3	8.091660674836021e-10	975.0	7.787548383930698e-12	2.359947598116464	9.365391900776534e-08	1.1414923205434526e-08	0.3651792390303541	True	2.5698909666971304e-10	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_fpkm_p0.1	interaction	True	IFN_APM	IFN_custom	44	1.9249760042101192	1.9169351709836697	41	3	8.091660674836021e-10	974.0	9.606537787476555e-12	1.9169351709836708	4.332992709626877e-08	1.4119719890922444e-09	0.3350047707477881	True	2.817917750993123e-10	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_fpkm_p0.01	interaction	True	IFN_APM	H_IFNA	84	1.2802559893419112	1.6075707209071235	74	10	1.6428461295783681e-13	3279.0	1.3423165737270809e-11	1.607570720907124	4.0772063631591804e-08	3.5400105104162994e-07	0.36393102435179525	True	3.5437157546394934e-10	
