sample	fpkm_sum	n_fpkm_ge_1	n_fpkm_gt_0	median_fpkm_detected
shNC1	296396.15401160106	12871	25136	1.1145465455
shNC2	297141.732695167	12821	25054	1.0990432035
shNC3	297283.92150054104	12569	24748	1.0752217185
shNCDDP1	290301.57774640806	12392	24437	1.056411214
shNCDDP2	293443.654622268	12101	23693	1.088516108
shNCDDP3	286867.308906711	12343	24285	1.068437547
sh1	299615.53231299703	11326	21459	1.262825494
sh2	292453.486641725	11619	22205	1.223022224
sh3	290821.437167586	11639	22285	1.208594806
shDDP1	287149.52082936704	12905	24275	1.306345113
shDDP2	287313.37089792703	12787	24018	1.29741084
shDDP3	290160.566072081	12859	24191	1.30109589
