n	rho	p	protein	panel	q
65	-0.003409202663632271	0.9784975215426642	ADAR	ISG	0.9914532928725227
65	-0.002862856082921971	0.9819428025277399	B2M	MHC1	0.9914532928725227
65	0.202257504178953	0.10614625124127244	BST2	ISG	0.4378529296999539
37	0.5915125651967756	0.00011546857017587712	CLDN4	self	
65	0.18999748690781387	0.12953647677027025	EIF2AK2	ISG	0.4378529296999539
65	0.03592775114750932	0.7763106026410964	HLA-A	MHC1	0.9914532928725227
65	0.027557721531027524	0.8275009193919715	HLA-B	MHC1	0.9914532928725227
65	0.11921282391098742	0.34422291396856136	HLA-C	MHC1	0.6884458279371227
65	0.035228427524200134	0.780554719433392	IFI35	ISG	0.9914532928725227
65	0.13857534673136043	0.2709515523023842	IFIT1	ISG	0.5870616966551657
65	0.19010675622395592	0.12931204287899822	IFIT3	ISG	0.4378529296999539
22	0.003953685557264183	0.9860680985464392	IRF1	ISG	0.9914532928725227
65	0.08553602067600455	0.4981040438391792	IRF9	ISG	0.8633803426545774
65	-0.03737010612058451	0.7675777961308715	ISG15	ISG	0.9914532928725227
65	0.30872952582777624	0.012341946335662829	MX1	ISG	0.3208906047272335
56	0.18664342606341652	0.16840497296152074	OAS1	ISG	0.4378529296999539
65	0.15282406555628505	0.2242309796520421	OAS2	ISG	0.5300004973593723
65	0.17830567008061346	0.15529659491801204	OAS3	ISG	0.4378529296999539
65	0.2058852454748694	0.09989307188566648	PSMB10	ISG	0.4378529296999539
65	0.20415879027982484	0.10283224598968795	PSMB8	ISG	0.4378529296999539
65	-0.11280964198506271	0.3709401134186867	PSMB9	ISG	0.6888887820632753
65	0.05926767707545332	0.6390893422345192	SAMHD1	ISG	0.9914532928725227
65	0.008501152795852266	0.9464146794850101	STAT1	ISG	0.9914532928725227
65	0.24972409511106386	0.04483678669612551	STAT2	ISG	0.4378529296999539
65	0.835604314401561	4.844978920690645e-18	TACSTD2	self	
65	-0.029830523306782368	0.8135201026840005	TAP1	ISG	0.9914532928725227
65	0.0013549395201615435	0.9914532928725227	TAP2	ISG	0.9914532928725227
65	0.17937650937880564	0.15279032382259342	TRIM25	ISG	0.4378529296999539
