n	rho	p	gene	panel	present	q_primary
97	-0.01078287626859247	0.916514417488533	ADAR	IFN_negative_reg	True	0.973672424165586
97	0.03965336998529341	0.6997712274399494	B2M	APM_MHC	True	0.9248522610743207
97	-0.0036030586556028503	0.9720589350694645	CD274	other	True	
97	0.018403213826701417	0.8580035801461859	CLDN4	other	True	
97	0.008862998298818689	0.9313388405062127	HLA-A	APM_MHC	True	0.973672424165586
97	-0.12474604356341765	0.22343653850516262	HLA-B	APM_MHC	True	0.6259287026877585
97	0.0893663745382371	0.3840326045109559	HLA-C	APM_MHC	True	0.6794423002886143
97	0.13099222188973647	0.20092605926577983	IFNAR1	IFN_type1	True	0.6259287026877585
97	0.12309573750035868	0.22966961014140055	IFNAR2	IFN_type1	True	0.6259287026877585
97	0.09844634534733845	0.3373836454382977	IFNGR1	IFN_type2	True	0.6543246535612781
97	-0.09763762962719402	0.3413867757711016	IFNGR2	IFN_type2	True	0.6543246535612781
97	-0.010309481700703045	0.9201672998385192	IRF1	IFN_type2	True	0.973672424165586
97	0.16067800625113585	0.11590097767310042	IRF9	IFN_type1	True	0.533144497296262
97	-0.2118111945077478	0.037274132953811136	JAK1	IFN_type1	True	0.3818242000906226
97	0.060765452728250985	0.5543470870457904	JAK2	IFN_type2	True	0.8499988668035452
97	-0.11087295275443587	0.27962889937938995	NLRC5	APM_MHC	True	0.6431464685725969
97	0.18553779598988468	0.06883841238546165	PTPN2	IFN_negative_reg	True	0.3958208712164045
97	-0.1191836573907169	0.244928622790862	SOCS1	IFN_negative_reg	True	0.6259287026877585
97	-0.045603676706681334	0.6573661796409783	STAT1	IFN_type1	True	0.9248522610743207
97	0.030875845705676978	0.7640083895831346	STAT2	IFN_type1	True	0.9248522610743207
97	-0.10690827324836194	0.2972887406152962	TACSTD2	other	True	
97	0.19975278287567552	0.04980315653355947	TAP1	APM_MHC	True	0.3818242000906226
97	0.03570184032832751	0.7284600382558665	TAP2	APM_MHC	True	0.9248522610743207
97	0.0020513764608541775	0.9840897850867857	TAPBP	APM_MHC	True	0.9840897850867857
97	0.22330416262817446	0.02790478979985724	TYK2	IFN_type1	True	0.3818242000906226
97	-0.07388242721352048	0.472012642029435	USP18	IFN_negative_reg	True	0.7754493404769288
