	value
n_lung_annot	260
n_NSCLC_annot	169
n_NSCLC_expr	148
n_NSCLC_by_group	{'LUAD': 80, 'other_NSCLC': 41, 'LUSC': 27}
n_SCLC_expr	59
n_NSCLC_PRISM	99
n_NSCLC_CRISPR	97
n_NSCLC_protein	65
