n_rows	n	rho	p	class	name	q_all	q_focus
1	91	-0.13696557545883736	0.1954523293982242	JAK_inhibitor_core	WHI-P154	0.926224080809305	0.9875269166597906
1	90	-0.13614138487834057	0.20073405087289348	JAK_inhibitor_core	NVP-BSK805	0.9280799126366769	0.9875269166597906
1	86	-0.07680623431856817	0.4821253557132699	JAK_inhibitor_core	NS-018	0.9685279909474034	0.9875269166597906
1	90	-0.07568074808461596	0.4783541604388319	JAK_inhibitor_core	TOFACITINIB	0.9679483628664431	0.9875269166597906
1	90	-0.06068288828364028	0.5699228039886669	IFN_inducer_or_IFNR_agonist	BROPIRIMINE	0.9731018416736845	0.9875269166597906
1	86	-0.0587203049255335	0.5912364980596203	JAK_inhibitor_core	DECERNOTINIB	0.9731018416736845	0.9875269166597906
1	86	-0.05602203898583193	0.6084218914231787	JAK_inhibitor_core	TG-101348	0.9731018416736845	0.9875269166597906
1	96	-0.05499260706701106	0.5946151452380477	JAK_inhibitor_core	BMS-911543	0.9731018416736845	0.9875269166597906
1	91	-0.04969779979294209	0.6399116449422251	JAK_inhibitor_core	BARICITINIB	0.9748796190609336	0.9875269166597906
1	90	-0.045742649239309416	0.6685702428915041	IFN_inducer_or_IFNR_agonist	TILORONE	0.9748796190609336	0.9875269166597906
1	91	-0.029415746264240997	0.7819420231204763	IFN_inducer_or_IFNR_agonist	PIDOTIMOD	0.9799671782537764	0.9875269166597906
1	91	-0.01881684039588562	0.8594805290355896	JAK_inhibitor_core	AZD1480	0.9869193034009525	0.9875269166597906
1	91	-0.013887672302337927	0.896048353668415	JAK_inhibitor_core	CEP-33779	0.994811870424475	0.9875269166597906
1	91	-0.010280381274265058	0.9229523785602137	JAK_inhibitor_core	AZ960	0.9970129443038273	0.9875269166597906
1	88	-0.0016906915105046876	0.9875269166597906	JAK_inhibitor_core	PEFICITINIB	0.9991737482125831	0.9875269166597906
1	88	0.0023687292516966717	0.982525363881851	JAK_inhibitor_core	ITACITINIB	0.9990772785268296	0.9875269166597906
1	91	0.018299237930488852	0.8633079269280336	IFN_inducer_or_IFNR_agonist	IMIQUIMOD	0.9877271611198771	0.9875269166597906
1	96	0.019472591870916222	0.8506334765954057	IFN_inducer_or_IFNR_agonist	PROPAGERMANIUM	0.9858479223785155	0.9875269166597906
1	96	0.026248321330702117	0.799607754853741	JAK_inhibitor_core	DELGOCITINIB	0.9799671782537764	0.9875269166597906
1	96	0.049057909091723105	0.6350315871965729	JAK_inhibitor_core	UPADACITINIB	0.9738374732644365	0.9875269166597906
1	90	0.05401534358617032	0.6131087743249563	JAK_inhibitor_core	RUXOLITINIB	0.9731018416736845	0.9875269166597906
1	91	0.06708924263027354	0.5274810317981243	JAK_inhibitor_core	CYT387	0.9731018416736845	0.9875269166597906
1	96	0.07004300113234128	0.49769428891808953	IFN_inducer_or_IFNR_agonist	MIW-815	0.9710873257840971	0.9875269166597906
1	84	0.10261316810456175	0.3529780845686177	JAK_inhibitor_core	SOLCITINIB	0.9306744292541521	0.9875269166597906
1	91	0.10724723083021055	0.31160858520192053	JAK_inhibitor_core	LY2784544	0.9302655791340481	0.9875269166597906
1	86	0.18697284752799212	0.08474772760831595	JAK_inhibitor_core	XL019	0.8614308074253545	0.9875269166597906
