layer	item	present
RNA	TACSTD2	True
RNA	CLDN4	True
CRISPR	ADAR	True
CRISPR	B2M	True
CRISPR	CD274	True
CRISPR	CLDN4	True
CRISPR	HLA-A	True
CRISPR	HLA-B	True
CRISPR	HLA-C	True
CRISPR	IFNAR1	True
CRISPR	IFNAR2	True
CRISPR	IFNGR1	True
CRISPR	IFNGR2	True
CRISPR	IRF1	True
CRISPR	IRF9	True
CRISPR	JAK1	True
CRISPR	JAK2	True
CRISPR	NLRC5	True
CRISPR	PTPN2	True
CRISPR	SOCS1	True
CRISPR	STAT1	True
CRISPR	STAT2	True
CRISPR	TACSTD2	True
CRISPR	TAP1	True
CRISPR	TAP2	True
CRISPR	TAPBP	True
CRISPR	TYK2	True
CRISPR	USP18	True
protein	ADAR	True
protein	B2M	True
protein	BST2	True
protein	CLDN4	True
protein	EIF2AK2	True
protein	HLA-A	True
protein	HLA-B	True
protein	HLA-C	True
protein	IFI35	True
protein	IFIT1	True
protein	IFIT3	True
protein	IRF1	True
protein	IRF9	True
protein	ISG15	True
protein	MX1	True
protein	OAS1	True
protein	OAS2	True
protein	OAS3	True
protein	PSMB10	True
protein	PSMB8	True
protein	PSMB9	True
protein	SAMHD1	True
protein	STAT1	True
protein	STAT2	True
protein	TACSTD2	True
protein	TAP1	True
protein	TAP2	True
protein	TRIM25	True
