ModelID	TACSTD2	CLDN4	group	DepmapModelType	CellLineName	sig_IFN_type1_Chronos	sig_MHC1_protein	sig_ISG_protein	TACSTD2_protein	PRISM_JAK_core_medianLFC	PRISM_IFNinducer_medianLFC
ACH-000012	8.326968711587892	8.083532513265412	LUAD	LUAD	HCC-827	-0.3757788823388734	1.1896031705917476	1.3241029757413134	2.5252116126129	-0.208948600483	-0.1157425443726
ACH-000015	0.1505596765753814	1.15704371014558	other_NSCLC	LCLC	NCI-H1581	0.19128588210013195	-1.4852521998557913	-0.17300316606784677	-0.918585538075442	-0.2729544361524705	-0.478315768001
ACH-000021	5.864681405572597	6.397118409042582	LUAD	LUAD	NCI-H1693	0.09818075966944173	0.47318438827285514	0.14398458858632313	0.832171497546333	-0.0534210136108	0.27797617343380454
ACH-000029	8.195347598322218	8.249540152313218	LUAD	LUAD	HCC-827-GR5	-0.09730490463103024					
ACH-000030	8.783784026219614	9.117279460053922	LUAD	LUAD	PC-14	-0.18785232212182232	0.4193419855310032	-0.05064185036509555	3.32487029580832	-0.3074988542886935	-0.0657075246053
ACH-000033	7.580899204225743	8.275239901744591	LUAD	LUAD	NCI-H1819						
ACH-000035	9.811824211241978	7.974471952285043	other_NSCLC	NSCLC	NCI-H1650	1.3212936625084342	1.004730699925422	1.7834006335377202	2.28243773514674	-0.15050379216749998	-0.1267436833679475
ACH-000062	3.534808661231747	5.811471030529836	LUAD	LUAD	RERF-LC-MS		-0.4507107031086377	-0.03807175576823949	-0.745382022943137	-0.445581409154491	0.17275462339939301
ACH-000066	7.941282410432874	7.705701496845794	LUAD	LUAD	HCC4006					-0.0496106195157169	-0.074611586215
ACH-000109	9.574479999326677	10.91513244895065	LUAD	LUAD	NCI-H3255		-0.1882570512157648	-0.022752336884640297	0.0984662090825736		
ACH-000121	1.3448284969974411	7.188737187185129	LUAD	LUAD	NCI-H2405						
ACH-000129	0.2986583155645151	4.563768278452033	other_NSCLC	SMARCA4-UT	NCI-H1341					-0.455992705436193	0.218665438896482
ACH-000143	4.371558862611963	0.4750848829487829	other_NSCLC	NUTCL	HCC2429	0.1558868714799322					
ACH-000150	8.589388984726849	9.901002620158811	LUAD	LUAD	HCC2935						
ACH-000161	0.7484612330040357	4.739848102699328	LUAD	LUAD	COR-L105	-0.42446535010145936	0.9865254903186332	-0.11857636290635498	-2.92509722976601	-0.1684557892571995	0.047871765045
ACH-000176	0.4114262457264649	7.581953750848818	LUSC	LUSC	LOU-NH91	2.56491974219745				-0.02932503079334855	0.177940988563
ACH-000186	7.261154672615572	9.399705168175638	other_NSCLC	NSCLC	NCI-H2444					-0.16311543295299302	0.22398537719194
ACH-000251	0.3673710656485294	9.220378327695228	other_NSCLC	NSCLC	NCI-H2887	0.767854935697361					
ACH-000261	4.621172752683435	3.125981653854716	LUSC	LUSC	RERF-LC-AI	-0.05638713335093174				-0.2294664907635	-0.1444818180205
ACH-000264	0.5260688116675876	3.5360529002402097	LUAD	LUAD	Calu-6	-0.5465491596769801	-0.49583482988474914	-0.7394588677387033	-1.58088192975724	0.009241213927844251	0.24259677427595802
ACH-000282	4.305970520984387	7.779325391448742	LUAD	LUAD	NCI-H1755						
ACH-000292	0.2141248053528473	1.1890338243900171	other_NSCLC	SMARCA4-UT	NCI-H841	-0.3491971511427236				-0.5303701601798005	-0.00261669196481675
ACH-000311	7.302227645681221	8.631649992945023	LUAD	LUAD	NCI-H2122	-0.06962386941799828	-0.12135902189254352	-0.1427190010379167	1.61566830229099	-0.276288445691	0.11874754644467084
ACH-000314	0.6780719051126377	4.928844036712568	LUAD	LUAD	HCC-2108					-0.254629955654888	0.5052240383554845
ACH-000327	0.3561438102252753	3.016139702655253	LUAD	LUAD	NCI-H1395						
ACH-000337	7.42097076340615	7.350497247084133	LUAD	LUAD	NCI-H3122	0.17878922805921965					
