hugo	population	entrez	ensembl	note
CD28	T cells	940	ENSG00000178562	Becht 2016 MCPcounter
CD3D	T cells	915	ENSG00000167286	Becht 2016 MCPcounter
CD3G	T cells	917	ENSG00000160654	Becht 2016 MCPcounter
CD5	T cells	921	ENSG00000110448	Becht 2016 MCPcounter
CD6	T cells	923	ENSG00000013725	Becht 2016 MCPcounter
CHRM3-AS2	T cells	100506915	ENSG00000233355	Becht 2016 MCPcounter
CTLA4	T cells	1493	ENSG00000163599	Becht 2016 MCPcounter
FLT3LG	T cells	2323	ENSG00000090554	Becht 2016 MCPcounter
ICOS	T cells	29851	ENSG00000163600	Becht 2016 MCPcounter
MAL	T cells	4118	ENSG00000172005	Becht 2016 MCPcounter
PBX4	T cells	80714	ENSG00000105717	Becht 2016 MCPcounter
SIRPG	T cells	55423	ENSG00000089012	Becht 2016 MCPcounter
THEMIS	T cells	387357	ENSG00000172673	Becht 2016 MCPcounter
TNFRSF25	T cells	8718	ENSG00000215788	Becht 2016 MCPcounter
TRAT1	T cells	50852	ENSG00000163519	Becht 2016 MCPcounter
CD8B	CD8 T cells	926	ENSG00000172116	single-gene population in official signature
CD8A	Cytotoxic lymphocytes	925	ENSG00000153563	Becht 2016 MCPcounter
EOMES	Cytotoxic lymphocytes	8320	ENSG00000163508	Becht 2016 MCPcounter
FGFBP2	Cytotoxic lymphocytes	83888	ENSG00000137441	Becht 2016 MCPcounter
GNLY	Cytotoxic lymphocytes	10578	ENSG00000115523	Becht 2016 MCPcounter
KLRC3	Cytotoxic lymphocytes	3823	ENSG00000205810	Becht 2016 MCPcounter
KLRC4	Cytotoxic lymphocytes	8302	ENSG00000183542	Becht 2016 MCPcounter
KLRD1	Cytotoxic lymphocytes	3824	ENSG00000134539	Becht 2016 MCPcounter
BANK1	B lineage	55024	ENSG00000153064	Becht 2016 MCPcounter
CD19	B lineage	930	ENSG00000177455	Becht 2016 MCPcounter
CD22	B lineage	933	ENSG00000012124	Becht 2016 MCPcounter
CD79A	B lineage	973	ENSG00000105369	Becht 2016 MCPcounter
CR2	B lineage	1380	ENSG00000117322	Becht 2016 MCPcounter
FCRL2	B lineage	79368	ENSG00000132704	Becht 2016 MCPcounter
IGKC	B lineage	3514	ENSG00000211592	Becht 2016 MCPcounter
MS4A1	B lineage	931	ENSG00000156738	Becht 2016 MCPcounter
PAX5	B lineage	5079	ENSG00000196092	Becht 2016 MCPcounter
CD160	NK cells	11126	ENSG00000117281	Becht 2016 MCPcounter
KIR2DL1	NK cells	3802	ENSG00000125498	Becht 2016 MCPcounter
KIR2DL3	NK cells	3804	ENSG00000243772	Becht 2016 MCPcounter
KIR2DL4	NK cells	3805	ENSG00000189013	Becht 2016 MCPcounter
KIR3DL1	NK cells	3811	ENSG00000167633	Becht 2016 MCPcounter
KIR3DS1	NK cells	3813	ENSG00000275037	may be absent from Gencode coding matrix
NCR1	NK cells	9437	ENSG00000189430	Becht 2016 MCPcounter
PTGDR	NK cells	5729	ENSG00000168229	Becht 2016 MCPcounter
SH2D1B	NK cells	117157	ENSG00000198574	Becht 2016 MCPcounter
ADAP2	Monocytic lineage	55803	ENSG00000184060	Becht 2016 MCPcounter
CSF1R	Monocytic lineage	1436	ENSG00000182578	Becht 2016 MCPcounter
FPR3	Monocytic lineage	2359	ENSG00000187474	Becht 2016 MCPcounter
KYNU	Monocytic lineage	8942	ENSG00000115919	Becht 2016 MCPcounter
PLA2G7	Monocytic lineage	7941	ENSG00000146070	Becht 2016 MCPcounter
RASSF4	Monocytic lineage	83937	ENSG00000107551	Becht 2016 MCPcounter
TFEC	Monocytic lineage	22797	ENSG00000105967	Becht 2016 MCPcounter
CD1A	Myeloid dendritic cells	909	ENSG00000158477	Becht 2016 MCPcounter
CD1B	Myeloid dendritic cells	910	ENSG00000158485	Becht 2016 MCPcounter
