gene,srx,chip_atlas_cell,macs2_score_or_zero,chip_atlas_average,window
TACSTD2,SRX1389378,CFPAC-1,0,103.545455,ChIP-Atlas official 5kb TSS/gene target call
TACSTD2,SRX1389380,CFPAC-1,116,103.545455,ChIP-Atlas official 5kb TSS/gene target call
TACSTD2,SRX21154913,CFPAC-1,123,103.545455,ChIP-Atlas official 5kb TSS/gene target call
TACSTD2,SRX21154914,CFPAC-1,0,103.545455,ChIP-Atlas official 5kb TSS/gene target call
TACSTD2,SRX21154915,CFPAC-1,327,103.545455,ChIP-Atlas official 5kb TSS/gene target call
TACSTD2,SRX21154916,CFPAC-1,189,103.545455,ChIP-Atlas official 5kb TSS/gene target call
TACSTD2,SRX825394,CFPAC-1,271,103.545455,ChIP-Atlas official 5kb TSS/gene target call
TACSTD2,SRX6060975,ESO-26,0,103.545455,ChIP-Atlas official 5kb TSS/gene target call
TACSTD2,SRX8939702,HBDEC2,0,103.545455,ChIP-Atlas official 5kb TSS/gene target call
TACSTD2,SRX2636285,Hep_G2,113,103.545455,ChIP-Atlas official 5kb TSS/gene target call
TACSTD2,SRX2636286,Hep_G2,0,103.545455,ChIP-Atlas official 5kb TSS/gene target call
CLDN4,SRX1389378,CFPAC-1,133,90.909091,ChIP-Atlas official 5kb TSS/gene target call
CLDN4,SRX1389380,CFPAC-1,142,90.909091,ChIP-Atlas official 5kb TSS/gene target call
CLDN4,SRX21154913,CFPAC-1,0,90.909091,ChIP-Atlas official 5kb TSS/gene target call
CLDN4,SRX21154914,CFPAC-1,125,90.909091,ChIP-Atlas official 5kb TSS/gene target call
CLDN4,SRX21154915,CFPAC-1,170,90.909091,ChIP-Atlas official 5kb TSS/gene target call
CLDN4,SRX21154916,CFPAC-1,172,90.909091,ChIP-Atlas official 5kb TSS/gene target call
CLDN4,SRX825394,CFPAC-1,258,90.909091,ChIP-Atlas official 5kb TSS/gene target call
CLDN4,SRX6060975,ESO-26,0,90.909091,ChIP-Atlas official 5kb TSS/gene target call
CLDN4,SRX8939702,HBDEC2,0,90.909091,ChIP-Atlas official 5kb TSS/gene target call
CLDN4,SRX2636285,Hep_G2,0,90.909091,ChIP-Atlas official 5kb TSS/gene target call
CLDN4,SRX2636286,Hep_G2,0,90.909091,ChIP-Atlas official 5kb TSS/gene target call
