sample_id,CLDN4,ELF3,EPCAM,KRT5,KRT8,NKX2-1,TACSTD2
11LU013,13.9614,12.9115,13.0215,2.5657,13.4815,11.3916,12.1415
11LU016,13.1615,12.6515,12.8015,5.8575,14.0815,11.3616,12.0216
11LU022,13.3015,11.4916,13.5415,4.4277,14.1615,11.7316,10.8317
11LU035,13.8716,12.4216,13.0716,2.995,14.9116,11.0917,13.0916
C3L-00001,13.1119,12.3818,12.2918,5.8172,12.9118,12.2718,11.5018
C3L-00009,12.7915,11.3416,13.8115,7.0638,14.5115,10.2518,12.7115
C3L-00080,10.7917,12.2718,14.2518,5.6993,13.7118,13.4318,11.9518
C3L-00083,11.6119,12.142,11.0318,10.7118,12.5521,10.5917,10.8818
C3L-00093,14.079,12.889,13.409,4.8527,14.629,10.8092,13.349
C3L-00094,12.5416,13.0916,13.7516,4.9484,14.4016,12.7716,10.2017
C3L-00095,12.3616,13.1616,12.8116,6.3638,12.7616,11.0217,12.0916
C3L-00140,11.8816,12.0116,12.7715,6.8444,14.2815,12.1716,11.7116
C3L-00144,13.4717,12.7517,12.7517,4.7228,14.6317,11.3017,12.7117
C3L-00263,13.0915,12.7115,12.2716,8.0927,15.1815,9.7419,13.4615
C3L-00279,13.2066,12.8766,13.2566,5.0339,13.9566,11.3466,12.4366
C3L-00368,13.3615,12.9615,12.7815,6.6449,13.7115,12.8315,12.4715
C3L-00412,11.8116,12.8116,12.8016,8.9721,13.7315,10.8317,11.7416
C3L-00422,12.7441,11.3941,13.5341,0,14.3541,11.7041,12.3941
C3L-00510,13.1117,12.5317,13.5717,3.4901,14.3016,13.0417,13.1117
C3L-00604,14.0815,13.0715,12.5016,7.2835,13.2015,12.9815,12.2916
C3L-00893,13.1216,13.1216,13.2716,5.704,12.6916,13.1216,13.0316
C3L-00913,12.3116,11.9116,12.7416,3.6274,14.9416,8.6321,12.6716
C3L-00973,12.4416,12.5416,12.8416,8.2824,14.6515,7.7228,13.4216
C3L-01330,13.2017,11.3417,13.4917,5.1814,13.8717,12.8717,12.3017
C3L-01632,12.7214,13.0214,13.6514,8.6628,14.6013,10.7617,12.2514
C3L-01682,13.5417,13.8817,13.1317,7.1623,14.0117,11.9817,13.0217
C3L-01683,11.5717,9.8818,11.6417,7.5324,12.7116,9.1819,10.8517
C3L-01862,12.7416,13.5515,13.1016,8.3124,15.1415,8.3124,13.6315
C3L-01889,12.2516,11.0717,13.3316,4.7482,14.0516,12.6016,12.1916
C3L-01890,11.872,12.3821,11.732,8.2295,13.7922,11.9221,11.3519
C3L-01924,13.4816,12.2416,12.7916,4.8495,13.7716,12.3716,12.5416
C3L-02219,14.0715,13.1616,12.9116,5.3183,14.4815,12.2116,12.6916
C3L-02345,12.6417,12.4917,13.1817,7.3118,14.8517,10.0117,11.5617
C3L-02348,12.5915,13.0815,12.9615,5.2501,13.0815,12.1516,11.2216
C3L-02350,12.4615,12.0016,13.2215,8.4026,14.0015,12.4715,11.9316
C3L-02365,14.3215,14.0015,13.8715,6.5152,13.8115,12.4415,13.8115
C3L-02508,11.1516,11.5515,12.2315,6.1289,13.5214,10.4917,12.3215
C3L-02549,11.5416,13.7415,13.2815,7.6133,15.5415,9.0522,13.2815
C3N-00167,13.4314,12.3715,13.5714,7.2945,14.8514,12.4915,12.8314
C3N-00169,12.7214,12.5214,12.6814,5.0385,13.0714,11.6615,12.2614
C3N-00175,12.8819,13.1519,13.0519,5.3449,12.8219,11.8918,12.2418
C3N-00180,12.2317,11.7317,13.8216,3.3627,14.5616,9.4418,9.8918
C3N-00199,12.9316,13.2616,12.5716,7.9226,14.2316,12.0416,12.7716
C3N-00203,13.0115,12.7115,14.2515,4.8035,15.7715,10.6017,12.6215
C3N-00217,12.4316,12.5416,13.7016,8.6021,14.2216,13.1916,11.4716
C3N-00223,13.1716,11.9516,12.7216,6.9927,14.2116,12.2916,12.6816
C3N-00293,12.8065,12.4665,12.6365,5.8936,13.5065,12.6565,12.6665
C3N-00294,13.2617,13.0417,13.7317,5.4715,15.3817,11.5317,12.7517
C3N-00433,11.0017,10.5117,11.0017,5.836,11.6316,10.4817,10.4117
C3N-00546,13.3615,11.8816,12.6416,2.8819,12.7116,11.3416,11.6716
C3N-00547,12.9418,13.4318,12.4818,6.5103,13.9218,12.1018,11.5618
C3N-00549,11.2516,11.5816,13.9516,4.552,13.9716,6.5941,7.393
C3N-00550,13.9915,12.1016,12.9816,3.5167,13.9515,11.4816,13.0116
C3N-00551,13.3415,12.3015,12.5915,4.9136,15.5815,11.2616,11.7716
C3N-00552,11.9216,11.0417,12.9016,5.2978,13.8016,12.0516,12.4116
C3N-00556,13.1715,12.4115,13.4215,5.2025,14.1515,10.9716,12.3415
C3N-00559,13.3716,12.4316,12.4816,5.347,14.7716,12.9616,12.1016
C3N-00560,12.5815,12.5415,13.0315,5.3716,14.3014,11.0216,12.0115
C3N-00572,13.3715,11.8615,12.4215,4.3135,14.1014,12.4115,11.5316
C3N-00574,13.2715,12.8815,12.8215,10.1818,15.4815,9.7119,12.6315
C3N-00578,11.8916,12.2415,12.9215,8.1028,14.7515,11.3616,13.1215
C3N-00579,13.6414,13.8514,12.6214,6.1983,13.5914,12.3215,12.4415
C3N-00580,13.6015,12.2415,12.7415,6.5753,14.8515,12.0816,11.5516
C3N-00704,12.6616,12.4316,13.0516,3.2628,13.6516,12.1416,13.1416
C3N-00737,11.9818,11.7718,12.7018,4.4359,12.9618,11.0117,9.6116
C3N-00738,11.4317,12.2017,13.2317,7.7119,13.1617,11.1717,10.0417
C3N-00959,12.3316,13.9116,13.7216,6.7239,15.5215,8.7521,12.9916
C3N-01016,11.7319,12.862,13.322,5.7935,14.012,12.1819,12.0819
C3N-01021,12.4515,12.5915,12.1515,5.7691,13.1415,12.3915,12.4115
C3N-01023,12.2916,11.9916,13.2416,5.7064,14.1316,12.5616,9.9818
C3N-01024,13.3116,13.6816,12.8116,4.0533,13.9116,12.9516,12.9616
C3N-01030,12.9916,12.5516,13.1816,7.4931,14.8115,11.7016,13.6915
C3N-01071,12.5714,12.8314,12.7214,5.9604,15.7813,11.0216,14.0214
C3N-01072,11.9716,11.4316,11.9116,3.291,13.7415,11.6816,12.1816
C3N-01074,13.2815,11.6416,13.2915,5.6892,15.3915,12.0415,11.6716
C3N-01405,12.2716,12.2116,13.6715,6.0456,13.9915,12.6016,12.2116
C3N-01410,12.3916,12.3016,13.6416,8.1824,14.0515,12.1216,11.1117
C3N-01413,12.9117,11.6217,12.2317,5.9314,13.5017,12.1217,11.3117
