ModelID,CLDN4,ELF3,EPCAM,KRT5,KRT8,NKX2-1,TACSTD2,CellLineName,ModelType,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode
ACH-000327,3.016139702655253,6.054631448782967,8.571449285453562,0.1763227726404628,9.051372101721023,0.0285691521967709,0.3561438102252753,NCI-H1395,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000528,8.603477988254005,6.995032192477536,9.444580108984274,0.8155754288625725,11.672867276433792,0.4329594072761062,7.385689870739212,ABC-1,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000587,7.45022149589718,5.512542955096859,7.232372956468633,0.4750848829487829,10.129540618059997,3.583759753639499,5.3125199674749455,NCI-H1975,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000785,7.608365723163637,9.288335489225112,9.181251663951729,0.4436066514756145,11.176048450975175,0.2387868595871165,8.774490584953922,NCI-H2126,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000392,7.484863164322325,7.991238381089836,8.477313046407817,0.722466024471091,10.70433597118232,0.0426443374084937,7.265755676027326,Calu-3,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000638,8.106484424292539,9.039494855255578,9.293816474965949,0.5558161550616396,10.87182825081102,6.995710628907104,9.17587385548062,NCI-H441,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000578,9.614378575081137,6.425425734590699,8.14067642036902,2.327687364176047,9.859177562548592,4.83035674741922,8.982565834895489,HCC-1171,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000033,8.275239901744591,6.881909289047191,8.433585441150495,0.5753123306874368,12.664847236971424,6.186659017202113,7.580899204225743,NCI-H1819,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000787,5.530757457461217,2.9068905956085187,2.4672794804599825,0.7311832415722002,8.57459352733761,0.1505596765753814,3.711494906650088,LXF-289,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000677,3.056583528366368,1.722466024471091,2.983677694698067,1.4436066514756145,11.129798173187144,0.0840642647884745,1.632268215499513,SW 1573,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000012,8.083532513265412,7.253611151947168,8.358079723348917,1.6915341649192002,10.805018312338165,4.964860664245848,8.326968711587892,HCC-827,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000945,1.15704371014558,0.3448284969974411,3.1342209397606338,0.2141248053528473,6.95303237725324,0.0976107966264223,4.558879853475442,NCI-H650,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000282,7.779325391448742,4.974988111991927,5.34801990922869,0.2141248053528473,9.383920248621584,1.0908534304511135,4.305970520984387,NCI-H1755,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000681,2.204766750654613,6.723695070441395,2.9523335663696857,0.7136958148433591,11.292954255062073,0.0,0.2016338611696504,A549,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000379,9.610046680169242,9.705545995850212,8.987718780204565,0.4005379295837288,11.683871868622605,6.4431093133353645,8.715447262875877,NCI-H1781,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000109,10.91513244895065,8.605738772437102,8.848685528878226,0.2868811477881615,11.523512950637729,6.500642736062805,9.574479999326677,NCI-H3255,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000712,8.312746845558241,7.653776599367789,8.744800207852558,1.1243281350022014,11.242280950302444,7.023698917266407,0.5849625007211562,HCC-1833,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000562,8.728600810643192,10.266435192304751,8.839802161931408,0.5360529002402097,10.676309727000683,6.665762266508347,9.636479618780534,HCC-78,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
