Table S1, Yamamoto and Webb et al.
Gene	Cytoband	Mean Log2 Expression in CLDN4 High 	Mean Log2 Expression in CLDN4 Low 	Mean Log2 Standard Deviation in CLDN4 High 	Mean Log2 Standard Deviation in CLDN4 Low 	Log2 of Ratio (unlogged CLDN4 High/CLDN4 Low) 	p-Value	q-Value	Higher expression in
PHLDA2	11p15.4	8.57	7.77	1.25	1.4	0.8	1.99E-7	1.047E-4	 CLDN4 High 
TMEM139	7q34	10.07	9.43	0.85	1.23	0.64	2.7300000000000002E-7	1.381E-4	 CLDN4 High 
KRTCAP2	1q22	11.48	11.11	0.69	0.52	0.37	2.7700000000000001E-7	1.381E-4	 CLDN4 High 
TNFRSF8	1p36.22	4.58	5.5	1.41	1.65	-0.92	3.0400000000000002E-7	1.4799999999999999E-4	 CLDN4 Low
SLPI	20q13.12	13.87	12.88	1.58	1.73	0.99	3.2000000000000001E-7	1.5210000000000001E-4	 CLDN4 High 
SERINC2	1p35.2	11.37	10.72	1.06	1.1299999999999999	0.65	3.3000000000000002E-7	1.5320000000000001E-4	 CLDN4 High 
SPTBN1	2p16.2	11.7	12.09	0.64	0.68	-0.39	3.41E-7	1.548E-4	 CLDN4 Low
MOSPD3	7q22.1	9.91	9.6	0.52	0.53	0.31	4.0699999999999998E-7	1.8039999999999999E-4	 CLDN4 High 
DOCK11	Xq24	6.79	7.55	1.24	1.33	-0.76	4.32E-7	1.8679999999999999E-4	 CLDN4 Low
ELF3	1q32.1	13.07	12.48	0.8	1.17	0.59	4.4999999999999998E-7	1.8679999999999999E-4	 CLDN4 High 
TTL	2q14.1	9.4	9.76	0.67	0.52	-0.35	4.5699999999999998E-7	1.8679999999999999E-4	 CLDN4 Low
SMIM5	17q25.1	4.7300000000000004	3.89	1.51	1.35	0.84	4.58E-7	1.8679999999999999E-4	 CLDN4 High 
ARL8A	1q32.1	11.09	10.83	0.44	0.45	0.26	6.1900000000000002E-7	2.474E-4	 CLDN4 High 
PPDPF	20q13.33	13.67	13.2	0.78	0.84	0.47	7.06E-7	2.767E-4	 CLDN4 High 
C7ORF50	7p22.3	10.199999999999999	9.81	0.73	0.62	0.39	7.3900000000000004E-7	2.7900000000000001E-4	 CLDN4 High 
S100A2	1q21.3	8.67	7.58	1.79	2	1.1000000000000001	7.4000000000000001E-7	2.7900000000000001E-4	 CLDN4 High 
HSPB1	7q11.23	14.51	14.02	0.82	0.88	0.49	8.1500000000000003E-7	3.0150000000000001E-4	 CLDN4 High 
ZC3H14	14q31.3	10.18	10.42	0.43	0.42	-0.24	1.043E-6	3.7869999999999999E-4	 CLDN4 Low
ZNF660	3p21.31	4.24	4.83	1.1000000000000001	0.99	-0.59	1.0899999999999999E-6	3.8890000000000002E-4	 CLDN4 Low
ABHD11-AS1	7q11.23	4.62	3.36	2.2999999999999998	2.13	1.26	1.1689999999999999E-6	4.0969999999999998E-4	 CLDN4 High 
N4BP2	4p14	6.24	6.71	0.81	0.82	-0.46	1.2640000000000001E-6	4.3530000000000001E-4	 CLDN4 Low
KRTCAP3	2p23.3	9.67	9.09	0.92	1.1299999999999999	0.57999999999999996	1.288E-6	4.3590000000000002E-4	 CLDN4 High 
GPATCH2L	14q24.3	7.46	7.75	0.52	0.52	-0.28999999999999998	1.533E-6	5.042E-4	 CLDN4 Low
GSTK1	7q34	11.82	11.43	0.7	0.71	0.39	1.5400000000000001E-6	5.042E-4	 CLDN4 High 
POP7	7q22.1	9.57	9.27	0.54	0.53	0.3	1.6640000000000001E-6	5.3609999999999997E-4	 CLDN4 High 
WFDC2	20q13.12	14.54	13.79	1.21	1.49	0.75	1.776E-6	5.6289999999999997E-4	 CLDN4 High 
TSPAN1	1p34.1	9.7799999999999994	8.7200000000000006	1.98	1.84	1.06	1.945E-6	5.9849999999999997E-4	 CLDN4 High 
TMUB1	7q36.1	10.67	10.39	0.48	0.53	0.28000000000000003	1.9539999999999998E-6	5.9849999999999997E-4	 CLDN4 High 
CD55	1q32.2	11.51	10.95	1.04	0.97	0.56000000000000005	1.978E-6	5.9849999999999997E-4	 CLDN4 High 
VTCN1	1p13.1-p12	11.06	9.84	1.89	2.48	1.22	2.0470000000000001E-6	6.1039999999999998E-4	 CLDN4 High 
SORBS1	10q24.1	8.34	8.84	1.01	0.81	-0.5	2.1919999999999999E-6	6.4380000000000004E-4	 CLDN4 Low
PPP1R35	7q22.1	9.14	8.7899999999999991	0.66	0.61	0.35	2.2280000000000001E-6	6.4499999999999996E-4	 CLDN4 High 
BPGM	7q33	8.9700000000000006	8.6300000000000008	0.6	0.61	0.33	2.3329999999999999E-6	6.6560000000000002E-4	 CLDN4 High 
H1-2	6p22.2	10.029999999999999	9.1300000000000008	1.67	1.6	0.9	2.424E-6	6.7750000000000004E-4	 CLDN4 High 
PLLP	16q13	9.3000000000000007	8.69	1.1100000000000001	1.1399999999999999	0.62	2.4420000000000001E-6	6.7750000000000004E-4	 CLDN4 High 
TOP3A	17p11.2	8.34	8.61	0.5	0.47	-0.27	2.5239999999999999E-6	6.9050000000000003E-4	 CLDN4 Low
PGBD1	6p22.1	6.45	6.93	0.94	0.79	-0.48	2.6369999999999999E-6	7.1179999999999995E-4	 CLDN4 Low
BIK	22q13.2	7.99	7.3	1.17	1.35	0.69	2.8770000000000002E-6	7.1279999999999998E-4	 CLDN4 High 
AP1S1	7q22.1	9.99	9.6999999999999993	0.55000000000000004	0.54	0.3	2.892E-6	7.1279999999999998E-4	 CLDN4 High 
TRIP6	7q22.1	11.05	10.69	0.63	0.7	0.36	2.9069999999999999E-6	7.1279999999999998E-4	 CLDN4 High 
IL17RE	3p25.3	7.99	7.49	0.84	1.02	0.51	2.9249999999999999E-6	7.1279999999999998E-4	 CLDN4 High 
NSUN5	7q11.23	9.74	9.48	0.48	0.49	0.26	2.9780000000000001E-6	7.1279999999999998E-4	 CLDN4 High 
EPS8L2	11p15.5	11.28	10.82	0.73	0.93	0.45	2.9869999999999999E-6	7.1279999999999998E-4	 CLDN4 High 
STX1A	7q11.23	7.67	7.3	0.69	0.67	0.37	3.021E-6	7.1279999999999998E-4	 CLDN4 High 
WDHD1	14q22.2-q22.3	7.55	7.92	0.72	0.66	-0.37	3.0410000000000002E-6	7.1279999999999998E-4	 CLDN4 Low
CPSF2	14q32.12	9.89	10.119999999999999	0.41	0.44	-0.23	3.0869999999999998E-6	7.1279999999999998E-4	 CLDN4 Low
ZNF449	Xq26.3	7.06	7.34	0.47	0.54	-0.28000000000000003	3.095E-6	7.1279999999999998E-4	 CLDN4 Low
KLHL18	3p21.31	8.44	8.66	0.45	0.37	-0.22	3.1049999999999999E-6	7.1279999999999998E-4	 CLDN4 Low
HEBP2	6q24.1	10.56	10.16	0.72	0.75	0.4	3.1370000000000002E-6	7.1279999999999998E-4	 CLDN4 High 
RECQL	12p12.1	9.1300000000000008	9.49	0.71	0.62	-0.36	3.1640000000000001E-6	7.1279999999999998E-4	 CLDN4 Low
NEK9	14q24.3	9.91	10.220000000000001	0.59	0.54	-0.31	3.1980000000000001E-6	7.1279999999999998E-4	 CLDN4 Low
MACC1	7p21.1	9.1999999999999993	8.34	1.3	1.83	0.86	3.207E-6	7.1279999999999998E-4	 CLDN4 High 
PROM2	2q11.1	10.83	9.9	1.47	1.94	0.93	3.2119999999999999E-6	7.1279999999999998E-4	 CLDN4 High 
ZKSCAN8	6p21	9.0500000000000007	9.48	0.89	0.69	-0.43	3.3950000000000001E-6	7.4509999999999995E-4	 CLDN4 Low
EFNA1	1q22	10.78	10.35	0.82	0.77	0.43	3.501E-6	7.6020000000000005E-4	 CLDN4 High 
ZNF445	3p21.31	9	9.35	0.67	0.63	-0.35	3.5750000000000001E-6	7.6780000000000001E-4	 CLDN4 Low
ARRDC1	9q34.3	10.43	10.1	0.62	0.59	0.33	3.63E-6	7.7139999999999999E-4	 CLDN4 High 
LAD1	1q32.1	10.74	10.16	0.8	1.27	0.56999999999999995	3.7060000000000002E-6	7.7320000000000004E-4	 CLDN4 High 
JUND	19p13.11	12.92	12.58	0.67	0.61	0.34	3.7160000000000001E-6	7.7320000000000004E-4	 CLDN4 High 
DYNLRB1	20q11.22	12.07	11.79	0.54	0.53	0.28999999999999998	3.7950000000000001E-6	7.8149999999999997E-4	 CLDN4 High 
DDR2	1q23.3	6.82	7.54	1.38	1.31	-0.72	4.0929999999999996E-6	8.342E-4	 CLDN4 Low
ATF3	1q32.3	9.8000000000000007	9.09	1.43	1.19	0.71	4.1710000000000004E-6	8.4159999999999997E-4	 CLDN4 High 
TMEM54	1p35.1	9.51	8.92	0.98	1.21	0.59	4.3209999999999998E-6	8.631E-4	 CLDN4 High 
LAMTOR2	1q22	9.83	9.49	0.67	0.6	0.34	4.4020000000000004E-6	8.7049999999999996E-4	 CLDN4 High 
SBDSP1	7q11.23	8.35	8.08	0.48	0.53	0.27	4.4750000000000004E-6	8.763E-4	 CLDN4 High 
YPEL3	16p11.2	10.99	10.63	0.69	0.65	0.36	4.5580000000000002E-6	8.8380000000000002E-4	 CLDN4 High 
BRI3	7q21.3	10.69	10.38	0.64	0.52	0.31	4.7090000000000001E-6	8.9610000000000004E-4	 CLDN4 High 
TMEM270	7q11.23	3.25	2.56	1.37	1.23	0.69	4.7110000000000003E-6	8.9610000000000004E-4	 CLDN4 High 
SERINC5	5q14.1	7.82	8.27	0.88	0.83	-0.46	4.8439999999999997E-6	9.1279999999999996E-4	 CLDN4 Low
MDN1	6q15	9.18	9.59	0.79	0.79	-0.42	5.0329999999999999E-6	9.3950000000000001E-4	 CLDN4 Low
SCAMP3	1q22	11.3	11.08	0.45	0.39	0.22	5.2050000000000001E-6	9.6270000000000004E-4	 CLDN4 High 
SENP1	12q13.11	9.16	9.4499999999999993	0.55000000000000004	0.52	-0.28000000000000003	5.5160000000000002E-6	1.011E-3	 CLDN4 Low
ADD2	2p13.3	7.3	8.19	1.86	1.48	-0.89	5.7760000000000003E-6	1.049E-3	 CLDN4 Low
MAFF	22q13.1	9.0299999999999994	8.52	0.91	1.06	0.52	5.9050000000000002E-6	1.0629999999999999E-3	 CLDN4 High 
RFXANK	19p13.11	11.05	10.67	0.73	0.71	0.38	5.9769999999999997E-6	1.0660000000000001E-3	 CLDN4 High 
NECAB3	20q11.22	10.35	9.9600000000000009	0.79	0.67	0.39	6.117E-6	1.0809999999999999E-3	 CLDN4 High 
LONRF2	2q11.2	8.73	9.56	1.65	1.54	-0.84	6.2049999999999999E-6	1.0870000000000001E-3	 CLDN4 Low
TMPRSS4	11q23.3	10.43	9.2799999999999994	1.64	2.64	1.1499999999999999	6.7610000000000002E-6	1.1739999999999999E-3	 CLDN4 High 
NUP160	11p11.2	10.029999999999999	10.26	0.45	0.46	-0.24	6.9079999999999998E-6	1.189E-3	 CLDN4 Low
GRHL1	2p25.1	7.81	7.17	1.0900000000000001	1.36	0.64	7.1940000000000001E-6	1.2279999999999999E-3	 CLDN4 High 
RAB20	13q34	8.8800000000000008	8.49	0.76	0.73	0.39	7.5780000000000001E-6	1.2689999999999999E-3	 CLDN4 High 
CRB3	19p13.3	8.8800000000000008	8.36	0.75	1.18	0.52	7.5939999999999996E-6	1.2689999999999999E-3	 CLDN4 High 
MIDN	19p13.3	11.65	11.35	0.55000000000000004	0.57999999999999996	0.28999999999999998	7.622E-6	1.2689999999999999E-3	 CLDN4 High 
UHRF1BP1	6p21.31	9.35	9.68	0.68	0.56999999999999995	-0.33	7.7800000000000001E-6	1.284E-3	 CLDN4 Low
ZFP36	19q13.2	12.05	11.4	1.29	1.22	0.65	8.0970000000000006E-6	1.3259999999999999E-3	 CLDN4 High 
FAM110A	20p13	8.69	8.3000000000000007	0.71	0.78	0.38	8.4619999999999996E-6	1.374E-3	 CLDN4 High 
DDRGK1	20p13	10.17	9.8699999999999992	0.6	0.57999999999999996	0.3	9.1209999999999996E-6	1.469E-3	 CLDN4 High 
BORCS8	19p13.11	8.8699999999999992	8.51	0.69	0.71	0.36	9.3479999999999993E-6	1.4829999999999999E-3	 CLDN4 High 
CSTB	21q22.3	11.89	11.52	0.7	0.75	0.37	9.4579999999999999E-6	1.4829999999999999E-3	 CLDN4 High 
FBXW2	9q33.2	10.19	10.45	0.53	0.49	-0.26	9.5319999999999995E-6	1.4829999999999999E-3	 CLDN4 Low
SH2D3A	19p13.3	8.74	8.25	0.84	1.08	0.5	9.5370000000000003E-6	1.4829999999999999E-3	 CLDN4 High 
CNOT1	16q21	11.87	12.14	0.54	0.5	-0.27	9.6039999999999999E-6	1.4829999999999999E-3	 CLDN4 Low
ZNF620	3p22.1	6.39	6.74	0.7	0.66	-0.35	9.6530000000000006E-6	1.4829999999999999E-3	 CLDN4 Low
TACSTD2	1p32.1	12.73	11.94	1.32	1.72	0.79	9.781E-6	1.4909999999999999E-3	 CLDN4 High 
OVOL1	11q13.1	6.98	6.17	1.45	1.67	0.8	9.8810000000000008E-6	1.495E-3	 CLDN4 High 
PWWP2B	10q26.3	9.4499999999999993	9.1199999999999992	0.62	0.64	0.32	9.9969999999999993E-6	1.495E-3	 CLDN4 High 
FAM138F	19p13.3	0.39	0.94	0.66	1.33	-0.54	1.0149999999999999E-5	1.495E-3	 CLDN4 Low
SNX30	9q32	8.56	8.93	0.73	0.68	-0.36	1.0149999999999999E-5	1.495E-3	 CLDN4 Low
CHST12	7p22.3	9	8.73	0.49	0.56999999999999995	0.27	1.024E-5	1.495E-3	 CLDN4 High 
CLSPN	1p34.3	6.81	7.41	1.24	1.06	-0.59	1.025E-5	1.495E-3	 CLDN4 Low
VASH1	14q24.3	8.92	9.33	0.84	0.74	-0.41	1.058E-5	1.5319999999999999E-3	 CLDN4 Low
PRND	20p13	2.39	3.23	1.45	1.81	-0.84	1.0740000000000001E-5	1.534E-3	 CLDN4 Low
TMEM184A	7p22.3	9.14	8.6	0.92	1.2	0.55000000000000004	1.075E-5	1.534E-3	 CLDN4 High 
ATP6V1F	7q32.1	11.36	11.06	0.56000000000000005	0.57999999999999996	0.28999999999999998	1.096E-5	1.552E-3	 CLDN4 High 
RNGTT	6q15	8.18	8.4600000000000009	0.55000000000000004	0.55000000000000004	-0.28000000000000003	1.1090000000000001E-5	1.5610000000000001E-3	 CLDN4 Low
GPAM	10q25.2	7.98	8.36	0.76	0.7	-0.37	1.151E-5	1.6069999999999999E-3	 CLDN4 Low
BTAF1	10q23.32	8.9600000000000009	9.2799999999999994	0.65	0.6	-0.32	1.165E-5	1.616E-3	 CLDN4 Low
UBR7	14q32.12	9.67	9.94	0.47	0.57999999999999996	-0.27	1.2619999999999999E-5	1.738E-3	 CLDN4 Low
KCTD20	6p21.31	9.9	10.19	0.59	0.52	-0.28000000000000003	1.2999999999999999E-5	1.774E-3	 CLDN4 Low
DHX33	17p13.2	8.07	8.39	0.63	0.64	-0.32	1.3159999999999999E-5	1.774E-3	 CLDN4 Low
ANKRD6	6q15	9.17	9.66	0.89	1.04	-0.49	1.322E-5	1.774E-3	 CLDN4 Low
GPC3	Xq26.2	6.79	7.81	1.91	2.13	-1.02	1.323E-5	1.774E-3	 CLDN4 Low
ATAD5	17q11.2	6.28	6.69	0.83	0.76	-0.4	1.3390000000000001E-5	1.7830000000000001E-3	 CLDN4 Low
DPY19L3	19q13.11	8.33	8.7200000000000006	0.81	0.75	-0.4	1.362E-5	1.7910000000000001E-3	 CLDN4 Low
GADD45A	1p31.3	9.75	9.33	0.79	0.86	0.42	1.363E-5	1.7910000000000001E-3	 CLDN4 High 
SUZ12	17q11.2	9.43	9.66	0.45	0.45	-0.23	1.377E-5	1.792E-3	 CLDN4 Low
SYNM	15q26.3	6.4	6.98	1.2	1.1200000000000001	-0.59	1.3910000000000001E-5	1.792E-3	 CLDN4 Low
TSPO	22q13.2	11.11	10.67	0.91	0.84	0.44	1.395E-5	1.792E-3	 CLDN4 High 
VAMP8	2p11.2	11.36	11.01	0.67	0.73	0.35	1.4E-5	1.792E-3	 CLDN4 High 
CASP8AP2	6q15	8.19	8.51	0.63	0.65	-0.32	1.4790000000000001E-5	1.867E-3	 CLDN4 Low
H2AC6	6p22.2	10.66	10.09	1.1000000000000001	1.18	0.56999999999999995	1.4810000000000001E-5	1.867E-3	 CLDN4 High 
C1ORF116	1q32.1	8.93	8.0399999999999991	1.69	1.85	0.89	1.486E-5	1.867E-3	 CLDN4 High 
PCGF1	2p13.1	8.66	8.43	0.47	0.46	0.23	1.52E-5	1.895E-3	 CLDN4 High 
NOXA1	9q34.3	8.39	7.89	1.04	0.96	0.5	1.5270000000000001E-5	1.895E-3	 CLDN4 High 
CAPG	2p11.2	11.34	10.93	0.81	0.84	0.41	1.66E-5	2.036E-3	 CLDN4 High 
ZSCAN12	6p22.1	7.81	8.18	0.78	0.69	-0.37	1.6699999999999999E-5	2.036E-3	 CLDN4 Low
DUSP5	10q25.2	8.4700000000000006	7.84	1.23	1.29	0.63	1.6719999999999999E-5	2.036E-3	 CLDN4 High 
LUZP1	1p36.12	9.5399999999999991	9.86	0.68	0.59	-0.32	1.7090000000000001E-5	2.0690000000000001E-3	 CLDN4 Low
TRIR	19p13.13	12.13	11.81	0.67	0.6	0.32	1.721E-5	2.0699999999999998E-3	 CLDN4 High 
ZNHIT1	7q22.1	11.24	10.94	0.63	0.6	0.31	1.7419999999999999E-5	2.0830000000000002E-3	 CLDN4 High 
S100A6	1q21.3	13.26	12.55	1.4	1.44	0.71	1.789E-5	2.127E-3	 CLDN4 High 
KIF7	15q26.1	7.2	7.66	0.93	0.93	-0.46	1.8139999999999999E-5	2.1440000000000001E-3	 CLDN4 Low
MYH3	17p13.1	3.69	4.38	1.28	1.47	-0.68	1.9179999999999999E-5	2.2529999999999998E-3	 CLDN4 Low
SLC9A3R2	16p13.3	11.38	10.99	0.82	0.74	0.39	1.9879999999999999E-5	2.3050000000000002E-3	 CLDN4 High 
OXCT2	1p34.2	1.94	2.5	1.1000000000000001	1.17	-0.56000000000000005	1.9879999999999999E-5	2.3050000000000002E-3	 CLDN4 Low
GTF2A1	14q31.1	7.16	7.46	0.68	0.53	-0.3	2.001E-5	2.3050000000000002E-3	 CLDN4 Low
EXOC5	14q22.3	9.6300000000000008	9.84	0.42	0.46	-0.22	2.0080000000000001E-5	2.3050000000000002E-3	 CLDN4 Low
TNPO1	5q13.2	10.55	10.75	0.43	0.41	-0.21	2.0869999999999998E-5	2.382E-3	 CLDN4 Low
MTHFD1	14q23.3	10.34	10.61	0.52	0.57999999999999996	-0.27	2.173E-5	2.467E-3	 CLDN4 Low
CLN3	16p12.1	10.35	10.07	0.55000000000000004	0.56000000000000005	0.27	2.226E-5	2.5070000000000001E-3	 CLDN4 High 
NAP1L1	12q21.1	12.61	12.93	0.66	0.63	-0.32	2.2399999999999999E-5	2.5070000000000001E-3	 CLDN4 Low
H2AC18	1q21.2	9.33	8.64	1.42	1.39	0.69	2.247E-5	2.5070000000000001E-3	 CLDN4 High 
NCBP3	17p13.2	8.82	9.09	0.5	0.61	-0.27	2.355E-5	2.614E-3	 CLDN4 Low
RC3H2	9q33.2	8.39	8.66	0.54	0.56999999999999995	-0.27	2.4090000000000001E-5	2.6389999999999999E-3	 CLDN4 Low
FLT3	13q12.2	1.58	2.29	1.23	1.64	-0.71	2.4179999999999999E-5	2.6389999999999999E-3	 CLDN4 Low
TRAM2	6p12.2	9.93	10.23	0.62	0.6	-0.3	2.4260000000000002E-5	2.6389999999999999E-3	 CLDN4 Low
NDUFA4	7p21.3	11.97	11.59	0.75	0.79	0.38	2.4309999999999999E-5	2.6389999999999999E-3	 CLDN4 High 
CEBPB	20q13.13	12.18	11.86	0.64	0.66	0.32	2.4669999999999999E-5	2.663E-3	 CLDN4 High 
DENND2D	1p13.3-p13.2	9.9	9.6	0.56000000000000005	0.69	0.31	2.5210000000000001E-5	2.7070000000000002E-3	 CLDN4 High 
GPX4	19p13.3	12.07	11.74	0.7	0.64	0.33	2.5720000000000001E-5	2.7469999999999999E-3	 CLDN4 High 
KIAA1958	9q32	6.25	6.62	0.8	0.73	-0.38	2.5899999999999999E-5	2.751E-3	 CLDN4 Low
ARF1	1q42.13	13.87	13.67	0.43	0.39	0.2	2.6169999999999998E-5	2.7650000000000001E-3	 CLDN4 High 
CARD19	9q22.31	8.67	8.35	0.69	0.65	0.33	2.6769999999999999E-5	2.8119999999999998E-3	 CLDN4 High 
SOCS4	14q22.3	8.69	8.93	0.49	0.51	-0.24	2.7019999999999999E-5	2.8119999999999998E-3	 CLDN4 Low
FKBP8	19p13.11	13.02	12.77	0.55000000000000004	0.5	0.26	2.703E-5	2.8119999999999998E-3	 CLDN4 High 
UHRF1BP1L	12q23.1	8.0299999999999994	8.2899999999999991	0.53	0.5	-0.25	2.7229999999999998E-5	2.8180000000000002E-3	 CLDN4 Low
MYO5A	15q21.2	8.41	8.8000000000000007	0.81	0.77	-0.38	2.7900000000000001E-5	2.872E-3	 CLDN4 Low
ATG2B	14q32.2	9.1	9.3800000000000008	0.57999999999999996	0.56000000000000005	-0.28000000000000003	2.8330000000000002E-5	2.9020000000000001E-3	 CLDN4 Low
GALNT16	14q24.1	5.83	6.54	1.37	1.55	-0.71	2.9790000000000001E-5	3.0360000000000001E-3	 CLDN4 Low
BRIP1	17q23.2	6.17	6.67	1.1499999999999999	0.91	-0.5	3.0630000000000003E-5	3.0999999999999999E-3	 CLDN4 Low
METTL27	7q11.23	7.19	6.51	1.42	1.41	0.68	3.074E-5	3.0999999999999999E-3	 CLDN4 High 
ANKFY1	17p13.2	10.53	10.79	0.49	0.56999999999999995	-0.26	3.0880000000000002E-5	3.0999999999999999E-3	 CLDN4 Low
EMP1	12p13.1	11.29	10.75	1.05	1.17	0.54	3.1529999999999998E-5	3.1359999999999999E-3	 CLDN4 High 
CXCL16	17p13.2	11.83	11.38	0.82	1.03	0.45	3.1560000000000003E-5	3.1359999999999999E-3	 CLDN4 High 
BICDL2	16p13.3	8.34	7.8	0.86	1.31	0.53	3.3139999999999998E-5	3.277E-3	 CLDN4 High 
RGS19	20q13.33	9.4499999999999993	9.16	0.56999999999999995	0.61	0.28000000000000003	3.3630000000000002E-5	3.3089999999999999E-3	 CLDN4 High 
FBXW7	4q31.3	7.56	7.81	0.52	0.51	-0.25	3.4239999999999997E-5	3.3370000000000001E-3	 CLDN4 Low
UCA1	19p13.12	8.3000000000000007	7	2.57	2.83	1.3	3.4249999999999999E-5	3.3370000000000001E-3	 CLDN4 High 
CCDC141	2q31.2	1.38	1.9	0.87	1.26	-0.52	3.5219999999999998E-5	3.3999999999999998E-3	 CLDN4 Low
