Table S3, Webb and Yamamoto, et al 2021
OVCAR3 Cells					DepMap Analysis (Accessed 12/09/2021)
Compound	Class	Cell Viability in shCTRL	Cell Viability in shCLDN4		Compound (DepMap DataSet)	Class	Pearson r Cor w/CLDN4 Expression and Compound AUC	p-Value	Adj p-value
Abemaciclib	Kinase Inhibitor	98	95		leflunomide (GDSC2:1578)	Anti-metabolite	0.26708139947921999	2.6381370387077501E-10	2.6381370387077501E-10
Abiraterone	Hormone	110	80		5-fluorouracil (GDSC2:1073)	Anti-metabolite	9.7606300434266699E-2	2.95774063735895E-2	2.95774063735895E-2
Acalabrutinib	Kinase Inhibitor	101	106		nelarabine (GDSC2:1814)	Anti-metabolite	8.6644101887975694E-2	0.147429410542911	0.147429410542911
Afatinib	Kinase Inhibitor	53	70		vincristine (GDSC2:1818)	Anti-tubulin	0.40111524180490399	8.63338384443507E-22	8.63338384443507E-22
Alectinib	Kinase Inhibitor	93	103		vinblastine (GDSC2:1004)	Anti-tubulin	0.38220835708078699	2.6969596724965299E-20	2.6969596724965299E-20
Allopurinol	Metabolic	128	72		Podophyllotoxin bromide (GDSC2:1825)	Anti-tubulin	0.35927095905404699	2.07466475082684E-17	2.07466475082684E-17
Altretamine	Other	111	110		vinorelbine (GDSC2:2048)	Anti-tubulin	0.33740377691708401	8.6300947186047203E-16	8.6300947186047203E-16
Amifostine	Other	112	105		docetaxel (GDSC2:1819)	Anti-tubulin	0.27110206328182401	2.0590972216137099E-9	2.0590972216137099E-9
Aminolevulinic acid hydrochloride	Other	118	92		docetaxel (GDSC2:1007)	Anti-tubulin	0.228942148101969	4.6598660801268098E-8	4.6598660801268098E-8
Anastrozole	Hormone	110	97		paclitaxel (GDSC2:1080)	Anti-tubulin	5.1516360830058998E-2	0.267586455503033	0.267586455503033
Apalutamide	Hormone	99	99		cisplatin (GDSC2:1005)	DNA Damage	0.29409051524732399	2.9797993536606301E-11	2.9797993536606301E-11
Arsenic trioxide	Other	131	116		niraparib (GDSC2:1177)	DNA Damage	0.28495763062568902	4.2394144939172096E-9	4.2394144939172096E-9
Axitinib	Kinase Inhibitor	101	110		talazoparib (GDSC2:1259)	DNA Damage	0.236432703535914	3.2137779080819601E-8	3.2137779080819601E-8
Azacitidine	Epigenetic	105	89		mirin (GDSC2:1048)	DNA Damage	0.19855015743677601	3.7724100975003701E-6	3.7724100975003701E-6
Belinostat	Epigenetic	36	52		oxaliplatin (GDSC2:1089)	DNA Damage	0.19639183446472699	4.0107519734961402E-6	4.0107519734961402E-6
Bendamustine hydrochloride	DNA Damage	116	63		oxaliplatin (GDSC2:1806)	DNA Damage	0.18587177360096599	4.75724092438087E-5	4.75724092438087E-5
Binimetinib	Kinase Inhibitor	84	73		temozolomide (GDSC2:1375)	DNA Damage	0.157405032131157	1.65510183888221E-3	1.65510183888221E-3
Bleomycin sulfate	Other	46	68		olaparib (GDSC2:1017)	DNA Damage	0.100994758931632	2.33598636410879E-2	2.33598636410879E-2
Bortezomib	Proteosome Inhibitor	34	31		carmustine (GDSC2:1807)	DNA Damage	-1.83085664495653E-2	0.71644458586706194	0.71644458586706194
Bosutinib	DNA Damage	91	60		cyclophosphamide (GDSC2:1512)	DNA Damage	-3.2097329484108401E-4	0.99527431003129796	0.99527431003129796
Brigatinib	Kinase Inhibitor	91	78		epirubicin (GDSC2:1511)	DNA Replication Inhibitor	0.40768300078803299	1.34556559684945E-23	1.34556559684945E-23
Busulfan	Cell Cycle Iinhibitor	114	107		mitoxantrone (GDSC2:1810)	DNA Replication Inhibitor	0.40561715637906498	1.73683296745822E-22	1.73683296745822E-22
Cabazitaxel	Anti-tubulin	27	52		teniposide (GDSC2:1809)	DNA Replication Inhibitor	0.40342924610911401	3.3466517853685702E-22	3.3466517853685702E-22
Cabozantinib	Kinase Inhibitor	118	103		dactinomycin (GDSC2:1911)	DNA Replication Inhibitor	0.39069734233825398	2.78214127281771E-21	2.78214127281771E-21
Capecitabine	Antimetabolite	123	47		gemcitabine (GDSC2:1190)	DNA Replication Inhibitor	0.35159586348386601	5.5384686196071102E-17	5.5384686196071102E-17
Carboplatin	DNA Damage	105	72		cytarabine (GDSC2:1006)	DNA Replication Inhibitor	0.343413060852098	8.1569050602199095E-15	8.1569050602199095E-15
Carfilzomib	Proteosome Inhibitor	20	28		camptothecin (GDSC2:1003)	DNA Replication Inhibitor	0.32097498348154102	1.5033505638142599E-14	1.5033505638142599E-14
Carmustine	Cell Cycle Iinhibitor	117	99		irinotecan (GDSC2:1088)	DNA Replication Inhibitor	0.29588902859028698	1.05485524392047E-11	1.05485524392047E-11
Celecoxib	Metabolic	127	96		topotecan (GDSC2:1808)	DNA Replication Inhibitor	0.28430609459938799	2.2813138780490999E-11	2.2813138780490999E-11
