Table S2, Yamamoto and Webb et al					
Ovarian cancer cell Lines					
Cell	Description	BRCA1 status	 BRCA 2 status	Claudin-4  protein expression	
SNU251	ovarian endometrioid adneocarcinoma from ascites	deleterious BRCA1 mut at 5564 G>A	WT	High
OV432	serous ovarian	WT	WT	Low
TYKNU	ovarian 	WT	WT	Undetectable
IGROV	endometrioid/clear cell	WT	WT	Undetectable
41M	ovarian serous adenocarcinoma	WT	WT	Low
OV167	HGSOC	WT	WT	High
OVCAR2	ovarian carcinoma from ascites	Unknown	Unknown	High
DOV13	adenocarcinoma	WT	WT	Low
OVCAR3	serous from ascites, adenocarcinoma	WT	WT	High
OVCAR8	adenocarcinoma	WT, hypermethlyated	WT	Low
PEO1	from ascites	WT	mutated	Low
PEO4	from ascites	WT	restored/silent	High
OVCA429	ovarian cystadenocarcinoma	WT	WT	High
OVCAR4	HGSOC from ascites 	WT	WT	Low
OVCA432	ovarian serous adenocarcinoma	WT	WT	Low
CaOV3	ovarian adenocarinoma	WT	WT	Low
TOV112D	ovarian endometriod adenocarinoma	WT	WT	Undetectable
UWB1.289	serous ovarian carcinoma	null, WT allele deleted, exon 11 mutated	WT	Low
