compartment	n_cells	CLDN4_pct	CLDN4_mean_log	CLDN4_median_log	TACSTD2_pct	TACSTD2_mean_log	TACSTD2_median_log	ELF3_pct	ELF3_mean_log	ELF3_median_log	EPCAM_pct	EPCAM_mean_log	EPCAM_median_log	KRT19_pct	KRT19_mean_log	KRT19_median_log	MSLN_pct	MSLN_mean_log	MSLN_median_log	CALB2_pct	CALB2_mean_log	CALB2_median_log	WT1_pct	WT1_mean_log	WT1_median_log	KRT7_pct	KRT7_mean_log	KRT7_median_log
MPE_epithelial	396	59.8485	1.11703	1.3913	63.1313	1.21808	1.16486	64.899	1.22823	1.33147	67.9293	1.32335	1.58448	90.6566	2.22011	2.38059	45.9596	0.38677	0	20.7071	0.259339	0	15.1515	0.0844114	0	74.2424	1.55572	1.67976
MPE_carcinoma_like	259	83.3977	1.55936	1.73647	83.7838	1.64794	1.8627	80.695	1.58948	1.84353	100	1.97214	1.90964	95.7529	2.45752	2.54837	44.7876	0.439323	0	0	0	0	0	0	0	82.2394	1.86102	1.96362
MPE_mesothelial_like	76	2.63158	0.00769572	0	6.57895	0.0220852	0	23.6842	0.113843	0	0	0	0	97.3684	1.96195	1.85928	71.0526	0.342527	0.252842	96.0526	1.25729	1.32164	72.3684	0.403173	0.359989	65.7895	0.840612	0.355243
primary_tS	6352	87.988	1.6178	1.72929	88.2399	1.66906	1.80377	92.9471	2.00002	2.09194	86.8388	1.36858	1.45083	91.0422	2.04821	2.05817	33.6429	0.334997	0	1.16499	0.00753578	0	0.0314861	0.000210498	0	86.2248	1.62076	1.65838
normal_AT2	2020	71.9802	0.909116	0.950835	59.604	0.741262	0.713011	81.6337	1.31226	1.42337	70.6436	0.866577	0.957881	73.7129	0.955008	1.01252	32.7723	0.394254	0	0.247525	0.0015216	0	0.049505	0.000281903	0	35.495	0.384389	0
author_malignant_advanced	24784	85.2485	1.67699	1.81946	72.0909	1.05905	1.06918	83.57	1.69311	1.83957	84.4214	1.57487	1.73082	89.9088	2.27003	2.33763	10.5592	0.118752	0	0.677857	0.00470014	0	0.0928018	0.000726881	0	79.0026	1.6162	1.71343
advanced_biopsy_epithelial	9635	83.1033	1.66715	1.80268	79.014	1.34032	1.39922	81.2247	1.55312	1.70889	82.0861	1.42076	1.51837	90.877	2.38286	2.5221	18.8064	0.240444	0	1.28697	0.00963196	0	0.0415153	0.000224072	0	85.2517	1.93942	2.06402
