sample	patient_id	n_cells	n_comp	n_tnk	frac_tnk	CLDN4_pct	CLDN4_mean_log	TACSTD2_pct	TACSTD2_mean_log	ELF3_pct	ELF3_mean_log	EPCAM_pct	EPCAM_mean_log	KRT19_pct	MSLN_pct	CALB2_pct	WT1_pct
EFFUSION_06	P1006	4884	23	3293	0.674242	4.34783	0.0168522	17.3913	0.0628394	21.7391	0.0779783	0	0	100	78.2609	95.6522	60.8696
EFFUSION_11	P1011	2943	3	1948	0.66191	33.3333	0.0657583	0	0	33.3333	0.120657	0	0	66.6667	0	100	33.3333
EFFUSION_12	P1012	4224	4	2085	0.493608	0	0	25	0.0582915	100	0.776255	0	0	100	75	100	50
EFFUSION_13	P1013	4441	46	3168	0.713353	0	0	0	0	17.3913	0.0737291	0	0	97.8261	71.7391	95.6522	82.6087
EFFUSION_64	P1064	3812	0	2777	0.728489												
